No,Namespace,Variable,Bramford Primary School - 139437,Thorns Primary School - 103787,St George and St Teresa Catholic Primary School - 104101,St George and St Teresa Catholic Primary School - 148088,Rushall Primary School - 104196,Field View Primary School - 141775,The Rowan School - 144374,The Old Park School - 103880,Holy Trinity Catholic Primary School - 104378,Dorridge Primary School - 104045,Greenfield Primary School - 104216,Milking Bank Primary School - 103834,Brierley Hill Primary School - 103776,Russells Hall Primary School - 103813,Christ Church CofE Primary School - 104220,Lodge Farm Primary School - 142765,St Giles Church of England Primary School - 104226,Goldsmith Primary Academy - 138591,Withymoor Primary School - 103809,Hurst Hill Primary School - 143537,St Francis Catholic Primary School - 104239,Barcroft Primary School - 135081,Manor Primary School - 141858,Castle School - 104269,Old Hall School - 104274,Phoenix Academy - 143382,Hob Green Primary School - 143196,Leamore Primary School - 104157,Woodsetton School - 103879,Sunshine Infant and Nursery School - 104145,Villiers Primary School - 145715,Roberts Primary School - 103821,Brockmoor Primary School - 103777,Rosedale Church of England C Infant School - 104225,Short Heath Junior School - 104188,Shustoke CofE Primary School - 125684,The King Alfred School - 148564,Rufford Primary School - 148685,Rufford Primary School - 103803,Castlefort Junior Mixed and Infant School - 104204,Blakenall Heath Junior School - 104144,St Mark's CofE Primary School - 103836,Arden - 136333,Thorns Collegiate Academy - 143818,Ormiston SWB Academy - 145008,Bow Street School - 142603,Willenhall E-ACT Academy - 137706,Beacon Hill Academy - 137705,Moseley Park - 138098,Ormiston Shelfield Community Academy - 135769,National state-funded primary,National state-funded secondary and 16 to 18,Description
22,L,GENDER,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Does not apply,Does not apply,Roman Catholic,Roman Catholic,Does not apply,Does not apply,None,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Church of England,Does not apply,Church of England,None,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Church of England,Does not apply,Church of England,,Does not apply,Does not apply,Does not apply,Does not apply,Church of England,Does not apply,Does not apply,None,None,None,None,None,None,,,Religious character
24,L,ADMPOL,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Non-selective,Non-selective,Not applicable,Non-selective,Non-selective,Non-selective,Non-selective,,,Admissions Policy
25,L,OFSTEDRATING,Good,Requires improvement,Good,Requires improvement,Good,Good,,Outstanding,Outstanding,Good,Good,Good,Good,Good,Good,Good,Good,Requires improvement,Good,Good,Good,Good,Outstanding,Outstanding,Good,Good,Good,Good,Good,Good,Good,Good,Requires improvement,Good,Good,Good,,Requires improvement,Requires improvement,Good,Good,Requires improvement,Outstanding,Inadequate,Good,,Requires improvement,Requires improvement,Outstanding,Requires improvement,,,Ofsted rating
26,L,OFSTEDLASTINSP,17-01-2019,12-06-2019,17-07-2018,22-09-2021,11-12-2019,21-03-2018,,21-11-2018,30-01-2014,07-02-2018,15-11-2017,08-11-2017,29-01-2020,23-10-2019,20-09-2017,17-10-2018,04-12-2018,23-01-2019,11-12-2018,16-02-2022,02-03-2022,17-11-2021,12-03-2008,30-01-2018,17-05-2017,25-09-2019,22-05-2019,15-07-2021,08-12-2021,08-12-2021,08-02-2017,10-01-2018,13-02-2019,28-03-2017,11-05-2017,09-12-2021,,27-03-2019,27-03-2019,22-01-2020,26-01-2022,16-01-2019,12-03-2008,09-02-2022,25-11-2021,,20-03-2019,04-11-2021,20-09-2017,15-05-2019,,,Ofsted last inspection date
27,CENSUS_19,URN,139437,103787,104101,,104196,141775,144374,103880,104378,104045,104216,103834,103776,103813,104220,142765,104226,138591,103809,143537,104239,135081,141858,104269,104274,143382,143196,104157,103879,104145,145715,103821,103777,104225,104188,125684,,,103803,104204,104144,103836,136333,143818,145008,,137706,137705,138098,135769,,,School Unique Reference Number
28,CENSUS_19,LA,332,332,334,,335,336,332,332,336,334,335,332,332,332,335,335,335,335,332,332,335,335,336,335,335,335,332,335,332,335,336,332,332,335,335,937,,,332,335,335,332,334,332,336,,335,332,336,335,,,LA number
29,CENSUS_19,ESTAB,2001,2067,3503,,2205,2049,6008,7004,3309,2008,2239,2160,2023,2136,3000,2025,3102,2007,2126,2006,3322,3329,2072,7002,7007,7013,2156,2024,7003,2003,2054,2144,2024,3101,2116,3207,,,2118,2222,2002,3008,4017,4001,4007,,4002,5403,4000,6906,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,Independent school,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded special school,State-funded special school,State-funded primary,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded secondary,State-funded secondary,,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,476,198,242,,252,461,19,151,262,697,266,458,242,411,329,333,391,459,411,268,223,474,597,158,110,45,268,228,108,219,609,700,447,208,241,190,,,226,261,230,326,1703,869,1108,,797,1106,980,1381,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,216,93,116,,108,237,1,46,136,357,126,231,113,200,158,138,199,231,207,130,124,221,283,56,34,5,124,110,24,105,307,349,185,86,119,101,,,106,115,115,162,823,442,547,,405,531,488,662,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,260,105,126,,144,224,18,105,126,340,140,227,129,211,171,195,192,228,204,138,99,253,314,102,76,40,144,118,84,114,302,351,262,122,122,89,,,120,146,115,164,880,427,561,,392,575,492,719,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,45.4,47,47.9,,42.9,51.4,5.3,30.5,51.9,51.2,47.4,50.4,46.7,48.7,48,41.4,50.9,50.3,50.4,48.5,55.6,46.6,47.4,35.4,30.9,11.1,46.3,48.2,22.2,47.9,50.4,49.9,41.4,41.3,49.4,53.2,,,46.9,44.1,50,49.7,48.3,50.9,49.4,,50.8,48,49.8,47.9,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,54.6,53,52.1,,57.1,48.6,94.7,69.5,48.1,48.8,52.6,49.6,53.3,51.3,52,58.6,49.1,49.7,49.6,51.5,44.4,53.4,52.6,64.6,69.1,88.9,53.7,51.8,77.8,52.1,49.6,50.1,58.6,58.7,50.6,46.8,,,53.1,55.9,50,50.3,51.7,49.1,50.6,,49.2,52,50.2,52.1,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,6,1,1,,14,0,19,151,1,8,2,6,3,14,8,5,2,8,8,4,1,2,9,158,109,43,15,4,108,1,10,13,14,4,5,0,,,6,4,1,6,24,7,14,,6,27,4,24,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,1.3,0.5,0.4,,5.6,0,100,100,0.4,1.1,0.8,1.3,1.2,3.4,2.4,1.5,0.5,1.7,1.9,1.5,0.4,0.4,1.5,100,99.1,95.6,5.6,1.8,100,0.5,1.6,1.9,3.1,1.9,2.1,0,,,2.7,1.5,0.4,1.8,1.4,0.8,1.3,,0.8,2.4,0.4,1.7,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,54,38,27,,47,50,0,0,64,66,28,56,39,57,48,63,47,54,46,44,19,53,64,0,0,2,66,40,0,46,104,72,132,30,41,21,,,48,23,32,53,138,142,348,,128,160,212,244,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,11.3,19.2,11.2,,18.7,10.8,0,0,24.4,9.5,10.5,12.2,16.1,13.9,14.6,18.9,12,11.8,11.2,16.4,8.5,11.2,10.7,0,0,4.4,24.6,17.5,0,21,17.1,10.3,29.5,14.4,17,11.1,,,21.2,8.8,13.9,16.3,8.1,16.3,31.4,,16.1,14.5,21.6,17.7,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,12,20,3,,15,137,NA,34,132,23,20,43,42,106,11,83,100,69,21,12,38,68,82,21,31,1,31,5,9,35,129,6,136,13,12,5,,,113,4,19,24,43,63,146,,60,49,220,55,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,464,178,239,,237,324,NA,117,130,674,246,415,200,305,317,250,291,390,390,256,185,406,515,137,79,44,237,223,99,184,480,694,311,195,229,185,,,113,257,211,302,1660,792,962,,737,1057,759,1326,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,0,0,0,,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,14,0,,0,0,1,0,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,2.5,10.1,1.2,,6,29.7,NA,22.5,50.4,3.3,7.5,9.4,17.4,25.8,3.3,24.9,25.6,15,5.1,4.5,17,14.3,13.7,13.3,28.2,2.2,11.6,2.2,8.3,16,21.2,0.9,30.4,6.3,5,2.6,,,50,1.5,8.3,7.4,2.5,7.2,13.2,,7.5,4.4,22.4,4,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,97.5,89.9,98.8,,94,70.3,NA,77.5,49.6,96.7,92.5,90.6,82.6,74.2,96.4,75.1,74.4,85,94.9,95.5,83,85.7,86.3,86.7,71.8,97.8,88.4,97.8,91.7,84,78.8,99.1,69.6,93.8,95,97.4,,,50,98.5,91.7,92.6,97.5,91.1,86.8,,92.5,95.6,77.4,96,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,0,0,0,,0,0,NA,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1.6,0,,0,0,0.1,0,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,94,45,5,,62,184,NA,58,45,13,71,21,89,84,99,117,91,225,31,62,43,131,87,86,49,27,65,87,42,95,127,97,105,66,58,9,,,58,54,139,83,89,152,315,,265,230,260,354,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,109,61,7,,72,225,NA,54,71,27,88,27,104,119,148,148,122,249,46,87,61,180,111,91,58,35,84,112,45,101,176,156,141,71,87,10,,,66,81,171,117,129,257,544,,477,436,428,605,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,26.1,30.8,3.2,,31.9,54.5,NA,41.5,31.8,4.4,36.5,6.4,51.7,29,51.2,47.9,34.2,63.5,11.2,32.5,29.9,42.7,20.6,70,54.7,77.8,36.7,53.3,41.7,57.1,30.9,25.1,37.8,34.1,36.1,5.3,,,32.8,38,74.3,41.5,9.2,29.6,53.3,,59.8,39.4,47.5,50.8,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,139437,103787,104101,,104196,141775,144374,103880,104378,104045,104216,103834,103776,103813,104220,142765,104226,138591,103809,143537,104239,135081,141858,104269,104274,143382,143196,104157,103879,104145,145715,103821,103777,104225,104188,125684,,,103803,104204,104144,103836,136333,143818,145008,142603,137706,137705,138098,135769,,,School Unique Reference Number
50,CENSUS_21,LA,332,332,334,,335,336,332,332,336,334,335,332,332,332,335,335,335,335,332,332,335,335,336,335,335,335,332,335,332,335,336,332,332,335,335,937,,,332,335,335,332,334,332,336,336,335,332,336,335,,,LA number
51,CENSUS_21,ESTAB,2001,2067,3503,,2205,2049,6008,7004,3309,2008,2239,2160,2023,2136,3000,2025,3102,2007,2126,2006,3322,3329,2072,7002,7007,7013,2156,2024,7003,2003,2054,2144,2024,3101,2116,3207,,,2118,2222,2002,3008,4017,4001,4007,6001,4002,5403,4000,6906,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,Independent school,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded special school,State-funded special school,State-funded primary,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded secondary,State-funded secondary,Independent school,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,,,Type of school
53,CENSUS_21,NOR,468,192,239,,257,445,35,151,254,687,283,458,237,415,387,370,429,447,415,295,202,461,672,187,103,39,261,229,108,206,645,671,444,248,234,206,,,189,237,235,325,1813,867,1160,17,826,1045,1026,1429,,,Total number of pupils on roll
54,CENSUS_21,NORG,220,87,114,,112,221,9,43,136,340,131,223,117,200,195,170,209,217,211,135,104,212,331,63,33,3,125,107,27,100,320,340,197,112,112,110,,,85,121,118,168,904,431,593,2,411,507,496,668,,,Number of girls on roll
55,CENSUS_21,NORB,248,105,125,,145,224,26,108,118,347,152,235,120,215,192,200,220,230,204,160,98,249,341,124,70,36,136,122,81,106,325,331,247,136,122,96,,,104,116,117,157,909,436,567,15,415,538,530,761,,,Number of boys on roll
56,CENSUS_21,PNORG,47.0%,45.3%,47.7%,,43.6%,49.7%,25.7%,28.5%,53.5%,49.5%,46.3%,48.7%,49.4%,48.2%,50.4%,45.9%,48.7%,48.5%,50.8%,45.8%,51.5%,46.0%,49.3%,33.7%,32.0%,7.7%,47.9%,46.7%,25.0%,48.5%,49.6%,50.7%,44.4%,45.2%,47.9%,53.4%,,,45.0%,51.1%,50.2%,51.7%,49.9%,49.7%,51.1%,11.8%,49.8%,48.5%,48.3%,46.7%,,,Percentage of girls on roll
57,CENSUS_21,PNORB,53.0%,54.7%,52.3%,,56.4%,50.3%,74.3%,71.5%,46.5%,50.5%,53.7%,51.3%,50.6%,51.8%,49.6%,54.1%,51.3%,51.5%,49.2%,54.2%,48.5%,54.0%,50.7%,66.3%,68.0%,92.3%,52.1%,53.3%,75.0%,51.5%,50.4%,49.3%,55.6%,54.8%,52.1%,46.6%,,,55.0%,48.9%,49.8%,48.3%,50.1%,50.3%,48.9%,88.2%,50.2%,51.5%,51.7%,53.3%,,,Percentage of boys on roll
58,CENSUS_21,TSENELSE,10,6,3,,20,1,35,151,3,9,3,10,1,14,16,2,7,8,9,10,2,7,10,186,103,37,15,6,108,4,12,17,19,10,13,1,,,5,4,2,15,26,13,18,17,12,33,13,33,,,Number of SEN pupils with an EHC plan
59,CENSUS_21,PSENELSE,2.1%,3.1%,1.3%,,7.8%,0.2%,100%,100%,1.2%,1.3%,1.1%,2.2%,0.4%,3.4%,4.1%,0.5%,1.6%,1.8%,2.2%,3.4%,1.0%,1.5%,1.5%,99.5%,100%,94.9%,5.7%,2.6%,100%,1.9%,1.9%,2.5%,4.3%,4.0%,5.6%,0.5%,,,2.6%,1.7%,0.9%,4.6%,1.4%,1.5%,1.6%,100%,1.5%,3.2%,1.3%,2.3%,,,Percentage of SEN pupils with an EHC plan
60,CENSUS_21,TSENELK,48,39,32,,54,52,0,0,68,67,41,58,28,75,50,61,60,90,50,44,20,61,61,1,0,2,37,38,0,23,146,68,84,25,46,14,,,35,32,49,42,163,176,280,0,121,166,232,246,,,Number of eligible pupils with SEN support
