No,Namespace,Variable,Coleshill Heath School - 104070,Park Hall Infant Academy - 136303,Eversfield Preparatory School - 104122,Turves Green Primary School - 144390,The Westminster School - 132233,Holy Cross Catholic Primary School - 140525,The Meadows Primary School - 103296,Our Lady of the Wayside Catholic Primary School - 104098,Our Lady of the Wayside Catholic Primary School - 148085,Oakham Primary School - 103950,Manor Way Primary Academy - 142355,"St Anne's Catholic Primary School, Streetly - 104241",Ruckleigh School - 104127,Coppice Junior School - 104041,Hollyfield Primary School - 131672,Water Orton Primary School - 125620,St John Fisher Catholic Primary School - 103452,St John Fisher Catholic Primary School - 148266,Blackwood School - 148364,Blackwood School - 104211,Cranmore Infant School - 104042,Tenterfields Primary Academy - 143195,Tividale Community Primary School - 133261,Manor Primary School - 104210,Park Hill Primary School - 103910,Mesty Croft Primary - 137972,Widney Junior School - 104054,Tudor Grange Primary Academy Yew Tree - 147364,Yew Tree Primary School - 104058,Dickens Heath Community Primary School - 133720,St Augustine's Catholic Primary School - 148087,St Augustine's Catholic Primary School - 104100,St Joseph's Catholic Primary School - 140528,Brickhouse Primary School - 103936,Springfield Primary School - 132140,Woodrush High School - 136924,Turves Green Boys' School - 103500,Turves Green Boys' School - 148521,Bishop Vesey's Grammar School - 137988,Alderbrook School - 136994,New Ways School - 145417,Fairfax - 136908,John Willmott School - 144721,John Willmott School - 103522,Joseph Leckie Academy - 137830,"Tudor Grange Academy, Solihull - 136310",St Peter's Catholic School - 148094,St Peter's Catholic School - 104119,Solihull College & University Centre - 130481,Halesowen College - 130476,National state-funded primary,National state-funded secondary and 16 to 18,Description
11,L,POSTCODE,B37 7PY,WS5 3HF,B91 1AT,B31 4BP,B65 9AL,B76 2SP,B31 2SW,B90 4AY,B90 4AY,B69 1SG,B63 3HA,B74 3PL,B91 2AB,B92 9JY,B75 7SG,B46 1SG,B31 3PN,B31 3PN,B74 3PH,B74 3PH,B90 4SA,B63 3LH,B69 2HT,B74 3HX,WS10 0TJ,WS10 0QY,B91 3LQ,B91 2SD,B91 2SD,B90 1NA,B91 3NZ,B91 3NZ,B75 6PB,B65 8HS,B65 8JY,B47 5JW,B31 4BS,B31 4BS,B74 2NH,B91 1SN,B38 9EL,B75 7JT,B75 7DY,B75 7DY,WS5 4PG,B91 3PD,B91 3NZ,B91 3NZ,B91 1SB,B63 3NA,,,School postcode
12,L,SCHSTATUS,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Closed,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Closed,Open,Open,,,School open / closed status
13,L,OPENDATE,,,,,,,,,01-04-2021,,,,,,,,,01-02-2021,01-01-2022,,,,,,,,,01-09-2019,,,01-04-2021,,,,,,,01-05-2021,,,,,01-07-2019,,,,01-04-2021,,,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,,,,,,,,31-03-2021,,,,,,,,,31-01-2021,,,31-12-2021,,,,,,,,,31-08-2019,,,31-03-2021,,,,,30-04-2021,,,,,,,30-06-2019,,,,31-03-2021,,,,,Date the school closed
15,L,MINORGROUP,Maintained school,Academy,Independent school,Academy,Special school,Academy,Maintained school,Maintained school,Academy,Maintained school,Academy,Maintained school,Independent school,Maintained school,Maintained school,Maintained school,Maintained school,Academy,Academy,Maintained school,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Academy,Maintained school,Maintained school,Academy,Maintained school,Academy,Maintained school,Maintained school,Academy,Maintained school,Academy,Academy,Academy,Independent school,Academy,Academy,Maintained school,Academy,Academy,Academy,Maintained school,College,College,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Community school,Academy converter,Other independent school,Academy sponsor led,Community special school,Academy converter,Community school,Voluntary aided school,Academy converter,Community school,Academy converter,Voluntary aided school,Other independent school,Community school,Foundation school,Community school,Voluntary aided school,Academy converter,Academy converter,Community school,Community school,Academy converter,Community school,Foundation school,Foundation school,Academy converter,Community school,Academy converter,Community school,Community school,Academy converter,Voluntary aided school,Academy converter,Foundation school,Foundation school,Academy converter,Community school,Academy sponsor led,Academy converter,Academy converter,Other independent school,Academy converter,Academy sponsor led,Community school,Academy converter,Academy converter,Academy converter,Voluntary aided school,Further education,Further education,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,2,3,3,4,7,4,5,3,3,3,5,3,3,7,4,4,4,4,3,3,3,3,3,3,3,3,7,2,2,3,3,3,5,3,3,11,11,11,11,11,11,11,11,11,11,11,11,11,16,16,,,Lowest age of entry
21,L,AGEHIGH,11,7,11,11,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,16,18,18,18,17,18,18,18,18,18,18,18,99,99,,,Highest age of entry
22,L,GENDER,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Boys,Boys,Boys,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Does not apply,None,Christian,Does not apply,Does not apply,Roman Catholic,Does not apply,Roman Catholic,Roman Catholic,Does not apply,Does not apply,Roman Catholic,None,Does not apply,Does not apply,Does not apply,Roman Catholic,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,None,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Roman Catholic,Roman Catholic,Does not apply,Does not apply,None,Does not apply,Does not apply,None,Does not apply,None,None,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Roman Catholic,Does not apply,Does not apply,,,Religious character
24,L,ADMPOL,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Non-selective,Non-selective,Selective,Non-selective,Not applicable,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Not applicable,Not applicable,,,Admissions Policy
25,L,OFSTEDRATING,Good,Outstanding,,Good,Outstanding,Good,Requires improvement,Good,Good,Outstanding,Good,Outstanding,,Requires improvement,Good,Good,Good,Good,Good,Good,Good,Good,Outstanding,Good,Good,Good,Good,Good,Good,Good,Good,Good,Outstanding,Good,Requires improvement,Good,Inadequate,,Outstanding,Good,,Good,,Requires improvement,Good,Outstanding,Outstanding,Outstanding,Good,Good,,,Ofsted rating
26,L,OFSTEDLASTINSP,15-07-2021,25-02-2008,,26-02-2020,22-11-2017,22-11-2016,22-01-2020,10-05-2017,10-05-2017,28-06-2013,12-09-2018,25-09-2013,,19-06-2019,28-03-2017,19-09-2018,27-03-2018,27-03-2018,06-10-2016,06-10-2016,10-03-2022,20-11-2019,18-10-2012,14-06-2017,28-11-2017,30-11-2017,13-12-2018,19-03-2019,19-03-2019,06-04-2022,27-03-2019,27-03-2019,10-06-2011,12-07-2017,04-11-2021,12-12-2018,05-06-2019,,09-10-2014,25-04-2018,,19-03-2019,,05-12-2018,13-10-2021,26-06-2014,20-11-2014,20-11-2014,11-03-2022,21-09-2017,,,Ofsted last inspection date
27,CENSUS_19,URN,104070,136303,104122,144390,132233,140525,103296,104098,,103950,142355,104241,104127,104041,131672,125620,103452,,,104211,104042,143195,133261,104210,103910,137972,104054,,104058,133720,,104100,140528,103936,132140,136924,103500,,137988,136994,,136908,,103522,137830,136310,,104119,,,,,School Unique Reference Number
28,CENSUS_19,LA,334,335,334,330,333,330,330,334,,333,332,335,334,334,330,937,330,,,335,334,332,333,335,333,333,334,,334,334,,334,330,333,333,885,330,,330,334,,330,,330,335,334,,334,,,,,LA number
29,CENSUS_19,ESTAB,2065,5200,6000,2175,7019,3402,2246,3500,,2136,2139,3324,6007,2004,2474,2618,3360,,,2234,2005,2104,3007,5202,2048,2045,2028,,2033,2098,,3502,3401,2112,2189,4017,4188,,4660,4015,,5410,,4301,4007,4014,,4650,,,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded secondary,,State-funded secondary,State-funded secondary,,State-funded secondary,,State-funded secondary,State-funded secondary,State-funded secondary,,State-funded secondary,,,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,516,322,316,389,198,210,611,458,,476,202,231,251,213,417,322,207,,,703,216,247,486,351,265,465,255,,272,447,,235,359,228,472,999,649,,1164,1479,,1471,,973,1361,1558,,1285,,,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,265,149,123,171,67,113,286,237,,223,104,113,102,115,216,174,109,,,359,92,126,244,166,125,229,137,,129,222,,97,178,111,232,520,0,,127,751,,719,,439,674,736,,645,,,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,251,173,193,218,131,97,325,221,,253,98,118,149,98,201,148,98,,,344,124,121,242,185,140,236,118,,143,225,,138,181,117,240,479,649,,1037,728,,752,,534,687,822,,640,,,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,51.4,46.3,38.9,44,33.8,53.8,46.8,51.7,,46.8,51.5,48.9,40.6,54,51.8,54,52.7,,,51.1,42.6,51,50.2,47.3,47.2,49.2,53.7,,47.4,49.7,,41.3,49.6,48.7,49.2,52.1,0,,10.9,50.8,,48.9,,45.1,49.5,47.2,,50.2,,,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,48.6,53.7,61.1,56,66.2,46.2,53.2,48.3,,53.2,48.5,51.1,59.4,46,48.2,46,47.3,,,48.9,57.4,49,49.8,52.7,52.8,50.8,46.3,,52.6,50.3,,58.7,50.4,51.3,50.8,47.9,100,,89.1,49.2,,51.1,,54.9,50.5,52.8,,49.8,,,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,5,4,0,6,198,1,36,2,,9,2,3,0,8,1,7,0,,,6,1,8,9,1,6,3,7,,10,16,,1,4,5,8,20,9,,3,70,,26,,5,22,9,,8,,,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,1,1.2,0,1.5,100,0.5,5.9,0.4,,1.9,1,1.3,0,3.8,0.2,2.2,0,,,0.9,0.5,3.2,1.9,0.3,2.3,0.6,2.7,,3.7,3.6,,0.4,1.1,2.2,1.7,2,1.4,,0.3,4.7,,1.8,,0.5,1.6,0.6,,0.6,,,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,81,19,19,45,0,17,146,64,,48,32,5,11,44,80,26,18,,,49,16,27,72,36,44,41,54,,24,77,,18,19,47,75,62,127,,42,253,,130,,113,176,122,,142,,,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,15.7,5.9,6,11.6,0,8.1,23.9,14,,10.1,15.8,2.2,4.4,20.7,19.2,8.1,8.7,,,7,7.4,10.9,14.8,10.3,16.6,8.8,21.2,,8.8,17.2,,7.7,5.3,20.6,15.9,6.2,19.6,,3.6,17.1,,8.8,,11.6,12.9,7.8,,11.1,,,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,6,227,NA,37,42,19,21,11,,59,10,4,NA,40,22,1,12,,,114,47,15,219,43,22,58,46,,95,93,,37,52,18,25,16,59,,177,114,,66,,110,999,113,,75,,,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,510,92,NA,352,156,190,590,447,,417,192,227,NA,173,395,320,195,,,589,166,232,267,307,243,407,209,,177,354,,198,306,210,446,983,587,,979,1365,,1405,,863,362,1444,,1198,,,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,0,3,NA,0,0,1,0,0,,0,0,0,NA,0,0,1,0,,,0,3,0,0,1,0,0,0,,0,0,,0,1,0,1,0,3,,8,0,,0,,0,0,1,,12,,,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,1.2,70.5,NA,9.5,21.2,9,3.4,2.4,,12.4,5,1.7,NA,18.8,5.3,0.3,5.8,,,16.2,21.8,6.1,45.1,12.3,8.3,12.5,18,,34.9,20.8,,15.7,14.5,7.9,5.3,1.6,9.1,,15.2,7.7,,4.5,,11.3,73.4,7.3,,5.8,,,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,98.8,28.6,NA,90.5,78.8,90.5,96.6,97.6,,87.6,95,98.3,NA,81.2,94.7,99.4,94.2,,,83.8,76.9,93.9,54.9,87.5,91.7,87.5,82,,65.1,79.2,,84.3,85.2,92.1,94.5,98.4,90.4,,84.1,92.3,,95.5,,88.7,26.6,92.7,,93.2,,,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,0,0.9,NA,0,0,0.5,0,0,,0,0,0,NA,0,0,0.3,0,,,0,1.4,0,0,0.3,0,0,0,,0,0,,0,0.3,0,0.2,0,0.5,,0.7,0,,0,,0,0,0.1,,0.9,,,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,213,21,NA,147,79,15,200,31,,52,18,4,NA,30,106,20,23,,,19,11,22,52,7,29,70,30,,47,35,,12,21,71,107,99,202,,49,118,,148,,231,371,49,,85,,,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,253,22,NA,182,76,20,267,51,,85,29,6,NA,42,127,30,38,,,35,14,34,89,9,44,111,44,,57,47,,19,21,91,139,181,301,,69,208,,251,,383,605,87,,149,,,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,54.6,8.1,NA,46.8,54.3,9.5,43.7,12,,20.4,14.4,2.9,NA,19.7,30.5,9.3,18.4,,,5.5,7.9,15.7,21.1,2.8,20.3,26.7,17.3,,27.4,11.4,,9.1,5.8,45,33.3,20.1,46.4,,9,16,,20.3,,43.8,53.4,6.9,,14.4,,,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,104070,136303,104122,144390,132233,140525,103296,104098,,103950,142355,104241,104127,104041,131672,125620,103452,,,104211,104042,143195,133261,104210,103910,137972,104054,147364,,133720,,104100,140528,103936,132140,136924,103500,,137988,136994,145417,136908,144721,,137830,136310,,104119,,,,,School Unique Reference Number
50,CENSUS_21,LA,334,335,334,330,333,330,330,334,,333,332,335,334,334,330,937,330,,,335,334,332,333,335,333,333,334,334,,334,,334,330,333,333,885,330,,330,334,330,330,330,,335,334,,334,,,,,LA number
51,CENSUS_21,ESTAB,2065,5200,6000,2175,7019,3402,2246,3500,,2136,2139,3324,6007,2004,2474,2618,3360,,,2234,2005,2104,3007,5202,2048,2045,2028,2033,,2098,,3502,3401,2112,2189,4017,4188,,4660,4015,6036,5410,4027,,4007,4014,,4650,,,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded secondary,,State-funded secondary,State-funded secondary,Independent school,State-funded secondary,State-funded secondary,,State-funded secondary,State-funded secondary,,State-funded secondary,,,,,Type of school
53,CENSUS_21,NOR,520,322,291,374,222,209,633,450,,473,205,235,225,204,418,308,210,,,704,208,218,460,376,253,453,255,281,,447,,224,411,213,461,996,606,,1290,1494,20,1576,935,,1426,1645,,1277,,,,,Total number of pupils on roll
54,CENSUS_21,NORG,286,159,125,170,69,105,319,230,,212,105,110,97,111,211,153,113,,,351,103,117,214,192,132,214,118,129,,216,,92,204,101,228,486,0,,156,760,7,785,418,,673,765,,652,,,,,Number of girls on roll
55,CENSUS_21,NORB,234,163,166,204,153,104,314,220,,261,100,125,128,93,207,155,97,,,353,105,101,246,184,121,239,137,152,,231,,132,207,112,233,510,606,,1134,734,13,791,517,,753,880,,625,,,,,Number of boys on roll
56,CENSUS_21,PNORG,55.0%,49.4%,43.0%,45.5%,31.1%,50.2%,50.4%,51.1%,,44.8%,51.2%,46.8%,43.1%,54.4%,50.5%,49.7%,53.8%,,,49.9%,49.5%,53.7%,46.5%,51.1%,52.2%,47.2%,46.3%,45.9%,,48.3%,,41.1%,49.6%,47.4%,49.5%,48.8%,0%,,12.1%,50.9%,35.0%,49.8%,44.7%,,47.2%,46.5%,,51.1%,,,,,Percentage of girls on roll
57,CENSUS_21,PNORB,45.0%,50.6%,57.0%,54.5%,68.9%,49.8%,49.6%,48.9%,,55.2%,48.8%,53.2%,56.9%,45.6%,49.5%,50.3%,46.2%,,,50.1%,50.5%,46.3%,53.5%,48.9%,47.8%,52.8%,53.7%,54.1%,,51.7%,,58.9%,50.4%,52.6%,50.5%,51.2%,100%,,87.9%,49.1%,65.0%,50.2%,55.3%,,52.8%,53.5%,,48.9%,,,,,Percentage of boys on roll
58,CENSUS_21,TSENELSE,9,4,1,3,221,3,34,4,,8,4,3,0,7,0,10,1,,,10,1,2,11,1,6,3,13,6,,26,,1,3,4,6,14,12,,2,57,20,36,7,,25,20,,8,,,,,Number of SEN pupils with an EHC plan
59,CENSUS_21,PSENELSE,1.7%,1.2%,0.3%,0.8%,99.5%,1.4%,5.4%,0.9%,,1.7%,2.0%,1.3%,0%,3.4%,0%,3.2%,0.5%,,,1.4%,0.5%,0.9%,2.4%,0.3%,2.4%,0.7%,5.1%,2.1%,,5.8%,,0.4%,0.7%,1.9%,1.3%,1.4%,2.0%,,0.2%,3.8%,100%,2.3%,0.7%,,1.8%,1.2%,,0.6%,,,,,Percentage of SEN pupils with an EHC plan
60,CENSUS_21,TSENELK,88,15,22,32,1,9,88,71,,31,29,19,52,39,81,25,14,,,45,19,19,61,35,45,49,50,24,,82,,17,24,49,77,57,110,,49,265,0,146,181,,185,127,,143,,,,,Number of eligible pupils with SEN support
61,CENSUS_21,PSENELK,16.9%,4.7%,7.6%,8.6%,0.5%,4.3%,13.9%,15.8%,,6.6%,14.1%,8.1%,23.1%,19.1%,19.4%,8.1%,6.7%,,,6.4%,9.1%,8.7%,13.3%,9.3%,17.8%,10.8%,19.6%,8.5%,,18.3%,,7.6%,5.8%,23.0%,16.7%,5.7%,18.2%,,3.8%,17.7%,0%,9.3%,19.4%,,13.0%,7.7%,,11.2%,,,,,Percentage of eligible pupils with SEN support
62,CENSUS_21,NUMEAL,8,216,0,38,36,18,35,9,,62,14,9,0,37,27,0,17,,,85,56,14,214,58,18,49,49,105,,66,,27,60,16,24,13,49,,244,107,0,82,135,,990,145,,67,,,,,No.  pupils where English not first language
63,CENSUS_21,NUMENGFL,512,103,0,336,186,191,598,441,,411,191,226,0,167,391,306,193,,,608,151,204,246,318,235,404,206,176,,381,,197,350,197,436,983,555,,1035,1387,0,1491,800,,436,1500,,1190,,,,,No. pupils with English first language
64,CENSUS_21,NUMUNCFL,0,3,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,,,11,1,0,0,0,0,0,0,0,,0,,0,1,0,1,0,2,,11,0,0,3,0,,0,0,,20,,,,,No. pupils where first language is unclassified
