No,Namespace,Variable,St John's Church of England Primary School - 104228,Shenstone Lodge School - 104024,Shenstone Lodge School - 147347,Oakwood School - 104275,The Secret Garden - 148243,Peters Hill Primary School - 103791,Red Hall Primary School - 103784,Rivers Primary Academy - 140196,Bloxwich Academy - 137274,Bilston Church of England Primary School - 130305,The Bromley-Pensnett Primary School - 141979,Stow Heath Primary School - 104323,Tudor Grange Primary Academy Hockley Heath - 138462,Hill Avenue Academy - 143151,Lanesfield Primary School - 104327,St Chad's Catholic Primary School - 140144,Ham Dingle Primary Academy - 143822,Ham Dingle Primary School - 103808,St Michael's Church of England C Primary School - 104227,Sunfield Children's Home Ltd - 117033,Woodlands Academy of Learning - 138343,Queen Victoria Primary School - 103826,St Peter's Church of England Primary Academy - 142982,Green Park School - 104415,Walsall Wood School - 104201,Fibbersley Park Academy - 143417,Elmore Green Primary School - 104153,Stowlawn Primary School - 104317,Hawbush Primary School - 103820,Cotwall End Primary School - 103810,Blackwell First School - 116665,All Saints National Academy - 141410,Springfield House Community Special School - 103623,Busill Jones Primary School - 104146,Busill Jones Primary School - 146785,"St Peter's Catholic Primary School, Bloxwich - 104234",Kingsbury Primary School - 134924,Pedmore CE Primary School - 103848,Clent Parochial Primary School - 116796,The Pedmore High School - 145593,Mary Elliot School - 104272,Black Country Wheels School - 137571,The Dormston School - 103855,Ellowes Hall Sports College - 141570,Hunters Hill College - 103609,Redhill School - 139872,Kingsbury School - A Specialist Science and Mathematics Academy - 145019,Shire Oak Academy - 136620,Pool Hayes Academy - 142594,Wolverhampton Vocational Training Centre - 142123,National state-funded primary,National state-funded secondary and 16 to 18,Description
11,L,POSTCODE,WS9 9NA,WS14 0LB,WS14 0LB,WS9 9JS,B46 2RJ,DY5 2QH,DY3 2PA,WS3 1LY,WS2 7NR,WV14 0HU,DY5 4PJ,WV13 3TT,B94 6RA,WV4 6PY,WV4 6BZ,DY3 3UE,DY9 0UN,DY9 0UN,WS3 4JJ,DY9 9PB,WV12 5PR,DY3 1JB,WS9 9EE,WV14 6EH,WS8 7BP,WV13 3BB,WS3 2HW,WV14 6EH,DY5 3NH,DY3 3YG,B60 1BN,WS3 3LP,B93 0AJ,WS3 2QF,WS3 2QF,WS3 3LY,B78 2HW,DY9 0RH,DY9 9QP,DY9 7HS,WS2 7NR,DY9 7ND,DY3 1SN,DY3 2JH,B60 1QD,DY8 1JX,B78 2LF,WS9 9PA,WV12 4QZ,WV4 6JP,,,School postcode
12,L,SCHSTATUS,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,"Open, but proposed to close",Open,Open,Open,Closed,Open,Open,Closed,Open,Open,Open,Open,Open,,,School open / closed status
13,L,OPENDATE,,,01-07-2020,,02-03-2021,,,,,,,,,,,,01-09-2019,,,,,,,,,,,,,,,,,,01-12-2019,,,,,,,,,,,,,,,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,,30-06-2020,,,,,,,,,,,,,,,,31-08-2019,,,,,,,,,,,,,,,,30-11-2019,,,,30-09-2022,,,,18-02-2022,,,31-08-2021,,,,,,,,Date the school closed
15,L,MINORGROUP,Maintained school,Special school,Special school,Special school,Independent school,Maintained school,Maintained school,Academy,Academy,Maintained school,Academy,Maintained school,Academy,Academy,Maintained school,Academy,Academy,Maintained school,Maintained school,Special school,Academy,Maintained school,Academy,Special school,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Academy,Special school,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Academy,Special school,Independent school,Maintained school,Academy,Special school,Academy,Academy,Academy,Academy,Special school,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Voluntary controlled school,Community special school,Academy special converter,Community special school,Other independent school,Community school,Community school,Academy sponsor led,Academy sponsor led,Voluntary controlled school,Academy sponsor led,Community school,Academy converter,Academy sponsor led,Community school,Academy converter,Academy sponsor led,Community school,Voluntary controlled school,Other independent special school,Academy converter,Community school,Academy converter,Community special school,Community school,Academy sponsor led,Community school,Community school,Community school,Community school,Community school,Academy sponsor led,Community special school,Community school,Academy sponsor led,Voluntary aided school,Community school,Voluntary aided school,Voluntary controlled school,Academy converter,Community special school,Other independent school,Community school,Academy converter,Community special school,Academy converter,Academy sponsor led,Academy converter,Academy converter,Free schools special,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,3,4,4,3,7,3,3,3,3,5,3,3,3,3,3,3,4,4,3,6,3,3,4,3,3,3,4,3,2,5,5,5,4,3,3,3,4,5,5,11,11,14,11,11,11,11,11,11,11,16,,,Lowest age of entry
21,L,AGEHIGH,11,16,16,11,14,11,11,11,19,11,11,11,11,11,11,11,11,11,11,19,11,11,11,19,11,11,11,11,11,11,9,11,11,11,11,11,11,11,11,16,19,16,16,18,16,16,16,18,18,19,,,Highest age of entry
22,L,GENDER,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Boys,Mixed,Mixed,Mixed,Mixed,Mixed,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Church of England,Does not apply,Does not apply,Does not apply,,Does not apply,Does not apply,Does not apply,None,Church of England,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Church of England,None,Does not apply,Does not apply,Church of England,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Church of England,Does not apply,Does not apply,Does not apply,Roman Catholic,Does not apply,Church of England,Church of England,None,Does not apply,None,Does not apply,None,Does not apply,None,None,None,None,Does not apply,,,Religious character
24,L,ADMPOL,Not applicable,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Selective,Non-selective,Non-selective,Not applicable,Non-selective,Non-selective,Non-selective,Non-selective,,,,Admissions Policy
25,L,OFSTEDRATING,Outstanding,Good,Good,Outstanding,,Good,Requires improvement,Good,Good,Good,Good,Good,Good,Outstanding,Good,Good,,Requires improvement,Outstanding,,Good,Requires improvement,Good,Good,Good,Requires improvement,Good,Good,Requires improvement,Good,Outstanding,Requires improvement,Inadequate,Inadequate,,Good,Good,Good,Good,Good,Good,,Good,Requires improvement,Inadequate,Outstanding,Good,Requires improvement,Good,Good,,,Ofsted rating
26,L,OFSTEDLASTINSP,05-10-2011,03-05-2017,03-05-2017,02-10-2018,,10-05-2018,12-09-2019,09-02-2022,04-11-2021,11-06-2019,26-09-2018,04-05-2017,18-12-2018,22-05-2019,20-06-2018,12-03-2020,,07-02-2018,05-05-2016,,11-07-2017,04-12-2019,22-05-2019,28-02-2020,10-11-2021,13-09-2019,10-01-2019,18-10-2017,13-10-2021,04-12-2019,27-01-2011,13-01-2022,11-03-2020,19-04-2018,,20-09-2018,12-07-2017,11-12-2019,03-03-2022,27-01-2016,12-03-2019,,09-06-2022,13-11-2019,19-09-2019,15-11-2011,10-04-2019,28-04-2022,27-04-2022,06-06-2018,,,Ofsted last inspection date
27,CENSUS_19,URN,104228,104024,,104275,,103791,103784,140196,137274,130305,141979,104323,138462,143151,104327,140144,,103808,104227,,138343,103826,142982,104415,104201,143417,104153,104317,103820,103810,116665,141410,103623,104146,,104234,134924,103848,116796,145593,104272,137571,103855,141570,103609,139872,145019,136620,142594,142123,,,School Unique Reference Number
28,CENSUS_19,LA,335,333,,335,,332,332,335,335,336,332,336,334,336,336,332,,332,335,,335,332,860,336,335,335,335,336,332,332,885,335,330,335,,335,937,332,885,332,335,332,332,332,330,332,937,335,335,336,,,LA number
29,CENSUS_19,ESTAB,3111,7001,,7011,,2075,2052,2017,4001,3024,2002,2066,2057,2033,2071,3304,,2125,3110,,2118,2149,3114,7008,2218,2029,2016,2053,2143,2130,2022,2019,7047,2004,,3306,3596,3354,3022,4105,7005,6007,4023,5401,7026,4119,4012,5402,4106,7001,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,State-funded primary,State-funded special school,,State-funded special school,,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded special school,Independent school,State-funded secondary,State-funded secondary,State-funded special school,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded special school,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,350,78,,85,,894,351,340,1125,420,291,486,222,315,361,209,,403,389,,472,670,196,132,250,579,319,295,232,413,152,314,95,333,,230,279,222,107,563,110,26,1127,1119,134,1213,698,1448,1072,27,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,158,7,,15,,409,174,171,558,191,146,233,115,166,168,106,,209,177,,230,314,87,50,129,310,158,150,118,209,74,151,12,166,,114,153,110,47,270,32,0,591,564,0,600,349,716,524,5,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,192,71,,70,,485,177,169,567,229,145,253,107,149,193,103,,194,212,,242,356,109,82,121,269,161,145,114,204,78,163,83,167,,116,126,112,60,293,78,26,536,555,134,613,349,732,548,22,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,45.1,9,,17.6,,45.7,49.6,50.3,49.6,45.5,50.2,47.9,51.8,52.7,46.5,50.7,,51.9,45.5,,48.7,46.9,44.4,37.9,51.6,53.5,49.5,50.8,50.9,50.6,48.7,48.1,12.6,49.8,,49.6,54.8,49.5,43.9,48,29.1,0,52.4,50.4,0,49.5,50,49.4,48.9,18.5,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,54.9,91,,82.4,,54.3,50.4,49.7,50.4,54.5,49.8,52.1,48.2,47.3,53.5,49.3,,48.1,54.5,,51.3,53.1,55.6,62.1,48.4,46.5,50.5,49.2,49.1,49.4,51.3,51.9,87.4,50.2,,50.4,45.2,50.5,56.1,52,70.9,100,47.6,49.6,100,50.5,50,50.6,51.1,81.5,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,8,77,,85,,6,1,2,9,6,7,9,1,2,5,1,,6,3,,0,6,2,132,6,2,10,4,6,7,2,1,95,12,,0,2,2,1,4,109,4,16,11,134,16,7,27,27,27,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,2.3,98.7,,100,,0.7,0.3,0.6,0.8,1.4,2.4,1.9,0.5,0.6,1.4,0.5,,1.5,0.8,,0,0.9,1,100,2.4,0.3,3.1,1.4,2.6,1.7,1.3,0.3,100,3.6,,0,0.7,0.9,0.9,0.7,99.1,15.4,1.4,1,100,1.3,1,1.9,2.5,100,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,14,1,,0,,105,56,37,190,59,62,116,30,29,50,24,,21,53,,60,134,5,0,23,81,38,38,41,29,20,48,0,40,,21,22,26,19,94,1,22,154,117,0,170,39,68,109,0,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,4,1.3,,0,,11.7,16,10.9,16.9,14,21.3,23.9,13.5,9.2,13.9,11.5,,5.2,13.6,,12.7,20,2.6,0,9.2,14,11.9,12.9,17.7,7,13.2,15.3,0,12,,9.1,7.9,11.7,17.8,16.7,0.9,84.6,13.7,10.5,0,14,5.6,4.7,10.2,0,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,19,1,,18,,86,18,32,98,122,27,99,6,98,78,8,,51,16,,10,15,2,39,13,73,15,60,7,15,2,18,2,18,,33,3,7,1,243,36,NA,16,18,5,36,5,39,45,1,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,331,77,,67,,808,333,308,1026,298,264,387,216,217,283,201,,352,373,,462,655,194,91,237,503,304,235,225,398,150,296,89,315,,197,276,212,106,319,74,NA,1111,1100,129,1177,693,1409,1026,26,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,0,0,,0,,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,2,0,3,0,0,0,0,0,0,4,0,,0,0,3,0,1,0,NA,0,1,0,0,0,0,1,0,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,5.4,1.3,,21.2,,9.6,5.1,9.4,8.7,29,9.3,20.4,2.7,31.1,21.6,3.8,,12.7,4.1,,2.1,2.2,1,29.5,5.2,12.6,4.7,20.3,3,3.6,1.3,5.7,2.1,5.4,,14.3,1.1,3.2,0.9,43.2,32.7,NA,1.4,1.6,3.7,3,0.7,2.7,4.2,3.7,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,94.6,98.7,,78.8,,90.4,94.9,90.6,91.2,71,90.7,79.6,97.3,68.9,78.4,96.2,,87.3,95.9,,97.9,97.8,99,68.9,94.8,86.9,95.3,79.7,97,96.4,98.7,94.3,93.7,94.6,,85.7,98.9,95.5,99.1,56.7,67.3,NA,98.6,98.3,96.3,97,99.3,97.3,95.7,96.3,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,0,0,,0,,0,0,0,0.1,0,0,0,0,0,0,0,,0,0,,0,0,0,1.5,0,0.5,0,0,0,0,0,0,4.2,0,,0,0,1.4,0,0.2,0,NA,0,0.1,0,0,0,0,0.1,0,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,52,43,,26,,95,60,155,515,180,122,110,10,103,87,27,,53,27,,72,128,6,59,55,170,76,100,89,28,1,131,57,131,,60,30,9,9,131,51,NA,151,126,71,114,67,226,270,12,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,69,57,,31,,128,81,183,674,225,140,158,16,124,114,35,,74,40,,113,182,13,51,80,227,104,117,107,48,1,174,70,177,,76,52,14,13,197,38,NA,301,242,107,207,132,375,448,NA,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,21.8,73.1,,36.5,,15.7,26.1,60.2,66.7,53.6,52.8,37.5,8.2,44.1,34.5,16.7,,18.4,11.9,,26.7,31.7,6.6,46.8,37,43.5,32.6,45.5,55.2,11.6,0.7,55.4,73.7,58,,36.5,18.6,6.3,12.1,35,58.5,NA,26.7,23.7,79.9,17.1,18.9,29.5,47.2,NA,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,104228,,147347,104275,,103791,103784,140196,137274,130305,141979,104323,138462,143151,104327,140144,143822,,104227,117033,138343,103826,142982,104415,104201,143417,104153,104317,103820,103810,116665,141410,103623,,146785,104234,134924,103848,116796,145593,104272,137571,103855,141570,103609,139872,145019,136620,142594,142123,,,School Unique Reference Number
50,CENSUS_21,LA,335,,333,335,,332,332,335,335,336,332,336,334,336,336,332,332,,335,885,335,332,860,336,335,335,335,336,332,332,885,335,330,,335,335,937,332,885,332,335,332,332,332,330,332,937,335,335,336,,,LA number
51,CENSUS_21,ESTAB,3111,,7001,7011,,2075,2052,2017,4001,3024,2002,2066,2057,2033,2071,3304,2008,,3110,6024,2118,2149,3114,7008,2218,2029,2016,2053,2143,2130,2022,2019,7047,,2036,3306,3596,3354,3022,4105,7005,6007,4023,5401,7026,4119,4012,5402,4106,7001,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,State-funded primary,,State-funded special school,State-funded special school,,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded special school,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded special school,Independent school,State-funded secondary,State-funded secondary,State-funded special school,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded special school,,,Type of school
53,CENSUS_21,NOR,358,,98,102,,892,377,391,1326,425,293,478,224,340,352,210,372,,418,37,463,579,169,145,242,591,313,320,257,413,151,274,87,,276,228,264,221,104,598,123,17,1137,1181,79,1228,724,1500,1061,44,,,Total number of pupils on roll
54,CENSUS_21,NORG,165,,7,20,,402,183,195,665,202,148,236,117,170,179,101,197,,202,8,238,283,73,55,125,310,166,157,129,215,82,132,16,,133,131,138,117,52,274,33,1,574,574,0,616,364,734,527,13,,,Number of girls on roll
55,CENSUS_21,NORB,193,,91,82,,490,194,196,661,223,145,242,107,170,173,109,175,,216,29,225,296,96,90,117,281,147,163,128,198,69,142,71,,143,97,126,104,52,324,90,16,563,607,79,612,360,766,534,31,,,Number of boys on roll
56,CENSUS_21,PNORG,46.1%,,7.1%,19.6%,,45.1%,48.5%,49.9%,50.2%,47.5%,50.5%,49.4%,52.2%,50.0%,50.9%,48.1%,53.0%,,48.3%,21.6%,51.4%,48.9%,43.2%,37.9%,51.7%,52.5%,53.0%,49.1%,50.2%,52.1%,54.3%,48.2%,18.4%,,48.2%,57.5%,52.3%,52.9%,50.0%,45.8%,26.8%,5.9%,50.5%,48.6%,0%,50.2%,50.3%,48.9%,49.7%,29.5%,,,Percentage of girls on roll
57,CENSUS_21,PNORB,53.9%,,92.9%,80.4%,,54.9%,51.5%,50.1%,49.8%,52.5%,49.5%,50.6%,47.8%,50.0%,49.1%,51.9%,47.0%,,51.7%,78.4%,48.6%,51.1%,56.8%,62.1%,48.3%,47.5%,47.0%,50.9%,49.8%,47.9%,45.7%,51.8%,81.6%,,51.8%,42.5%,47.7%,47.1%,50.0%,54.2%,73.2%,94.1%,49.5%,51.4%,100%,49.8%,49.7%,51.1%,50.3%,70.5%,,,Percentage of boys on roll
58,CENSUS_21,TSENELSE,8,,97,102,,13,5,1,17,4,12,18,1,3,7,1,6,,8,37,9,13,3,140,6,10,7,7,21,6,5,2,87,,10,2,5,3,0,7,122,4,23,15,79,22,9,40,28,44,,,Number of SEN pupils with an EHC plan
59,CENSUS_21,PSENELSE,2.2%,,99.0%,100%,,1.5%,1.3%,0.3%,1.3%,0.9%,4.1%,3.8%,0.4%,0.9%,2.0%,0.5%,1.6%,,1.9%,100%,1.9%,2.2%,1.8%,96.6%,2.5%,1.7%,2.2%,2.2%,8.2%,1.5%,3.3%,0.7%,100%,,3.6%,0.9%,1.9%,1.4%,0%,1.2%,99.2%,23.5%,2.0%,1.3%,100%,1.8%,1.2%,2.7%,2.6%,100%,,,Percentage of SEN pupils with an EHC plan
60,CENSUS_21,TSENELK,24,,1,0,,113,72,61,235,71,80,96,28,26,49,14,27,,49,0,54,102,11,5,30,67,44,61,34,42,24,41,0,,57,15,30,29,25,106,1,13,185,128,0,191,77,138,93,0,,,Number of eligible pupils with SEN support
