No,Namespace,Variable,Greenholm Primary School - 138693,Hawthorn Primary School - 103214,Cedars Academy - 143088,Devonshire Junior Academy - 141292,Devonshire Infant Academy - 141293,Kimichi School - 141242,St Peter and St Paul RC Junior and Infant School - 103454,St Peter and St Paul RC Junior and Infant School - 146298,Selly Oak Trust School - 103613,Colmore Junior School - 103188,Colmore Infant and Nursery School - 103189,Acocks Green Primary School - 139443,Wheelers Lane Primary School - 134099,Cottesbrooke Infant and Nursery School - 140706,Oasis Academy Short Heath - 139125,Annie Lennard Primary School - 103932,Osborne Primary School - 147758,Osborne Primary School - 103363,The Dame Ellen Pinsent School - 103615,St Mark's Catholic Primary School - 148973,St Mark's Catholic Primary School - 103468,Court Farm Primary School - 103267,Story Wood School - 103213,Highclare School - 103576,Welsh House Farm Community School and Special Needs Resources Base - 103295,Holy Souls Catholic Primary School - 147009,Holy Souls Catholic Primary School - 103429,Priestley Smith School - 103614,Beeches Infant School - 103164,Beeches Junior School - 103163,Abbey Catholic Primary School - 103422,Abbey Catholic Primary School - 147669,Gilbertstone Primary School - 103201,Glenmead Primary School - 103320,Bournville Village Primary - 103445,Bournville Infant School - 103446,The Oval School - 143087,Swanshurst School - 103514,Wheelers Lane Technology College - 103501,Hamstead Hall Academy - 139746,Hall Green School - 137858,Oscott Academy - 142115,"Ninestiles, an Academy - 136406",The University of Birmingham School - 140863,Aspire Ap School - 139962,Archbishop Ilsley Catholic School - 103541,Archbishop Ilsley Catholic School - 146124,Arena Academy - 145580,Sandwell Valley School - 143038,Fircroft College of Adult Education - 130467,National state-funded primary,National state-funded secondary and 16 to 18,Description
11,L,POSTCODE,B44 8HS,B44 8QR,B27 6JL,B67 7AT,B67 7AT,B27 6LL,B24 9ND,B24 9ND,B29 6HZ,B14 6AJ,B14 6AJ,B27 7UQ,B13 0SF,B27 6LG,B23 5JP,B67 6LE,B23 6TY,B23 6TY,B13 0RW,B42 1NU,B42 1NU,B23 5NS,B23 5AJ,B23 6QL,B32 2NG,B27 6BN,B27 6BN,B42 2PY,B42 2PY,B42 2PY,B23 6QL,B23 6QL,B26 1EH,B44 8UQ,B30 1JY,B30 1JY,B33 8JG,B13 0TW,B13 0SF,B20 1HL,B28 0AA,B23 5AP,B27 7QG,B29 6QU,B28 9EJ,B27 7XY,B27 7XY,B42 2PY,B70 6QT,B29 6LH,,,School postcode
12,L,SCHSTATUS,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Closed,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Closed,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,,,School open / closed status
13,L,OPENDATE,,,,,,,,01-12-2018,,,,,,,,,01-04-2021,,,01-06-2022,,,,,,01-05-2019,,,,,,01-04-2021,,,,,,,,,,,,,,,01-05-2019,,,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,,,,,,,30-11-2018,,,,,,,,,,,31-03-2021,,,31-05-2022,,,,,,30-04-2019,,,,31-03-2021,,,,,28-04-2019,,,,,,,,,,30-04-2019,,,,,,,Date the school closed
15,L,MINORGROUP,Academy,Maintained school,Academy,Academy,Academy,Independent school,Maintained school,Academy,Special school,Maintained school,Maintained school,Academy,Maintained school,Academy,Academy,Maintained school,Academy,Maintained school,Special school,Academy,Maintained school,Maintained school,Maintained school,Independent school,Maintained school,Academy,Maintained school,Special school,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Maintained school,Academy,Academy,Independent school,Academy,Academy,Independent school,Maintained school,Academy,Academy,Independent school,College,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Academy converter,Community school,Academy sponsor led,Academy converter,Academy converter,Other independent school,Voluntary aided school,Academy converter,Foundation special school,Community school,Community school,Academy converter,Community school,Academy converter,Academy sponsor led,Community school,Academy sponsor led,Community school,Foundation special school,Academy converter,Voluntary aided school,Community school,Community school,Other independent school,Community school,Academy sponsor led,Voluntary aided school,Community special school,Community school,Community school,Voluntary aided school,Academy converter,Community school,Community school,Voluntary aided school,Voluntary aided school,Academy converter,Community school,Community school,Academy converter,Academy converter,Other independent school,Academy converter,Free schools,Other independent school,Voluntary aided school,Academy converter,Academy sponsor led,Other independent school,Further education,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,4,3,7,7,3,9,4,4,11,7,3,3,3,3,3,3,5,5,5,4,4,3,3,2,3,4,4,2,4,7,4,4,3,4,5,5,3,11,11,11,11,14,11,11,11,11,11,11,11,19,,,Lowest age of entry
21,L,AGEHIGH,11,11,11,11,7,18,11,11,19,11,7,11,11,7,11,11,11,11,11,11,11,11,11,19,11,11,11,19,7,11,11,11,11,11,11,7,11,19,16,18,16,16,18,19,16,18,18,16,19,99,,,Highest age of entry
22,L,GENDER,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Girls,Boys,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,None,Roman Catholic,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Roman Catholic,Does not apply,Does not apply,None,Does not apply,Roman Catholic,Roman Catholic,Does not apply,Does not apply,Does not apply,Roman Catholic,Roman Catholic,Does not apply,Does not apply,None,None,Does not apply,Does not apply,Does not apply,None,None,None,None,None,None,Roman Catholic,Roman Catholic,None,None,Does not apply,,,Religious character
24,L,ADMPOL,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Non-selective,Non-selective,Non-selective,Not applicable,Non-selective,Non-selective,Not applicable,Non-selective,Non-selective,,Not applicable,Not applicable,,,Admissions Policy
25,L,OFSTEDRATING,Good,Requires improvement,Good,Good,Outstanding,,Good,Good,Good,Good,Outstanding,Outstanding,Good,Good,Good,Good,,Inadequate,Outstanding,Outstanding,Outstanding,Good,Outstanding,,Good,,Inadequate,Outstanding,Good,Good,Good,Good,Good,Requires improvement,Outstanding,Outstanding,Good,Outstanding,Outstanding,Good,Good,,Good,Good,,Good,Good,Requires improvement,,Good,,,Ofsted rating
26,L,OFSTEDLASTINSP,19-09-2017,17-11-2021,26-06-2019,23-05-2017,23-05-2013,,11-10-2017,11-10-2017,07-06-2017,21-06-2017,11-10-2011,21-09-2011,28-06-2018,10-02-2022,12-12-2018,03-07-2019,,06-03-2019,19-09-2018,04-07-2012,04-07-2012,27-11-2019,12-12-2013,,14-11-2018,,12-01-2018,15-01-2019,28-06-2017,10-01-2018,14-06-2018,14-06-2018,05-06-2018,10-10-2018,07-06-2013,12-02-2009,05-06-2019,02-11-2017,24-09-2014,22-01-2019,10-10-2019,,04-12-2019,19-04-2018,,07-06-2018,07-06-2018,08-06-2022,,11-10-2017,,,Ofsted last inspection date
27,CENSUS_19,URN,138693,103214,143088,141292,141293,141242,,146298,103613,103188,103189,139443,134099,140706,139125,103932,,103363,103615,,103468,103267,103213,103576,103295,,103429,103614,103164,103163,103422,,103201,103320,103445,103446,143087,103514,103501,139746,137858,142115,136406,140863,,103541,,145580,143038,,,,School Unique Reference Number
28,CENSUS_19,LA,330,330,330,333,333,330,,330,330,330,330,330,330,330,330,333,,330,330,,330,330,330,330,330,,330,330,330,330,330,,330,330,330,330,330,330,330,330,330,330,330,330,,330,,330,333,,,,LA number
29,CENSUS_19,ESTAB,2085,2099,2226,2124,2125,6017,,3362,7033,2053,2054,2020,2011,2299,2103,2104,,2436,7035,,3383,2191,2097,6060,2245,,3327,7034,2017,2016,3318,,2081,2296,3353,3354,2447,4237,4193,4240,5409,6018,5411,4014,,4804,,4031,6011,,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded special school,,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,Independent school,State-funded secondary,State-funded secondary,,State-funded secondary,,State-funded secondary,Independent school,,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,610,243,354,366,344,32,,208,373,480,408,486,677,313,460,258,,289,150,,210,243,232,542,231,,409,87,270,361,423,,459,373,383,270,669,1806,647,1093,898,15,1428,805,,1168,,900,140,,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,292,121,181,179,171,10,,113,120,237,185,226,321,150,236,131,,143,49,,108,126,127,260,116,,202,36,129,176,214,,231,182,197,124,327,1804,0,460,378,4,643,358,,577,,440,59,,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,318,122,173,187,173,22,,95,253,243,223,260,356,163,224,127,,146,101,,102,117,105,282,115,,207,51,141,185,209,,228,191,186,146,342,2,647,633,520,11,785,447,,591,,460,81,,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,47.9,49.8,51.1,48.9,49.7,31.3,,54.3,32.2,49.4,45.3,46.5,47.4,47.9,51.3,50.8,,49.5,32.7,,51.4,51.9,54.7,48,50.2,,49.4,41.4,47.8,48.8,50.6,,50.3,48.8,51.4,45.9,48.9,99.9,0,42.1,42.1,26.7,45,44.5,,49.4,,48.9,42.1,,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,52.1,50.2,48.9,51.1,50.3,68.8,,45.7,67.8,50.6,54.7,53.5,52.6,52.1,48.7,49.2,,50.5,67.3,,48.6,48.1,45.3,52,49.8,,50.6,58.6,52.2,51.2,49.4,,49.7,51.2,48.6,54.1,51.1,0.1,100,57.9,57.9,73.3,55,55.5,,50.6,,51.1,57.9,,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,5,16,2,13,13,10,,1,373,10,1,3,4,0,0,0,,2,150,,1,1,5,5,8,,2,87,0,5,2,,6,5,6,0,4,11,10,44,30,2,52,27,,8,,6,4,,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,0.8,6.6,0.6,3.6,3.8,31.3,,0.5,100,2.1,0.2,0.6,0.6,0,0,0,,0.7,100,,0.5,0.4,2.2,0.9,3.5,,0.5,100,0,1.4,0.5,,1.3,1.3,1.6,0,0.6,0.6,1.5,4,3.3,13.3,3.6,3.4,,0.7,,0.7,2.9,,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,43,34,56,31,25,2,,32,0,72,84,67,111,38,63,30,,70,0,,20,25,44,54,44,,61,0,50,29,43,,58,62,43,21,100,270,82,329,37,0,177,79,,109,,68,5,,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,7,14,15.8,8.5,7.3,6.3,,15.4,0,15,20.6,13.8,16.4,12.1,13.7,11.6,,24.2,0,,9.5,10.3,19,10,19,,14.9,0,18.5,8,10.2,,12.6,16.6,11.2,7.8,14.9,15,12.7,30.1,4.1,0,12.4,9.8,,9.3,,7.6,3.6,,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,130,80,130,268,190,NA,,60,57,117,97,322,152,99,133,45,,119,42,,77,65,59,NA,92,,106,46,58,52,159,,71,45,21,26,203,1005,161,589,364,NA,595,178,,279,,168,NA,,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,480,163,224,98,154,NA,,148,316,363,311,163,522,213,324,213,,170,108,,132,178,173,NA,136,,303,41,211,309,264,,388,328,362,241,464,792,486,495,534,NA,825,616,,889,,728,NA,,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,0,0,0,0,0,NA,,0,0,0,0,1,3,1,3,0,,0,0,,1,0,0,NA,3,,0,0,1,0,0,,0,0,0,3,2,9,0,9,0,NA,8,11,,0,,4,NA,,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,21.3,32.9,36.7,73.2,55.2,NA,,28.8,15.3,24.4,23.8,66.3,22.5,31.6,28.9,17.4,,41.2,28,,36.7,26.7,25.4,NA,39.8,,25.9,52.9,21.5,14.4,37.6,,15.5,12.1,5.5,9.6,30.3,55.6,24.9,53.9,40.5,NA,41.7,22.1,,23.9,,18.7,NA,,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,78.7,67.1,63.3,26.8,44.8,NA,,71.2,84.7,75.6,76.2,33.5,77.1,68.1,70.4,82.6,,58.8,72,,62.9,73.3,74.6,NA,58.9,,74.1,47.1,78.1,85.6,62.4,,84.5,87.9,94.5,89.3,69.4,43.9,75.1,45.3,59.5,NA,57.8,76.5,,76.1,,80.9,NA,,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,0,0,0,0,0,NA,,0,0,0,0,0.2,0.4,0.3,0.7,0,,0,0,,0.5,0,0,NA,1.3,,0,0,0.4,0,0,,0,0,0,1.1,0.3,0.5,0,0.8,0,NA,0.6,1.4,,0,,0.4,NA,,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,114,105,84,51,27,NA,,21,185,50,40,110,127,78,177,47,,128,62,,30,119,73,NA,122,,97,35,59,66,69,,79,84,38,34,279,483,115,233,198,NA,420,120,,283,,101,NA,,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,179,134,147,92,34,NA,,30,174,87,46,140,173,89,196,70,,159,81,,41,135,98,NA,145,,129,33,66,109,75,,108,124,59,51,313,785,223,367,342,NA,688,206,,462,,270,NA,,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,29.3,65,41.5,25.1,12.6,NA,,14.4,63.5,18.1,12.9,33.3,27.5,35.6,47.5,29.5,,55,54,,19.5,64.6,47.1,NA,70.4,,31.5,50,24.4,30.2,17.7,,26,33.2,15.4,18.9,50,52.1,34.5,40.2,38.1,NA,48.2,35.3,,44,,30,NA,,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,138693,103214,143088,141292,141293,141242,,146298,103613,103188,103189,139443,134099,140706,139125,103932,,103363,103615,,103468,103267,103213,103576,103295,147009,,103614,103164,103163,103422,,103201,103320,103445,,143087,103514,103501,139746,137858,142115,136406,140863,139962,,146124,145580,143038,,,,School Unique Reference Number
50,CENSUS_21,LA,330,330,330,333,333,330,,330,330,330,330,330,330,330,330,333,,330,330,,330,330,330,330,330,330,,330,330,330,330,,330,330,330,,330,330,330,330,330,330,330,330,330,,330,330,333,,,,LA number
51,CENSUS_21,ESTAB,2085,2099,2226,2124,2125,6017,,3362,7033,2053,2054,2020,2011,2299,2103,2104,,2436,7035,,3383,2191,2097,6060,2245,2199,,7034,2017,2016,3318,,2081,2296,3353,,2447,4237,4193,4240,5409,6018,5411,4014,6015,,4804,4031,6011,,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded special school,,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,,State-funded special school,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,Independent school,State-funded secondary,State-funded secondary,Independent school,,State-funded secondary,State-funded secondary,Independent school,,,,Type of school
53,CENSUS_21,NOR,632,232,328,352,340,36,,205,385,476,414,484,649,273,466,231,,311,150,,209,232,232,503,236,396,,89,270,359,417,,428,322,653,,633,1830,652,1112,899,19,1487,1081,6,,1196,1021,105,,,,Total number of pupils on roll
54,CENSUS_21,NORG,291,106,171,168,171,12,,111,128,229,188,225,329,136,222,113,,149,48,,105,107,119,234,104,188,,39,121,170,210,,212,162,326,,305,1830,0,494,357,5,669,470,3,,558,509,46,,,,Number of girls on roll
55,CENSUS_21,NORB,341,126,157,184,169,24,,94,257,247,226,259,320,137,244,118,,162,102,,104,125,113,269,132,208,,50,149,189,207,,216,160,327,,328,0,652,618,542,14,818,611,3,,638,512,59,,,,Number of boys on roll
56,CENSUS_21,PNORG,46.0%,45.7%,52.1%,47.7%,50.3%,33.3%,,54.1%,33.2%,48.1%,45.4%,46.5%,50.7%,49.8%,47.6%,48.9%,,47.9%,32.0%,,50.2%,46.1%,51.3%,46.5%,44.1%,47.5%,,43.8%,44.8%,47.4%,50.4%,,49.5%,50.3%,49.9%,,48.2%,100%,0%,44.4%,39.7%,26.3%,45.0%,43.5%,50.0%,,46.7%,49.9%,43.8%,,,,Percentage of girls on roll
57,CENSUS_21,PNORB,54.0%,54.3%,47.9%,52.3%,49.7%,66.7%,,45.9%,66.8%,51.9%,54.6%,53.5%,49.3%,50.2%,52.4%,51.1%,,52.1%,68.0%,,49.8%,53.9%,48.7%,53.5%,55.9%,52.5%,,56.2%,55.2%,52.6%,49.6%,,50.5%,49.7%,50.1%,,51.8%,0%,100%,55.6%,60.3%,73.7%,55.0%,56.5%,50.0%,,53.3%,50.1%,56.2%,,,,Percentage of boys on roll
58,CENSUS_21,TSENELSE,3,12,3,15,14,18,,2,385,7,2,2,8,1,4,1,,5,150,,1,3,2,5,12,2,,89,4,2,6,,4,1,1,,6,8,9,55,31,9,49,44,1,,9,6,11,,,,Number of SEN pupils with an EHC plan
59,CENSUS_21,PSENELSE,0.5%,5.2%,0.9%,4.3%,4.1%,50.0%,,1.0%,100%,1.5%,0.5%,0.4%,1.2%,0.4%,0.9%,0.4%,,1.6%,100%,,0.5%,1.3%,0.9%,1.0%,5.1%,0.5%,,100%,1.5%,0.6%,1.4%,,0.9%,0.3%,0.2%,,0.9%,0.4%,1.4%,4.9%,3.4%,47.4%,3.3%,4.1%,16.7%,,0.8%,0.6%,10.5%,,,,Percentage of SEN pupils with an EHC plan
60,CENSUS_21,TSENELK,111,36,47,37,31,0,,30,0,67,59,52,102,35,86,31,,83,0,,18,19,44,60,43,90,,0,30,44,51,,78,38,51,,80,219,119,316,60,0,222,66,0,,138,107,2,,,,Number of eligible pupils with SEN support
61,CENSUS_21,PSENELK,17.6%,15.5%,14.3%,10.5%,9.1%,0%,,14.6%,0%,14.1%,14.3%,10.7%,15.7%,12.8%,18.5%,13.4%,,26.7%,0%,,8.6%,8.2%,19.0%,11.9%,18.2%,22.7%,,0%,11.1%,12.3%,12.2%,,18.2%,11.8%,7.8%,,12.6%,12.0%,18.3%,28.4%,6.7%,0%,14.9%,6.1%,0%,,11.5%,10.5%,1.9%,,,,Percentage of eligible pupils with SEN support
