No,Namespace,Variable,Marston Green Infant Academy - 140733,Blackheath Primary School - 103981,Town Junior School - 141206,St Anthony's Catholic Primary School - 104103,St Anthony's Catholic Primary School - 148090,Minworth Junior and Infant School - 103345,Marston Green Junior School - 104060,Kingshurst Primary School - 135139,The Priory Primary School - 131212,Rowley Hall Primary School - 103955,St Anne's Catholic Primary School - 148092,St Anne's Catholic Primary School - 104104,Moorlands Primary School - 103908,Greswold Primary School - 104079,Forest Oak School - 104132,Merstone School - 104133,Smith's Wood Primary Academy - 140923,West Heath Primary School - 134279,Homeschool - 141501,Shirley Heath Junior School - 104050,Newtown Primary School - 103924,Newtown Primary School - 146434,Delves Junior School - 104170,Delves Infant School - 104150,Woodlands Infant School - 104053,Merritts Brook Primary E-ACT Academy - 139014,Grace Mary Primary School - 103945,Highfields Primary School - 103946,St John the Baptist Catholic Primary School - 148093,St John the Baptist Catholic Primary School - 104107,Hawkesley Church Primary Academy - 139269,Damson Wood Nursery and Infant School - 143051,Lea Hall Academy - 148722,Coppice Primary School - 137697,Tameside Primary School - 131735,Harvills Hawthorn Primary School - 131591,Park Hall Junior Academy - 137797,Tameside Primary Academy - 146358,Tudor Grange Academy Kingshurst - 146379,Plantsbrook School - 137053,Lode Heath School - 137008,Light Hall School - 137231,Smith's Wood Academy - 143895,WMG Academy for Young Engineers (Solihull) - 142900,Wodensborough Ormiston Academy - 139918,Ormiston Sandwell Community Academy - 135979,King Edward VI Northfield School for Girls - 148684,Turves Green Girls' School - 103499,High Point Academy - 148400,St Michael's Church of England High School - 104019,National state-funded primary,National state-funded secondary and 16 to 18,Description
15,L,MINORGROUP,Academy,Maintained school,Academy,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Special school,Special school,Academy,Maintained school,Special school,Maintained school,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Maintained school,Academy,Maintained school,Academy,Academy,Special school,Academy,Maintained school,Maintained school,Academy,Academy,Academy,Academy,Academy,Academy,Academy,Academy,Academy,Academy,Academy,Maintained school,Special school,Maintained school,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Academy converter,Community school,Academy sponsor led,Voluntary aided school,Academy converter,Community school,Community school,Community school,Community school,Foundation school,Academy converter,Voluntary aided school,Foundation school,Community school,Community special school,Community special school,Academy converter,Community school,Other independent special school,Community school,Community school,Academy sponsor led,Community school,Community school,Community school,Academy sponsor led,Community school,Community school,Academy converter,Voluntary aided school,Academy sponsor led,Academy sponsor led,Academy special sponsor led,Academy converter,Foundation school,Foundation school,Academy converter,Academy sponsor led,Academy sponsor led,Academy converter,Academy converter,Academy converter,Academy sponsor led,University technical college,Academy sponsor led,Academy sponsor led,Academy converter,Foundation school,Free schools special,Voluntary aided school,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,3,3,7,3,3,4,7,3,3,3,3,3,5,3,4,2,3,4,5,7,3,3,7,2,3,3,3,3,3,3,3,3,5,3,3,3,7,3,11,11,11,11,11,14,11,11,11,11,11,11,,,Lowest age of entry
21,L,AGEHIGH,7,11,11,11,11,11,11,11,11,11,11,11,11,11,19,19,11,11,11,11,11,11,11,7,7,11,11,11,11,11,11,7,14,11,11,11,11,11,18,18,16,16,16,19,16,16,16,16,16,16,,,Highest age of entry
22,L,GENDER,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Boys,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Girls,Girls,Mixed,Mixed,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Does not apply,Does not apply,Does not apply,Roman Catholic,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Seventh Day Adventist,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Roman Catholic,Church of England/Methodist,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,None,Does not apply,None,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Church of England,,,Religious character
24,L,ADMPOL,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,,,Admissions Policy
25,L,OFSTEDRATING,Good,Good,Good,Good,Good,Good,Outstanding,Requires improvement,Good,Requires improvement,Outstanding,Outstanding,Requires improvement,Good,Outstanding,Outstanding,Outstanding,Good,,Outstanding,Inadequate,,Good,Outstanding,Requires improvement,Good,Outstanding,Good,Good,Good,Good,Good,,Good,Inadequate,Outstanding,Good,,,Good,Good,Good,Requires improvement,Good,Good,Good,Good,Good,,Good,,,Ofsted rating
26,L,OFSTEDLASTINSP,16-10-2019,20-10-2021,15-01-2020,15-01-2019,09-06-2022,04-12-2019,15-03-2012,12-06-2019,10-11-2021,25-11-2021,07-11-2014,07-11-2014,07-11-2018,01-11-2017,22-01-2019,14-11-2017,04-05-2017,26-09-2019,,11-07-2012,08-11-2017,,26-01-2022,02-03-2022,31-01-2019,29-01-2019,13-02-2019,13-03-2019,06-12-2018,06-12-2018,13-10-2021,10-07-2019,,16-05-2017,12-07-2017,17-05-2013,03-03-2022,,,05-06-2019,06-03-2019,29-09-2021,02-05-2019,28-02-2019,08-07-2021,15-05-2018,07-03-2017,07-03-2017,,02-11-2017,,,Ofsted last inspection date
27,CENSUS_19,URN,140733,103981,141206,104103,,103345,104060,135139,131212,103955,,104104,103908,104079,104132,104133,140923,134279,141501,104050,103924,,104170,104150,104053,139014,103945,103946,,104107,139269,143051,,137697,,131591,137797,146358,146379,137053,137008,137231,143895,142900,139918,135979,,103499,,104019,,,School Unique Reference Number
28,CENSUS_19,LA,334,333,330,334,,330,334,334,333,333,,334,333,334,334,334,334,330,333,334,333,,335,335,334,330,333,333,,334,330,334,,885,,333,335,333,334,330,334,334,334,334,333,333,,330,,333,,,LA number
29,CENSUS_19,ESTAB,2081,2176,2145,3510,,2406,2051,3517,2183,2146,,3511,2046,2090,7005,7007,2094,2019,6007,2019,2074,,2043,2012,2026,2100,2127,2128,,3516,2121,2003,,2915,,2186,5201,2009,4003,4331,4019,4018,4037,4001,4002,6910,,4187,,4500,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded special school,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,,State-funded secondary,,State-funded secondary,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,355,504,238,264,,200,352,502,337,679,,475,209,585,175,113,446,406,2,389,233,,361,329,222,221,285,464,,219,240,156,,675,,495,409,581,1332,1380,1136,1183,992,324,958,1006,,608,,1167,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,189,259,126,142,,101,188,250,171,329,,257,106,302,51,28,234,225,0,180,106,,179,157,116,118,131,230,,111,112,75,,327,,253,198,279,612,686,538,580,477,50,459,489,,608,,561,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,166,245,112,122,,99,164,252,166,350,,218,103,283,124,85,212,181,2,209,127,,182,172,106,103,154,234,,108,128,81,,348,,242,211,302,720,694,598,603,515,274,499,517,,0,,606,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,53.2,51.4,52.9,53.8,,50.5,53.4,49.8,50.7,48.5,,54.1,50.7,51.6,29.1,24.8,52.5,55.4,0,46.3,45.5,,49.6,47.7,52.3,53.4,46,49.6,,50.7,46.7,48.1,,48.4,,51.1,48.4,48,45.9,49.7,47.4,49,48.1,15.4,47.9,48.6,,100,,48.1,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,46.8,48.6,47.1,46.2,,49.5,46.6,50.2,49.3,51.5,,45.9,49.3,48.4,70.9,75.2,47.5,44.6,100,53.7,54.5,,50.4,52.3,47.7,46.6,54,50.4,,49.3,53.3,51.9,,51.6,,48.9,51.6,52,54.1,50.3,52.6,51,51.9,84.6,52.1,51.4,,0,,51.9,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,1,10,3,1,,2,4,1,6,8,,3,1,5,174,99,3,5,0,8,3,,4,3,0,0,12,3,,4,2,1,,1,,8,8,10,25,39,19,13,13,4,38,12,,4,,49,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,0.3,2,1.3,0.4,,1,1.1,0.2,1.8,1.2,,0.6,0.5,0.9,99.4,87.6,0.7,1.2,0,2.1,1.3,,1.1,0.9,0,0,4.2,0.6,,1.8,0.8,0.6,,0.1,,1.6,2,1.7,1.9,2.8,1.7,1.1,1.3,1.2,4,1.2,,0.7,,4.2,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,38,51,20,48,,43,44,126,50,113,,103,31,45,1,14,94,66,0,48,24,,58,34,10,56,35,78,,27,37,36,,44,,89,31,73,190,125,116,104,180,34,167,167,,76,,213,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,10.7,10.1,8.4,18.2,,21.5,12.5,25.1,14.8,16.6,,21.7,14.8,7.7,0.6,12.4,21.1,16.3,0,12.3,10.3,,16.1,10.3,4.5,25.3,12.3,16.8,,12.3,15.4,23.1,,6.5,,18,7.6,12.6,14.3,9.1,10.2,8.8,18.1,10.5,17.4,16.6,,12.5,,18.3,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,45,70,20,21,,6,23,20,74,59,,48,36,104,6,7,15,23,NA,55,61,,189,216,29,44,45,74,,10,19,31,,13,,169,286,92,59,92,67,120,40,28,201,274,,61,,81,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,309,434,217,243,,194,329,482,262,620,,427,173,481,169,106,431,383,NA,334,171,,170,113,193,177,240,390,,208,221,125,,662,,326,117,489,1273,1272,1061,1062,920,294,749,732,,546,,1085,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,1,0,1,0,,0,0,0,1,0,,0,0,0,0,0,0,0,NA,0,1,,2,0,0,0,0,0,,1,0,0,,0,,0,6,0,0,16,8,1,32,2,8,0,,1,,1,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,12.7,13.9,8.4,8,,3,6.5,4,22,8.7,,10.1,17.2,17.8,3.4,6.2,3.4,5.7,NA,14.1,26.2,,52.4,65.7,13.1,19.9,15.8,15.9,,4.6,7.9,19.9,,1.9,,34.1,69.9,15.8,4.4,6.7,5.9,10.1,4,8.6,21,27.2,,10,,6.9,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,87,86.1,91.2,92,,97,93.5,96,77.7,91.3,,89.9,82.8,82.2,96.6,93.8,96.6,94.3,NA,85.9,73.4,,47.1,34.3,86.9,80.1,84.2,84.1,,95,92.1,80.1,,98.1,,65.9,28.6,84.2,95.6,92.2,93.4,89.8,92.7,90.7,78.2,72.8,,89.8,,93,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,0.3,0,0.4,0,,0,0,0,0.3,0,,0,0,0,0,0,0,0,NA,0,0.4,,0.6,0,0,0,0,0,,0.5,0,0,,0,,0,1.5,0,0,1.2,0.7,0.1,3.2,0.6,0.8,0,,0.2,,0.1,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,42,118,26,68,,80,58,166,112,145,,82,56,36,82,41,147,156,NA,40,61,,81,50,11,93,61,82,,101,127,30,,56,,106,17,207,316,95,128,175,321,42,311,214,,193,,252,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,43,175,45,82,,85,86,221,142,210,,114,85,47,90,38,200,214,NA,52,85,,125,55,11,126,100,98,,124,151,32,,83,,145,29,263,519,208,248,354,564,64,473,379,,307,,433,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,15.6,38.8,18.9,39.4,,42.5,24.4,47.8,47.8,33.8,,27,40.7,8.8,60,44.2,49.1,52.7,NA,13.4,41.1,,34.6,20.4,6.1,63.6,41.8,23.5,,62.6,72.9,25.4,,13.6,,32.4,7.1,49.1,47.1,18.2,21.8,29.9,56.9,36.2,49.4,37.7,,50.5,,37.1,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,140733,103981,141206,104103,,103345,104060,135139,131212,103955,,104104,103908,104079,104132,104133,140923,134279,141501,104050,,146434,104170,104150,104053,139014,103945,103946,,104107,139269,143051,,137697,,131591,137797,146358,146379,137053,137008,137231,143895,142900,139918,135979,,103499,,104019,,,School Unique Reference Number
50,CENSUS_21,LA,334,333,330,334,,330,334,334,333,333,,334,333,334,334,334,334,330,333,334,,333,335,335,334,330,333,333,,334,330,334,,885,,333,335,333,334,330,334,334,334,334,333,333,,330,,333,,,LA number
51,CENSUS_21,ESTAB,2081,2176,2145,3510,,2406,2051,3517,2183,2146,,3511,2046,2090,7005,7007,2094,2019,6007,2019,,2011,2043,2012,2026,2100,2127,2128,,3516,2121,2003,,2915,,2186,5201,2009,4003,4331,4019,4018,4037,4001,4002,6910,,4187,,4500,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded special school,State-funded primary,State-funded primary,Independent school,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,,State-funded secondary,,State-funded secondary,,,Type of school
53,CENSUS_21,NOR,336,492,235,258,,207,349,524,386,649,,461,204,654,174,127,455,402,0,418,,218,358,343,205,220,246,429,,225,220,169,,691,,460,409,514,1316,1494,1162,1202,950,407,1110,1086,,679,,1221,,,Total number of pupils on roll
54,CENSUS_21,NORG,169,245,117,134,,103,182,251,196,312,,255,99,335,51,35,233,225,0,195,,98,181,168,115,101,112,191,,110,113,79,,338,,237,188,245,636,760,558,548,485,44,558,517,,679,,600,,,Number of girls on roll
55,CENSUS_21,NORB,167,247,118,124,,104,167,273,190,337,,206,105,319,123,92,222,177,0,223,,120,177,175,90,119,134,238,,115,107,90,,353,,223,221,269,680,734,604,654,465,363,552,569,,0,,621,,,Number of boys on roll
56,CENSUS_21,PNORG,50.3%,49.8%,49.8%,51.9%,,49.8%,52.1%,47.9%,50.8%,48.1%,,55.3%,48.5%,51.2%,29.3%,27.6%,51.2%,56.0%,,46.7%,,45.0%,50.6%,49.0%,56.1%,45.9%,45.5%,44.5%,,48.9%,51.4%,46.7%,,48.9%,,51.5%,46.0%,47.7%,48.3%,50.9%,48.0%,45.6%,51.1%,10.8%,50.3%,47.6%,,100%,,49.1%,,,Percentage of girls on roll
57,CENSUS_21,PNORB,49.7%,50.2%,50.2%,48.1%,,50.2%,47.9%,52.1%,49.2%,51.9%,,44.7%,51.5%,48.8%,70.7%,72.4%,48.8%,44.0%,,53.3%,,55.0%,49.4%,51.0%,43.9%,54.1%,54.5%,55.5%,,51.1%,48.6%,53.3%,,51.1%,,48.5%,54.0%,52.3%,51.7%,49.1%,52.0%,54.4%,48.9%,89.2%,49.7%,52.4%,,0%,,50.9%,,,Percentage of boys on roll
58,CENSUS_21,TSENELSE,4,13,0,6,,5,5,7,5,12,,8,2,17,174,117,5,3,0,12,,1,7,6,4,0,21,5,,3,3,4,,3,,7,9,10,29,34,16,20,24,7,58,16,,1,,38,,,Number of SEN pupils with an EHC plan
59,CENSUS_21,PSENELSE,1.2%,2.6%,0%,2.3%,,2.4%,1.4%,1.3%,1.3%,1.8%,,1.7%,1.0%,2.6%,100%,92.1%,1.1%,0.7%,,2.9%,,0.5%,2.0%,1.7%,2.0%,0%,8.5%,1.2%,,1.3%,1.4%,2.4%,,0.4%,,1.5%,2.2%,1.9%,2.2%,2.3%,1.4%,1.7%,2.5%,1.7%,5.2%,1.5%,,0.1%,,3.1%,,,Percentage of SEN pupils with an EHC plan
60,CENSUS_21,TSENELK,20,56,30,45,,42,59,128,63,80,,84,39,52,0,10,66,80,0,41,,25,54,17,11,44,41,75,,23,40,21,,43,,79,25,80,202,174,145,121,190,57,223,162,,89,,262,,,Number of eligible pupils with SEN support
61,CENSUS_21,PSENELK,6.0%,11.4%,12.8%,17.4%,,20.3%,16.9%,24.4%,16.3%,12.3%,,18.2%,19.1%,8.0%,0%,7.9%,14.5%,19.9%,,9.8%,,11.5%,15.1%,5.0%,5.4%,20.0%,16.7%,17.5%,,10.2%,18.2%,12.4%,,6.2%,,17.2%,6.1%,15.6%,15.3%,11.6%,12.5%,10.1%,20.0%,14.0%,20.1%,14.9%,,13.1%,,21.5%,,,Percentage of eligible pupils with SEN support
