No,Namespace,Variable,Old Church Church of England C Primary School - 104224,Alumwell Junior School - 104142,Alumwell Infant School - 104143,Foxyards Primary School - 148182,Foxyards Primary School - 103788,Croft Academy - 138420,Wallbrook Primary Academy - 147721,Wallbrook Primary School - 103783,Reedswood E-ACT Academy - 138452,Priory Primary School - 145305,Jesson's CofE Primary School (VA) - 103845,"St Joseph's Catholic Primary School, Darlaston - 104235",Quarry Bank Primary School - 103830,Woods Bank Academy - 139305,Bentley Heath Church of England Primary School - 140462,North Walsall Primary Academy - 144499,Wilkinson Primary School - 104325,The Wenlock School - 145563,Christ Church CofE Primary School - 103838,Radleys Primary School - 104207,King Charles Primary School - 104175,Leighswood School - 131433,County Bridge Primary School - 104189,George Fentham Endowed School - 104094,"The Jane Lane School,  A College for Cognition & Learning - 104271",Woodside Primary School and Nursery - 143821,St Thomas of Canterbury Catholic Primary School - 104236,Wollescote Primary School - 103800,Wrens Nest Primary School - 103823,Lickey Hills Primary School and Nursery - 116773,St Andrew's CofE First School - 116865,Mount Pleasant Primary School - 103780,The Island Project School - 135453,Edgar Stammers Primary Academy - 139610,Loxdale Primary School - 104315,Rosewood School - 103882,Crown Meadow First School & Nursery - 116646,Alvechurch CofE Middle School - 143507,Knowle Church of England Primary Academy - 139457,St Mary's RC Primary School - 141489,Bentley West Primary School Additionally Resourced for Hearing Impaired - 104174,St James Academy - 144657,Waseley Hills High School - 138664,Grace Academy Darlaston - 135956,Elmwood School - 135461,Priory Park Community School - 148642,Pegasus Academy - 137390,Sutton School - 103877,Bishop Milner Catholic College - 140126,"St Thomas More Catholic School, Willenhall - 104259",National state-funded primary,National state-funded secondary and 16 to 18,Description
679,KS5_STUDEST_19,L2_HEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,1%,Higher education (level 4 and above) (Level 2) (percentage) (disadvantaged)
680,KS5_STUDEST_19,L2_OTHER_EDUPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,2%,Other education destinations (Level 2) (percentage) (disadvantaged)
681,KS5_STUDEST_19,L2_EMPLOYMENTPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,30%,Students staying in employment for at least two terms after 16 to 18 study (Level 2) (percentage) (disadvantaged)
682,KS5_STUDEST_19,L2_NOT_SUSTAINEDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,25%,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 2) (percentage) (disadvantaged)
683,KS5_STUDEST_19,L2_NOT_CAPTUREDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,8%,Activity not captured in data (Level 2) (percentage) (disadvantaged)
684,KS5_STUDEST_19,L2_COHORT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,52504,Number of students who reached the end of 16 to 18 study in 2016/17 (Level 2)  (not identified as disadvantaged)
685,KS5_STUDEST_19,L2_OVERALL_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,40482,Staying in education or employment for at least two terms after 16 to 18 study (Level 2)  (number of students) (not identified as disadvantaged)
686,KS5_STUDEST_19,L2_APPREN_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,9789,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 2)  (number of students) (not identified as disadvantaged)
687,KS5_STUDEST_19,L2_EDUCATION_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,12609,Students staying in education for at least two terms after 16 to 18 study (Level 2)  (number of students) (not identified as disadvantaged)
688,KS5_STUDEST_19,L2_FE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,10894,Further education (level 3 and below) (Level 2)  (number of students) (not identified as disadvantaged)
689,KS5_STUDEST_19,L2_HE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,428,Higher education (level 4 and above) (Level 2)  (number of students) (not identified as disadvantaged)
690,KS5_STUDEST_19,L2_OTHER_EDU_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,1287,Other education destinations (Level 2)  (number of students) (not identified as disadvantaged)
691,KS5_STUDEST_19,L2_EMPLOYMENT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,18084,Students staying in employment for at least two terms after 16 to 18 study (Level 2)  (number of students) (not identified as disadvantaged)
692,KS5_STUDEST_19,L2_NOT_SUSTAINED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,8089,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 2)  (number of students) (not identified as disadvantaged)
693,KS5_STUDEST_19,L2_NOT_CAPTURED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,3933,Activity not captured in data (Level 2)  (number of students) (not identified as disadvantaged)
694,KS5_STUDEST_19,L2_OVERALLPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,77%,Staying in education or employment for at least two terms after 16 to 18 study (Level 2) (percentage) (not identified as disadvantaged)
695,KS5_STUDEST_19,L2_APPRENPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,19%,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 2) (percentage) (not identified as disadvantaged)
696,KS5_STUDEST_19,L2_EDUCATIONPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,24%,Students staying in education for at least two terms after 16 to 18 study (Level 2) (percentage) (not identified as disadvantaged)
697,KS5_STUDEST_19,L2_FEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,21%,Further education (level 3 and below) (Level 2) (percentage) (not identified as disadvantaged)
698,KS5_STUDEST_19,L2_HEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,1%,Higher education (level 4 and above) (Level 2) (percentage) (not identified as disadvantaged)
699,KS5_STUDEST_19,L2_OTHER_EDUPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,2%,Other education destinations (Level 2) (percentage) (not identified as disadvantaged)
700,KS5_STUDEST_19,L2_EMPLOYMENTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,34%,Students staying in employment for at least two terms after 16 to 18 study (Level 2) (percentage) (not identified as disadvantaged)
701,KS5_STUDEST_19,L2_NOT_SUSTAINEDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,15%,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 2) (percentage) (not identified as disadvantaged)
702,KS5_STUDEST_19,L2_NOT_CAPTUREDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,NA,SUPP,,7%,Activity not captured in data (Level 2) (percentage) (not identified as disadvantaged)
703,KS5_STUDEST_19,LALLOTH_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,4,6,,75630,"Number of students who reached the end of 16 to 18 study in 2016/17 (L1, entry level and other)  "
704,KS5_STUDEST_19,LALLOTH_OVERALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,3,,42697,"Staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) "
705,KS5_STUDEST_19,LALLOTH_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,3,,10969,"Staying in apprenticeships for at least 6 months after 16 to 18 study (L1, entry level and other)  (number of students) "
706,KS5_STUDEST_19,LALLOTH_EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,0,,12639,"Students staying in education for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) "
707,KS5_STUDEST_19,LALLOTH_FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,0,,11658,"Further education (level 3 and below) (L1, entry level and other)  (number of students) "
708,KS5_STUDEST_19,LALLOTH_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,0,,0,"Higher education (level 4 and above) (L1, entry level and other)  (number of students) "
709,KS5_STUDEST_19,LALLOTH_OTHER_EDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,0,,981,"Other education destinations (L1, entry level and other)  (number of students) "
710,KS5_STUDEST_19,LALLOTH_EMPLOYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,0,,19089,"Students staying in employment for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) "
711,KS5_STUDEST_19,LALLOTH_NOT_SUSTAINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,1,,22017,"Students not staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) "
712,KS5_STUDEST_19,LALLOTH_NOT_CAPTURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,2,,10916,"Activity not captured in data (L1, entry level and other)  (number of students) "
713,KS5_STUDEST_19,LALLOTH_OVERALLPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,50%,,56%,"Staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) "
714,KS5_STUDEST_19,LALLOTH_APPRENPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,50%,,15%,"Staying in apprenticeships for at least 6 months after 16 to 18 study (L1, entry level and other) (percentage) "
715,KS5_STUDEST_19,LALLOTH_EDUCATIONPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,0%,,17%,"Students staying in education for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) "
716,KS5_STUDEST_19,LALLOTH_FEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,0%,,15%,"Further education (level 3 and below) (L1, entry level and other) (percentage) "
717,KS5_STUDEST_19,LALLOTH_HEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,0%,,0%,"Higher education (level 4 and above) (L1, entry level and other) (percentage) "
718,KS5_STUDEST_19,LALLOTH_OTHER_EDUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,0%,,1%,"Other education destinations (L1, entry level and other) (percentage) "
719,KS5_STUDEST_19,LALLOTH_EMPLOYMENTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,0%,,25%,"Students staying in employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) "
720,KS5_STUDEST_19,LALLOTH_NOT_SUSTAINEDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,17%,,29%,"Students not staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) "
721,KS5_STUDEST_19,LALLOTH_NOT_CAPTUREDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,33%,,14%,"Activity not captured in data (L1, entry level and other) (percentage) "
722,KS5_STUDEST_19,LALLOTH_COHORT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,29766,"Number of students who reached the end of 16 to 18 study in 2016/17 (L1, entry level and other)  (disadvantaged)"
723,KS5_STUDEST_19,LALLOTH_OVERALL_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,14106,"Staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (disadvantaged)"
724,KS5_STUDEST_19,LALLOTH_APPREN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,3130,"Staying in apprenticeships for at least 6 months after 16 to 18 study (L1, entry level and other)  (number of students) (disadvantaged)"
725,KS5_STUDEST_19,LALLOTH_EDUCATION_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,4302,"Students staying in education for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (disadvantaged)"
726,KS5_STUDEST_19,LALLOTH_FE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,3985,"Further education (level 3 and below) (L1, entry level and other)  (number of students) (disadvantaged)"
727,KS5_STUDEST_19,LALLOTH_HE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,0,"Higher education (level 4 and above) (L1, entry level and other)  (number of students) (disadvantaged)"
728,KS5_STUDEST_19,LALLOTH_OTHER_EDU_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,317,"Other education destinations (L1, entry level and other)  (number of students) (disadvantaged)"
729,KS5_STUDEST_19,LALLOTH_EMPLOYMENT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,6674,"Students staying in employment for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (disadvantaged)"
730,KS5_STUDEST_19,LALLOTH_NOT_SUSTAINED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,11427,"Students not staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (disadvantaged)"
731,KS5_STUDEST_19,LALLOTH_NOT_CAPTURED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,4233,"Activity not captured in data (L1, entry level and other)  (number of students) (disadvantaged)"
732,KS5_STUDEST_19,LALLOTH_OVERALLPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,47%,"Staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (disadvantaged)"
733,KS5_STUDEST_19,LALLOTH_APPRENPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,11%,"Staying in apprenticeships for at least 6 months after 16 to 18 study (L1, entry level and other) (percentage) (disadvantaged)"
734,KS5_STUDEST_19,LALLOTH_EDUCATIONPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,14%,"Students staying in education for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (disadvantaged)"
735,KS5_STUDEST_19,LALLOTH_FEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,13%,"Further education (level 3 and below) (L1, entry level and other) (percentage) (disadvantaged)"
736,KS5_STUDEST_19,LALLOTH_HEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,0%,"Higher education (level 4 and above) (L1, entry level and other) (percentage) (disadvantaged)"
737,KS5_STUDEST_19,LALLOTH_OTHER_EDUPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,1%,"Other education destinations (L1, entry level and other) (percentage) (disadvantaged)"
738,KS5_STUDEST_19,LALLOTH_EMPLOYMENTPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,22%,"Students staying in employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (disadvantaged)"
739,KS5_STUDEST_19,LALLOTH_NOT_SUSTAINEDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,38%,"Students not staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (disadvantaged)"
740,KS5_STUDEST_19,LALLOTH_NOT_CAPTUREDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,14%,"Activity not captured in data (L1, entry level and other) (percentage) (disadvantaged)"
741,KS5_STUDEST_19,LALLOTH_COHORT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,45864,"Number of students who reached the end of 16 to 18 study in 2016/17 (L1, entry level and other)  (not identified as disadvantaged)"
742,KS5_STUDEST_19,LALLOTH_OVERALL_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,28591,"Staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
743,KS5_STUDEST_19,LALLOTH_APPREN_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,7839,"Staying in apprenticeships for at least 6 months after 16 to 18 study (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
744,KS5_STUDEST_19,LALLOTH_EDUCATION_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,8337,"Students staying in education for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
745,KS5_STUDEST_19,LALLOTH_FE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,7673,"Further education (level 3 and below) (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
746,KS5_STUDEST_19,LALLOTH_HE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,0,"Higher education (level 4 and above) (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
747,KS5_STUDEST_19,LALLOTH_OTHER_EDU_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,664,"Other education destinations (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
748,KS5_STUDEST_19,LALLOTH_EMPLOYMENT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,12415,"Students staying in employment for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
749,KS5_STUDEST_19,LALLOTH_NOT_SUSTAINED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,10590,"Students not staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
750,KS5_STUDEST_19,LALLOTH_NOT_CAPTURED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,6683,"Activity not captured in data (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
751,KS5_STUDEST_19,LALLOTH_OVERALLPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,62%,"Staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (not identified as disadvantaged)"
752,KS5_STUDEST_19,LALLOTH_APPRENPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,17%,"Staying in apprenticeships for at least 6 months after 16 to 18 study (L1, entry level and other) (percentage) (not identified as disadvantaged)"
753,KS5_STUDEST_19,LALLOTH_EDUCATIONPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,18%,"Students staying in education for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (not identified as disadvantaged)"
754,KS5_STUDEST_19,LALLOTH_FEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,17%,"Further education (level 3 and below) (L1, entry level and other) (percentage) (not identified as disadvantaged)"
755,KS5_STUDEST_19,LALLOTH_HEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,0%,"Higher education (level 4 and above) (L1, entry level and other) (percentage) (not identified as disadvantaged)"
756,KS5_STUDEST_19,LALLOTH_OTHER_EDUPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,1%,"Other education destinations (L1, entry level and other) (percentage) (not identified as disadvantaged)"
757,KS5_STUDEST_19,LALLOTH_EMPLOYMENTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,27%,"Students staying in employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (not identified as disadvantaged)"
758,KS5_STUDEST_19,LALLOTH_NOT_SUSTAINEDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,23%,"Students not staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (not identified as disadvantaged)"
759,KS5_STUDEST_19,LALLOTH_NOT_CAPTUREDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,SUPP,,15%,"Activity not captured in data (L1, entry level and other) (percentage) (not identified as disadvantaged)"
760,KS5_STUDEST_19,LAESTAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8854044,3356907,,,,,3324800,3355401,,,
761,KS5_STUDEST_19,REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,
762,KS5_STUDEST_19,ALL_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,1,2,,NA,Band for the total cohort (e.g. About average)
763,KS5_STUDEST_19,ALL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,,,,,21,13,,0.0,Progression score for the total cohort
764,KS5_STUDEST_19,ALL_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,19,,,,,89,135,,,Cohort size
765,KS5_STUDEST_19,ALL_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69%,74%,,,,,82%,70%,,62%,Progressed
766,KS5_STUDEST_19,ALL_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,0%,,,,,1%,0%,,1%,Apprenticeships
767,KS5_STUDEST_19,ALL_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64%,74%,,,,,80%,68%,,58%,HE
768,KS5_STUDEST_19,ALL_TOP3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,0%,,,,,6%,5%,,19%,Top third
769,KS5_STUDEST_19,ALL_RUSSELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,0%,,,,,1%,4%,,14%,Russell
770,KS5_STUDEST_19,ALL_OXBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,0%,0%,,1%,Oxbridge
771,KS5_STUDEST_19,ALL_HTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,0%,,,,,1%,1%,,3%,Higher technical
772,KS5_STUDEST_19,ACADAGEN_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,19,,,,,88,134,,318795,Cohort size for academic/applied general cohort
773,KS5_STUDEST_19,ACADAGEN_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69%,74%,,,,,82%,70%,,68%,Progressed for academic/applied general cohort
774,KS5_STUDEST_19,ACADAGEN_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,,,,,21,13,,0,Progression score for academic/applied general cohort
775,KS5_STUDEST_19,ACADAGEN_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,1,2,,NA,Band for academic/applied general cohort
776,KS5_STUDEST_19,TLEV_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,1,0,,56188,Cohort size for TLEV cohort
777,KS5_STUDEST_19,TLEV_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,NA,,39%,Progressed for TLEV cohort
778,KS5_STUDEST_19,TLEV_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,NA,,0,Score for TLEV cohort
779,KS5_STUDEST_19,TLEV_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,SUPP,NA,,NA,Band for TLEV cohort
