No,Namespace,Variable,James Watt Primary School - 134102,Norfolk House School - 103572,Cannon Hill House 14 Russell Road - 103588,Deykin Avenue Junior and Infant School - 103313,Oasis Academy Boulton - 139242,Grove School - 103392,Bordesley Green Primary School - 103172,Arden Primary School - 103324,Anderton Park Primary School - 103192,St Benedict's Primary School - 103261,Holy Family Catholic Primary School - 103421,Birmingham Muslim School - 133521,Ark Victoria Academy - 141752,St Martin de Porres Catholic Primary School - 103467,The Blue Coat School Birmingham - 103580,Starbank School - 147757,Starbank  School - 103258,English Martyrs' Catholic Primary School - 103425,Chad Vale Primary School - 103332,Greet Primary School - 143090,Shireland Hall Primary Academy - 139875,William Murdoch Primary School - 103317,Wilkes Green Infant School (NC) - 103308,Slade Primary School - 138590,St John's CofE Primary School - 139173,Cape Primary School - 103937,Alston Primary School - 140656,George Dixon Primary School - 103200,St Teresa's Catholic Primary School - 103456,Sladefield Infant School - 103255,Woodbourne Hospital School - 142623,Hamilton School - 103600,King David Primary School - 103444,Waverley School - 142219,Ark Boulton Academy - 140014,King Edward VI Handsworth Grammar School for Boys - 143562,Green Oak Academy - 131164,Spring Hill High School - 134982,Harborne Academy - 136213,Myles Academy - 148644,"Eden Boys' School, Birmingham - 141969",Waverley Studio College - 139788,King Edward's School - 103584,Saltley Academy - 141668,King Edward VI High School for Girls - 103585,V.A.S.E Academy - 147702,King Edward VI Handsworth Wood Girls' Academy - 138937,Prince Albert High School - 148553,George Dixon Academy - 138695,Holyhead School - 137034,National state-funded primary,National state-funded secondary and 16 to 18,Description
11,L,POSTCODE,B21 0RE,B15 3PS,B13 8RD,B6 7BU,B21 0RE,B21 9HB,B9 5XX,B11 4SF,B12 8BL,B10 9DP,B10 0HT,B11 2PZ,B10 0HJ,B13 9DN,B17 0HR,B10 9BT,B10 9LR,B11 3JW,B15 3JU,B11 3ND,B66 4PW,B21 9NT,B21 9NT,B23 7PX,B11 4EA,B66 4SH,B9 5UN,B17 8LE,B20 2NY,B8 2TJ,B17 8BY,B21 8AH,B13 8EY,B9 5QA,B11 2QG,B21 9ET,B13 9BB,B23 7PG,B15 3JL,B21 0PD,B42 2SY,B9 5SX,B15 2UA,B9 5RX,B15 2UB,B21 0NA,B20 2HL,B42 2TU,B16 9GD,B21 0HN,,,School postcode
12,L,SCHSTATUS,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,,,School open / closed status
13,L,OPENDATE,,,,,,,,,,,,,,,,01-10-2020,,,,,,,,,,,,,,,,,,,,,,,,13-08-2021,,,,,,21-08-2020,,01-09-2021,,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,,,,,,,,,,,,16-12-2019,,,,,30-09-2020,,,,,,30-04-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date the school closed
15,L,MINORGROUP,Maintained school,Independent school,Special school,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Independent school,Academy,Maintained school,Independent school,Academy,Maintained school,Maintained school,Maintained school,Academy,Academy,Maintained school,Maintained school,Academy,Academy,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Independent school,Special school,Maintained school,Academy,Academy,Academy,Independent school,Special school,Academy,Special school,Academy,Academy,Independent school,Academy,Independent school,Independent school,Academy,Academy,Academy,Academy,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Community school,Other independent school,Other independent special school,Community school,Academy sponsor led,Community school,Community school,Community school,Community school,Community school,Voluntary aided school,Other independent school,Free schools,Voluntary aided school,Other independent school,Academy sponsor led,Community school,Voluntary aided school,Community school,Academy converter,Academy converter,Community school,Community school,Academy sponsor led,Academy converter,Community school,Academy sponsor led,Community school,Voluntary aided school,Community school,Other independent school,Foundation special school,Voluntary aided school,Academy converter,Academy sponsor led,Academy converter,Other independent school,Other independent special school,Academy sponsor led,Other independent special school,Free schools,Studio schools,Other independent school,Academy sponsor led,Other independent school,Other independent school,Academy converter,Free schools,Academy converter,Academy converter,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,3,3,3,4,3,3,3,3,3,4,3,4,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,5,10,4,3,4,11,11,11,11,11,13,11,14,11,11,11,11,11,11,11,11,,,Lowest age of entry
21,L,AGEHIGH,11,11,11,11,11,11,11,11,11,11,11,11,18,11,11,16,16,11,11,11,11,11,7,11,11,11,11,11,11,7,18,11,11,19,16,18,16,19,16,19,18,19,18,16,18,16,18,18,18,18,,,Highest age of entry
22,L,GENDER,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Boys,Girls,Mixed,Mixed,Mixed,Boys,Mixed,Boys,Mixed,Girls,Mixed,Girls,Mixed,Mixed,Mixed,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Does not apply,None,None,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,None,None,Roman Catholic,Church of England,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,None,Church of England,Does not apply,Does not apply,Does not apply,Roman Catholic,Does not apply,None,Does not apply,Jewish,Does not apply,Does not apply,None,None,None,Does not apply,,Muslim,None,Christian,Does not apply,Christian,None,Does not apply,None,None,None,,,Religious character
24,L,ADMPOL,Not applicable,Selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Non-selective,Selective,Non-selective,Not applicable,Non-selective,,,Non-selective,Selective,Non-selective,Selective,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,,,Admissions Policy
25,L,OFSTEDRATING,Good,,,Requires improvement,Good,Good,Good,Good,Good,Good,Good,,Good,Good,,,Inadequate,Outstanding,Good,Requires improvement,Outstanding,Good,Inadequate,Good,Outstanding,Requires improvement,Good,Requires improvement,Good,Outstanding,,Outstanding,Good,Good,Good,Outstanding,,,Good,,Outstanding,Good,,Good,,,Outstanding,,Good,Good,,,Ofsted rating
26,L,OFSTEDLASTINSP,19-03-2019,,,23-10-2019,30-01-2019,16-05-2018,06-07-2017,27-02-2019,06-12-2017,27-06-2017,11-03-2020,,27-03-2019,30-09-2021,,,03-07-2019,12-11-2021,19-04-2018,16-03-2022,18-05-2022,29-04-2015,07-12-2016,06-12-2018,20-11-2014,26-06-2019,27-06-2019,29-09-2021,12-02-2020,04-02-2009,,16-10-2019,05-07-2017,29-09-2021,04-05-2017,23-03-2022,,,21-06-2017,,23-05-2018,18-01-2017,,14-02-2018,,,23-05-2014,,22-03-2017,05-02-2020,,,Ofsted last inspection date
27,CENSUS_19,URN,134102,,103588,103313,139242,103392,103172,103324,103192,103261,103421,133521,141752,103467,103580,,103258,103425,103332,143090,139875,103317,103308,138590,139173,103937,140656,103200,103456,103255,,103600,103444,142219,140014,143562,,134982,136213,,141969,139788,103584,141668,103585,,138937,,138695,137034,,,School Unique Reference Number
28,CENSUS_19,LA,330,,330,330,330,330,330,330,330,330,330,330,330,330,330,,330,330,330,330,333,330,330,330,330,333,330,330,330,330,,330,330,330,330,330,,330,330,,330,330,330,330,330,,330,,330,330,,,LA number
29,CENSUS_19,ESTAB,2015,,6080,2284,2117,2466,2030,2300,2062,2183,3317,6102,4019,3382,6070,,2179,3321,2312,2086,2161,2293,2276,2037,3306,2113,2144,2079,3365,2174,,7006,3352,4009,4013,5402,,6112,6910,,4021,4010,6076,4018,6077,,4207,,5412,4241,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,State-funded primary,,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded secondary,State-funded primary,Independent school,,State-funded secondary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded special school,State-funded primary,State-funded secondary,State-funded secondary,State-funded secondary,,Independent school,State-funded secondary,,State-funded secondary,State-funded secondary,Independent school,State-funded secondary,Independent school,,State-funded secondary,,State-funded secondary,State-funded secondary,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,485,,21,211,250,688,737,691,674,354,256,77,1535,202,610,,2217,416,421,918,693,355,342,452,492,656,660,393,208,359,,122,231,1677,894,1033,,20,633,,487,236,862,1097,601,,915,,933,1315,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,237,,11,111,120,349,364,322,319,180,139,39,746,102,291,,1106,199,202,452,343,162,162,230,239,338,329,184,97,175,,19,112,806,410,50,,7,244,,0,142,0,526,601,,915,,441,637,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,248,,10,100,130,339,373,369,355,174,117,38,789,100,319,,1111,217,219,466,350,193,180,222,253,318,331,209,111,184,,103,119,871,484,983,,13,389,,487,94,862,571,0,,0,,492,678,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,48.9,,52.4,52.6,48,50.7,49.4,46.6,47.3,50.8,54.3,50.6,48.6,50.5,47.7,,49.9,47.8,48,49.2,49.5,45.6,47.4,50.9,48.6,51.5,49.8,46.8,46.6,48.7,,15.6,48.5,48.1,45.9,4.8,,35,38.5,,0,60.2,0,47.9,100,,100,,47.3,48.4,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,51.1,,47.6,47.4,52,49.3,50.6,53.4,52.7,49.2,45.7,49.4,51.4,49.5,52.3,,50.1,52.2,52,50.8,50.5,54.4,52.6,49.1,51.4,48.5,50.2,53.2,53.4,51.3,,84.4,51.5,51.9,54.1,95.2,,65,61.5,,100,39.8,100,52.1,0,,0,,52.7,51.6,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,6,,16,2,0,3,4,11,1,1,4,0,6,2,0,,16,4,13,6,20,5,3,2,8,6,2,5,6,7,,122,1,47,13,0,,20,8,,2,0,0,5,0,,7,,3,8,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,1.2,,76.2,0.9,0,0.4,0.5,1.6,0.1,0.3,1.6,0,0.4,1,0,,0.7,1,3.1,0.7,2.9,1.4,0.9,0.4,1.6,0.9,0.3,1.3,2.9,1.9,,100,0.4,2.8,1.5,0,,100,1.3,,0.4,0,0,0.5,0,,0.8,,0.3,0.6,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,86,,5,47,49,176,147,77,75,76,34,0,103,31,34,,415,64,26,142,64,57,51,50,55,122,89,56,25,45,,0,29,233,86,14,,0,74,,95,13,83,138,38,,146,,160,213,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,17.7,,23.8,22.3,19.6,25.6,19.9,11.1,11.1,21.5,13.3,0,6.7,15.3,5.6,,18.7,15.4,6.2,15.5,9.2,16.1,14.9,11.1,11.2,18.6,13.5,14.2,12,12.5,,0,12.6,13.9,9.6,1.4,,0,11.7,,19.5,5.5,9.6,12.6,6.3,,16,,17.1,16.2,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,409,,NA,174,168,522,684,552,549,260,180,NA,1222,65,NA,,1741,350,159,729,396,230,238,231,401,392,487,241,61,130,,61,105,1099,569,447,,NA,255,,275,147,NA,706,NA,,594,,650,981,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,75,,NA,37,82,166,52,139,124,94,76,NA,301,137,NA,,431,65,262,189,297,125,104,221,91,264,173,145,147,229,,60,119,528,317,582,,NA,377,,212,89,NA,391,NA,,307,,282,334,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,1,,NA,0,0,0,1,0,1,0,0,NA,12,0,NA,,45,1,0,0,0,0,0,0,0,0,0,7,0,0,,1,7,50,8,4,,NA,1,,0,0,NA,0,NA,,14,,1,0,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,84.3,,NA,82.5,67.2,75.9,92.8,79.9,81.5,73.4,70.3,NA,79.6,32.2,NA,,78.5,84.1,37.8,79.4,57.1,64.8,69.6,51.1,81.5,59.8,73.8,61.3,29.3,36.2,,50,45.5,65.5,63.6,43.3,,NA,40.3,,56.5,62.3,NA,64.4,NA,,64.9,,69.7,74.6,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,15.5,,NA,17.5,32.8,24.1,7.1,20.1,18.4,26.6,29.7,NA,19.6,67.8,NA,,19.4,15.6,62.2,20.6,42.9,35.2,30.4,48.9,18.5,40.2,26.2,36.9,70.7,63.8,,49.2,51.5,31.5,35.5,56.3,,NA,59.6,,43.5,37.7,NA,35.6,NA,,33.6,,30.2,25.4,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,0.2,,NA,0,0,0,0.1,0,0.1,0,0,NA,0.8,0,NA,,2,0.2,0,0,0,0,0,0,0,0,0,1.8,0,0,,0.8,3,3,0.9,0.4,,NA,0.2,,0,0,NA,0,NA,,1.5,,0.1,0,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,168,,NA,61,70,187,158,223,187,74,61,NA,355,44,NA,,665,82,39,193,149,111,74,125,76,155,187,177,14,95,,67,37,581,364,99,,NA,327,,109,63,NA,309,NA,,218,,293,453,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,169,,NA,79,98,296,228,234,224,78,80,NA,553,63,NA,,968,112,60,255,220,161,80,148,114,219,235,187,33,99,,71,46,776,554,133,,NA,398,,195,71,NA,548,NA,,446,,513,659,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,40.6,,NA,37.4,47.6,47.1,33.1,37.1,37,25.3,34.8,NA,38.4,31.2,NA,,45.8,26.9,14.3,30.4,35,45.4,29.9,35.8,27.1,36.6,37.7,47.6,15.9,27.6,,58.2,22.2,50.3,62,17.8,,NA,66.7,,40,50,NA,50,NA,,58.8,,59.7,62.8,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,134102,103572,103588,103313,139242,103392,103172,103324,103192,103261,103421,,141752,103467,103580,147757,,103425,103332,143090,139875,103317,,138590,139173,103937,140656,103200,103456,103255,142623,103600,103444,142219,140014,143562,131164,134982,136213,,141969,139788,103584,141668,103585,147702,138937,,138695,137034,,,School Unique Reference Number
50,CENSUS_21,LA,330,330,330,330,330,330,330,330,330,330,330,,330,330,330,330,,330,330,330,333,330,,330,330,333,330,330,330,330,330,330,330,330,330,330,330,330,330,,330,330,330,330,330,330,330,,330,330,,,LA number
51,CENSUS_21,ESTAB,2015,6027,6080,2284,2117,2466,2030,2300,2062,2183,3317,,4019,3382,6070,4038,,3321,2312,2086,2161,2293,,2037,3306,2113,2144,2079,3365,2174,6025,7006,3352,4009,4013,5402,6094,6112,6910,,4021,4010,6076,4018,6077,6134,4207,,5412,4241,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,State-funded primary,Independent school,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded secondary,State-funded primary,Independent school,State-funded secondary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded special school,State-funded primary,State-funded secondary,State-funded secondary,State-funded secondary,Independent school,Independent school,State-funded secondary,,State-funded secondary,State-funded secondary,Independent school,State-funded secondary,Independent school,Independent school,State-funded secondary,,State-funded secondary,State-funded secondary,,,Type of school
53,CENSUS_21,NOR,449,148,21,207,244,695,680,695,471,406,217,,1559,206,622,2195,,389,421,873,672,679,,458,483,601,655,396,210,357,14,121,233,1691,905,1053,63,21,600,,601,194,871,1193,630,3,971,,968,1279,,,Total number of pupils on roll
54,CENSUS_21,NORG,225,76,10,111,115,333,346,329,220,208,112,,746,101,305,1094,,190,200,403,309,325,,230,242,303,336,181,95,189,13,21,111,815,415,37,63,4,208,,0,101,0,554,630,0,971,,481,623,,,Number of girls on roll
55,CENSUS_21,NORB,224,72,11,96,129,362,334,366,251,198,105,,813,105,317,1101,,199,221,470,363,354,,228,241,298,319,215,115,168,1,100,122,876,490,1016,0,17,392,,601,93,871,639,0,3,0,,487,656,,,Number of boys on roll
56,CENSUS_21,PNORG,50.1%,51.4%,47.6%,53.6%,47.1%,47.9%,50.9%,47.3%,46.7%,51.2%,51.6%,,47.9%,49.0%,49.0%,49.8%,,48.8%,47.5%,46.2%,46.0%,47.9%,,50.2%,50.1%,50.4%,51.3%,45.7%,45.2%,52.9%,92.9%,17.4%,47.6%,48.2%,45.9%,3.5%,100%,19.0%,34.7%,,0%,52.1%,0%,46.4%,100%,0%,100%,,49.7%,48.7%,,,Percentage of girls on roll
57,CENSUS_21,PNORB,49.9%,48.6%,52.4%,46.4%,52.9%,52.1%,49.1%,52.7%,53.3%,48.8%,48.4%,,52.1%,51.0%,51.0%,50.2%,,51.2%,52.5%,53.8%,54.0%,52.1%,,49.8%,49.9%,49.6%,48.7%,54.3%,54.8%,47.1%,7.1%,82.6%,52.4%,51.8%,54.1%,96.5%,0%,81.0%,65.3%,,100%,47.9%,100%,53.6%,0%,100%,0%,,50.3%,51.3%,,,Percentage of boys on roll
58,CENSUS_21,TSENELSE,5,0,19,1,0,6,1,13,2,5,2,,7,1,0,22,,6,20,10,24,5,,3,10,6,0,9,6,6,1,121,1,53,11,0,0,21,8,,6,1,0,20,0,3,4,,3,11,,,Number of SEN pupils with an EHC plan
59,CENSUS_21,PSENELSE,1.1%,0%,90.5%,0.5%,0%,0.9%,0.1%,1.9%,0.4%,1.2%,0.9%,,0.4%,0.5%,0%,1.0%,,1.5%,4.8%,1.1%,3.6%,0.7%,,0.7%,2.1%,1.0%,0%,2.3%,2.9%,1.7%,7.1%,100%,0.4%,3.1%,1.2%,0%,0%,100%,1.3%,,1.0%,0.5%,0%,1.7%,0%,100%,0.4%,,0.3%,0.9%,,,Percentage of SEN pupils with an EHC plan
60,CENSUS_21,TSENELK,75,5,2,39,33,171,127,62,55,88,30,,156,36,20,361,,57,20,140,67,86,,58,68,66,111,57,24,32,13,0,40,231,116,15,2,0,85,,62,11,85,126,35,0,112,,139,291,,,Number of eligible pupils with SEN support
61,CENSUS_21,PSENELK,16.7%,3.4%,9.5%,18.8%,13.5%,24.6%,18.7%,8.9%,11.7%,21.7%,13.8%,,10.0%,17.5%,3.2%,16.4%,,14.7%,4.8%,16.0%,10.0%,12.7%,,12.7%,14.1%,11.0%,16.9%,14.4%,11.4%,9.0%,92.9%,0%,17.2%,13.7%,12.8%,1.4%,3.2%,0%,14.2%,,10.3%,5.7%,9.8%,10.6%,5.6%,0%,11.5%,,14.4%,22.8%,,,Percentage of eligible pupils with SEN support
62,CENSUS_21,NUMEAL,367,0,0,158,181,493,621,488,365,391,143,,1321,48,0,1648,,300,155,598,433,512,,210,406,353,587,209,66,145,0,49,97,997,687,403,0,0,205,,280,107,0,697,0,0,568,,652,911,,,No.  pupils where English not first language
