No,Namespace,Variable,"St George's Church of England Academy, Newtown - 139126",Arc Oakbridge School - 145859,St Chad's Catholic Primary School - 103435,St Chad's Catholic Primary School - 148440,King Solomon International Business School - 149155,St Vincent's Catholic Primary School - 103417,St Matthew's CofE Primary School - 103404,St Catherine of Siena Catholic Primary School - 103433,Chilwell Croft Academy - 138395,St Thomas CofE Academy - 142375,King Solomon International Business School - 141943,Nelson Junior and Infant School - 103237,St Anne's Catholic Primary School - 103434,Chandos Primary School - 143908,Harper Bell Seventh-day Adventist School - 136440,Bordesley Village Primary School - 144337,James Brindley School - 139526,Brookfields Primary School - 146437,Brookfields Primary School - 103175,Cromwell Junior and Infant School - 143563,Calthorpe Academy - 141252,Oasis Academy Woodview - 139128,Lozells Junior and Infant School and Nursery - 103227,Mayfield School - 148225,Aston Tower Community Primary School - 142686,Regents Park Community Primary School - 103193,St Joseph's Catholic Primary School - 103436,St Joseph's Catholic Primary School - 148441,Birmingham Ormiston Academy - 136944,Blackwater Academy - 143039,Aston University Engineering Academy - 138222,Central Academy - 138200,South and City College Birmingham - 130461,City United Academy (CUA) - 137819,Heartlands Academy - 135907,Avecinna Academy - 140382,Archway Academy - 135406,Aston Manor Academy - 136882,City Academy - 148187,City Academy Birmingham - 139797,Jewellery Quarter Academy - 141003,Nishkam High School - 138586,Values Academy - 132743,Newbury Independent School - 143174,Ark St Alban's Academy - 135970,Camp Hill Education - 146999,Central Birmingham Education Centre - 144820,Birmingham Metropolitan College - 130466,The National College for Advanced Transport and Infrastructure - 148721,The National College for Advanced Transport and Infrastructure - 144789,National state-funded primary,National state-funded secondary and 16 to 18,Description
11,L,POSTCODE,B19 3QY,B19 3HU,B19 3XD,B19 3XD,B7 4AA,B7 4HP,B7 4JR,B15 2AY,B19 2QH,B15 2AT,B7 4AA,B1 2PJ,B12 0ER,B12 0YN,B12 0EJ,B9 4NG,B15 2AF,B18 6PU,B18 6PU,B7 5BA,B12 0TP,B15 2HU,B19 2EP,B19 2EP,B6 5BE,B10 0NJ,B7 5HA,B7 5HA,B4 7QD,B19 3SU,B7 4AG,B3 1SJ,B5 5SU,B1 2RX,B7 4QR,B9 4BS,B9 4HN,B6 4PZ,B15 2EF,B15 2EF,B1 3AA,B19 2LF,B18 5PB,B6 7SS,B12 0YH,B11 1AR,B18 7HF,B4 7PS,B7 4AG,B7 4AG,,,School postcode
12,L,SCHSTATUS,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Closed,Open,Open,Open,Closed,Closed,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Closed,,,School open / closed status
13,L,OPENDATE,,19-09-2018,,01-09-2021,01-04-2022,,,,,,,,,,,,,01-11-2018,,,,,,01-06-2021,,,,01-09-2021,,,,,,,,,,,01-09-2020,,,,,,,29-08-2019,,,01-05-2021,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,,,31-08-2021,,,,,,,,31-03-2022,,,,,,,,31-10-2018,,,,,,,,31-08-2021,,,,,31-08-2020,,,,12-01-2021,03-09-2019,,,31-08-2020,,,,,,,17-01-2019,,,30-04-2021,,,Date the school closed
15,L,MINORGROUP,Academy,Special school,Maintained school,Academy,Academy,Maintained school,Maintained school,Maintained school,Academy,Academy,Academy,Maintained school,Maintained school,Academy,Maintained school,Academy,Special school,Academy,Maintained school,Academy,Special school,Academy,Maintained school,Special school,Academy,Maintained school,Maintained school,Academy,Academy,Independent school,Academy,Academy,College,Independent school,Academy,Independent school,Independent school,Academy,Academy,Academy,Academy,Academy,Special school,Independent school,Academy,Independent school,Independent school,College,College,College,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Academy sponsor led,Other independent special school,Voluntary aided school,Academy converter,Free schools,Voluntary aided school,Voluntary controlled school,Voluntary aided school,Academy sponsor led,Academy converter,Free schools,Community school,Voluntary aided school,Academy sponsor led,Voluntary aided school,Academy sponsor led,Academy special converter,Academy sponsor led,Community school,Academy converter,Academy special converter,Academy sponsor led,Community school,Academy special sponsor led,Academy converter,Community school,Voluntary aided school,Academy converter,Academy sponsor led,Other independent school,University technical college,Free schools,Further education,Other independent school,Academy sponsor led,Other independent school,Other independent school,Academy converter,Free schools,Free schools,Free schools,Free schools,Other independent special school,Other independent school,Academy sponsor led,Other independent school,Other independent school,Further education,Further education,Further education,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,4,7,4,4,4,3,4,3,4,3,4,3,4,3,4,3,2,3,3,3,2,4,3,3,3,3,4,4,14,12,13,11,14,11,11,11,14,11,11,11,11,11,11,11,11,11,11,16,19,19,,,Lowest age of entry
21,L,AGEHIGH,11,16,11,11,19,11,11,11,11,11,19,11,11,11,11,11,19,11,11,11,19,11,11,19,11,11,11,11,19,18,19,16,99,18,18,17,19,18,16,16,16,19,17,19,18,18,16,99,99,99,,,Highest age of entry
22,L,GENDER,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Boys,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Church of England,None,Roman Catholic,Roman Catholic,,Roman Catholic,Church of England,Roman Catholic,Does not apply,Church of England,Christian,Does not apply,Roman Catholic,Does not apply,Seventh Day Adventist,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Roman Catholic,Does not apply,None,Does not apply,None,Does not apply,None,Does not apply,None,None,None,None,None,None,Sikh,None,None,Church of England,,None,Does not apply,None,None,,,Religious character
24,L,ADMPOL,Not applicable,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Selective,Not applicable,Non-selective,Non-selective,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Non-selective,,Non-selective,,Non-selective,Not applicable,Not applicable,Non-selective,,Not applicable,Not applicable,,,,,Admissions Policy
25,L,OFSTEDRATING,Good,,Good,Good,,Good,Outstanding,Outstanding,Good,Outstanding,Inadequate,Good,Good,Good,Good,Good,Good,,Inadequate,Outstanding,Good,Requires improvement,Good,,Good,Good,Good,Good,Good,,Good,Requires improvement,Good,,Outstanding,,,Outstanding,,Good,Good,Outstanding,,,Requires improvement,,,Requires improvement,,Inadequate,,,Ofsted rating
26,L,OFSTEDLASTINSP,13-03-2019,,28-11-2019,28-11-2019,,26-09-2018,06-02-2015,22-06-2010,17-01-2019,15-03-2013,03-05-2018,07-03-2019,05-06-2019,27-02-2019,17-07-2019,24-11-2021,18-01-2017,,06-12-2017,12-11-2014,29-11-2017,13-02-2019,06-03-2019,,19-03-2019,02-12-2021,02-11-2016,02-11-2016,21-03-2017,,13-01-2022,19-06-2019,30-11-2018,,06-02-2014,,,07-06-2017,,26-01-2017,19-05-2022,01-05-2014,,,24-11-2021,,,10-12-2021,,08-11-2019,,,Ofsted last inspection date
27,CENSUS_19,URN,139126,145859,103435,,,103417,103404,103433,138395,142375,141943,103237,103434,143908,136440,144337,139526,146437,,143563,141252,139128,103227,,142686,103193,103436,,136944,,138222,138200,,137819,135907,,135406,136882,,139797,141003,138586,132743,,135970,,,,,,,,School Unique Reference Number
28,CENSUS_19,LA,330,330,330,,,330,330,330,330,330,330,330,330,330,330,330,330,330,,330,330,330,330,,330,330,330,,330,,330,330,,330,330,,330,330,,330,330,330,330,,330,,,,,,,,LA number
29,CENSUS_19,ESTAB,2104,6041,3337,,,3310,3016,3331,2047,3314,4020,2142,3335,2170,3436,2171,7063,2196,,2060,7013,2105,2127,,2443,2063,3339,,4000,,4003,4002,,6010,6905,,6120,4220,,4011,4016,4004,6101,,6908,,,,,,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,State-funded primary,Independent school,State-funded primary,,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded primary,,State-funded primary,State-funded special school,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,,State-funded secondary,,State-funded secondary,State-funded secondary,,Independent school,State-funded secondary,,Independent school,State-funded secondary,,State-funded secondary,State-funded secondary,State-funded secondary,Independent school,,State-funded secondary,,,,,,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,301,5,211,,,234,210,242,396,235,473,428,208,444,168,412,151,387,,233,387,380,484,,436,625,205,,1044,,608,514,,16,849,,13,955,,468,542,661,19,,787,,,,,,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,152,0,114,,,124,117,118,187,131,245,190,105,211,83,198,58,183,,129,100,196,242,,213,313,111,,759,,146,210,,1,423,,1,473,,212,251,324,6,,328,,,,,,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,149,5,97,,,110,93,124,209,104,228,238,103,233,85,214,93,204,,104,287,184,242,,223,312,94,,285,,462,304,,15,426,,12,482,,256,291,337,13,,459,,,,,,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,50.5,0,54,,,53,55.7,48.8,47.2,55.7,51.8,44.4,50.5,47.5,49.4,48.1,38.4,47.3,,55.4,25.8,51.6,50,,48.9,50.1,54.1,,72.7,,24,40.9,,6.3,49.8,,7.7,49.5,,45.3,46.3,49,31.6,,41.7,,,,,,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,49.5,100,46,,,47,44.3,51.2,52.8,44.3,48.2,55.6,49.5,52.5,50.6,51.9,61.6,52.7,,44.6,74.2,48.4,50,,51.1,49.9,45.9,,27.3,,76,59.1,,93.8,50.2,,92.3,50.5,,54.7,53.7,51,68.4,,58.3,,,,,,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,1,5,1,,,2,1,3,2,5,1,5,0,6,0,2,102,5,,3,387,7,5,,6,4,2,,5,,8,1,,11,8,,12,9,,4,1,3,19,,10,,,,,,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,0.3,100,0.5,,,0.9,0.5,1.2,0.5,2.1,0.2,1.2,0,1.4,0,0.5,67.5,1.3,,1.3,100,1.8,1,,1.4,0.6,1,,0.5,,1.3,0.2,,68.8,0.9,,92.3,0.9,,0.9,0.2,0.5,100,,1.3,,,,,,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,50,0,23,,,82,22,39,48,19,37,82,31,69,38,60,49,82,,24,0,52,71,,104,85,44,,108,,42,56,,5,113,,1,161,,32,34,39,0,,97,,,,,,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,16.6,0,10.9,,,35,10.5,16.1,12.1,8.1,7.8,19.2,14.9,15.5,22.6,14.6,32.5,21.2,,10.3,0,13.7,14.7,,23.9,13.6,21.5,,10.3,,6.9,10.9,,31.3,13.3,,7.7,16.9,,6.8,6.3,5.9,0,,12.3,,,,,,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,222,NA,139,,,156,163,159,250,90,83,314,91,322,32,269,4,215,,202,217,171,379,,367,539,128,,15,,118,181,,NA,580,,NA,791,,184,61,267,NA,,596,,,,,,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,79,NA,72,,,78,47,83,145,145,390,114,116,122,136,142,147,172,,31,170,209,102,,64,85,77,,1028,,490,333,,NA,268,,NA,161,,284,481,372,NA,,186,,,,,,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,0,NA,0,,,0,0,0,1,0,0,0,1,0,0,1,0,0,,0,0,0,3,,5,1,0,,1,,0,0,,NA,1,,NA,3,,0,0,22,NA,,5,,,,,,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,73.8,NA,65.9,,,66.7,77.6,65.7,63.1,38.3,17.5,73.4,43.8,72.5,19,65.3,2.6,55.6,,86.7,56.1,45,78.3,,84.2,86.2,62.4,,1.4,,19.4,35.2,,NA,68.3,,NA,82.8,,39.3,11.3,40.4,NA,,75.7,,,,,,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,26.2,NA,34.1,,,33.3,22.4,34.3,36.6,61.7,82.5,26.6,55.8,27.5,81,34.5,97.4,44.4,,13.3,43.9,55,21.1,,14.7,13.6,37.6,,98.5,,80.6,64.8,,NA,31.6,,NA,16.9,,60.7,88.7,56.3,NA,,23.6,,,,,,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,0,NA,0,,,0,0,0,0.3,0,0,0,0.5,0,0,0.2,0,0,,0,0,0,0.6,,1.1,0.2,0,,0.1,,0,0,,NA,0.1,,NA,0.3,,0,0,3.3,NA,,0.6,,,,,,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,139,NA,84,,,112,89,56,188,77,169,164,68,179,49,117,53,124,,88,179,147,151,,142,183,88,,49,,110,143,,NA,281,,NA,341,,172,204,97,NA,,410,,,,,,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,173,NA,130,,,121,135,94,265,94,263,211,109,202,74,179,73,180,,129,185,216,177,,180,259,131,,47,,136,339,,NA,587,,NA,522,,309,367,170,NA,,466,,,,,,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,57.5,NA,61.6,,,59,64.3,43.9,66.9,45,55.6,52.5,52.4,52.1,44,47.1,54.9,48.8,,62,59.3,56.8,42.1,,46.4,44.7,63.9,,13,,50.7,66,,NA,71.7,,NA,70,,66,67.7,31.1,NA,,74.2,,,,,,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,139126,145859,103435,,,103417,103404,103433,138395,142375,141943,103237,103434,143908,136440,144337,139526,146437,,143563,141252,139128,103227,,142686,103193,103436,,136944,143039,138222,,,137819,135907,,,136882,148187,,141003,138586,132743,143174,135970,146999,,,,,,,School Unique Reference Number
50,CENSUS_21,LA,330,330,330,,,330,330,330,330,330,330,330,330,330,330,330,330,330,,330,330,330,330,,330,330,330,,330,330,330,,,330,330,,,330,330,,330,330,330,330,330,330,,,,,,,LA number
51,CENSUS_21,ESTAB,2104,6041,3337,,,3310,3016,3331,2047,3314,4020,2142,3335,2170,3436,2171,7063,2196,,2060,7013,2105,2127,,2443,2063,3339,,4000,6026,4003,,,6010,6905,,,4220,4039,,4016,4004,6101,6031,6908,6049,,,,,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,State-funded primary,Independent school,State-funded primary,,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded primary,,State-funded primary,State-funded special school,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,,State-funded secondary,Independent school,State-funded secondary,,,Independent school,State-funded secondary,,,State-funded secondary,State-funded secondary,,State-funded secondary,State-funded secondary,Independent school,Independent school,State-funded secondary,Independent school,,,,,,,Type of school
53,CENSUS_21,NOR,312,31,201,,,236,200,236,399,235,621,423,196,453,163,346,116,330,,236,397,357,454,,429,580,197,,1019,8,715,,,28,821,,,995,901,,585,660,11,15,908,2,,,,,,,Total number of pupils on roll
54,CENSUS_21,NORG,153,7,102,,,120,101,121,185,120,314,214,99,202,82,174,38,157,,124,100,175,234,,207,282,108,,756,4,222,,,4,408,,,527,423,,253,337,1,2,394,0,,,,,,,Number of girls on roll
55,CENSUS_21,NORB,159,24,99,,,116,99,115,214,115,307,209,97,251,81,172,78,173,,112,297,182,220,,222,298,89,,263,4,493,,,24,413,,,468,478,,332,323,10,13,514,2,,,,,,,Number of boys on roll
56,CENSUS_21,PNORG,49.0%,22.6%,50.7%,,,50.8%,50.5%,51.3%,46.4%,51.1%,50.6%,50.6%,50.5%,44.6%,50.3%,50.3%,32.8%,47.6%,,52.5%,25.2%,49.0%,51.5%,,48.3%,48.6%,54.8%,,74.2%,50.0%,31.0%,,,14.3%,49.7%,,,53.0%,46.9%,,43.2%,51.1%,9.1%,13.3%,43.4%,0%,,,,,,,Percentage of girls on roll
57,CENSUS_21,PNORB,51.0%,77.4%,49.3%,,,49.2%,49.5%,48.7%,53.6%,48.9%,49.4%,49.4%,49.5%,55.4%,49.7%,49.7%,67.2%,52.4%,,47.5%,74.8%,51.0%,48.5%,,51.7%,51.4%,45.2%,,25.8%,50.0%,69.0%,,,85.7%,50.3%,,,47.0%,53.1%,,56.8%,48.9%,90.9%,86.7%,56.6%,100%,,,,,,,Percentage of boys on roll
58,CENSUS_21,TSENELSE,3,31,4,,,1,1,4,3,4,2,3,1,2,0,2,96,1,,4,397,8,8,,2,5,3,,7,2,3,,,4,17,,,10,4,,5,6,11,14,12,2,,,,,,,Number of SEN pupils with an EHC plan
59,CENSUS_21,PSENELSE,1.0%,100%,2.0%,,,0.4%,0.5%,1.7%,0.8%,1.7%,0.3%,0.7%,0.5%,0.4%,0%,0.6%,82.8%,0.3%,,1.7%,100%,2.2%,1.8%,,0.5%,0.9%,1.5%,,0.7%,25.0%,0.4%,,,14.3%,2.1%,,,1.0%,0.4%,,0.9%,0.9%,100%,93.3%,1.3%,100%,,,,,,,Percentage of SEN pupils with an EHC plan
60,CENSUS_21,TSENELK,37,0,21,,,68,14,33,47,33,80,75,25,105,18,88,20,61,,41,0,49,61,,95,72,45,,124,0,69,,,1,89,,,154,93,,83,24,0,1,100,0,,,,,,,Number of eligible pupils with SEN support
61,CENSUS_21,PSENELK,11.9%,0%,10.4%,,,28.8%,7.0%,14.0%,11.8%,14.0%,12.9%,17.7%,12.8%,23.2%,11.0%,25.4%,17.2%,18.5%,,17.4%,0%,13.7%,13.4%,,22.1%,12.4%,22.8%,,12.2%,0%,9.7%,,,3.6%,10.8%,,,15.5%,10.3%,,14.2%,3.6%,0%,6.7%,11.0%,0%,,,,,,,Percentage of eligible pupils with SEN support
62,CENSUS_21,NUMEAL,235,0,139,,,171,148,157,284,107,173,321,81,290,31,208,6,188,,169,203,162,342,,339,488,131,,23,0,119,,,0,546,,,780,460,,267,246,0,0,688,0,,,,,,,No.  pupils where English not first language
63,CENSUS_21,NUMENGFL,77,0,62,,,65,45,79,114,127,431,102,114,163,132,138,110,142,,67,194,184,108,,78,91,66,,995,0,596,,,0,274,,,210,437,,314,401,0,0,205,0,,,,,,,No. pupils with English first language
64,CENSUS_21,NUMUNCFL,0,0,0,,,0,7,0,1,1,17,0,1,0,0,0,0,0,,0,0,11,4,,12,1,0,,1,0,0,,,0,1,,,5,4,,4,13,0,0,15,0,,,,,,,No. pupils where first language is unclassified
65,CENSUS_21,PNUMEAL,75.3%,0%,69.2%,,,72.5%,74.0%,66.5%,71.2%,45.5%,27.9%,75.9%,41.3%,64.0%,19.0%,60.1%,5.2%,57.0%,,71.6%,51.1%,45.4%,75.3%,,79.0%,84.1%,66.5%,,2.3%,0%,16.6%,,,0%,66.5%,,,78.4%,51.1%,,45.6%,37.3%,0%,0%,75.8%,0%,,,,,,,%  pupils where English not first language
