No,Namespace,Variable,Grendon Primary School - 103205,The Orchard School - 132232,Topcliffe Primary School - 143091,Highters Heath Community School - 103365,Four Dwellings Primary Academy - 139131,Nonsuch Primary School - 142358,Rosslyn School and Day Nursery - 103573,St Thomas More Catholic Primary School - 103441,St Thomas More Catholic Primary School - 147017,Reynalds Cross School - 104131,Our Lady of Compassion Catholic Primary School - 104102,Our Lady of Compassion Catholic Primary School - 148089,Al Khair Primary School - 141001,Lindsworth School - 103632,Stanville Primary School - 103257,Green Meadow Primary School - 141610,Chilcote Primary School - 103298,Quinton Church Primary School - 143439,Perryfields Primary School - 103953,St Nicholas Catholic Primary School - 140529,New Oscott Primary School - 134774,Langley Primary School - 103978,Kingsland Primary School (NC) - 103221,Hargate Primary School - 103905,Sundridge Primary School - 103266,Leycroft Academy - 148653,St Andrew's Catholic Primary School - 104099,St Andrew's Catholic Primary School - 148086,St Francis Xavier Catholic Primary School - 141922,The Bridge School - 144043,Woodcock Hill Primary School - 103372,Lodge Primary School - 103969,Broadmeadow Junior School - 103286,Broadmeadow Infant School - 103288,Langley Primary School - 104080,Elms Farm Community Primary School - 103381,Timberley Academy - 138104,Our Lady's Catholic Primary School - 103449,"Christ Church, Church of England Secondary Academy - 148589",West Bromwich Collegiate Academy - 147182,King's Norton Boys' School - 103562,Four Dwellings Academy - 139047,Shenley Academy - 135911,Perryfields High School Specialist Maths and Computing College - 104012,Perryfields Academy - 148267,Langley School - 137007,Silver Birch School 11-17 Independent Provision - 138971,The British Muslim School - 135792,Shireland Biomedical Utc - 141813,Tile Cross Academy - 144306,National state-funded primary,National state-funded secondary and 16 to 18,Description
11,L,POSTCODE,B14 4RB,B68 8LD,B35 6BS,B14 4LY,B32 1PJ,B32 3SE,B28 9JB,B26 3HU,B26 3HU,B92 7ER,B92 7EG,B92 7EG,B68 8LR,B30 3QA,B26 3YN,B29 4EE,B28 0PB,B32 1AJ,B68 0QY,B73 5US,B73 6QR,B69 4QB,B44 9NA,B71 1PG,B44 9NY,B33 9UE,B92 8QL,B92 8QL,B69 4BA,B73 6UE,B31 1BS,B70 8PN,B30 3QJ,B30 3QJ,B92 7DJ,B33 0PJ,B34 7RL,B33 0AU,B14 4HN,B70 7LE,B30 1DY,B32 1RJ,B29 4HE,B68 0RG,B68 0RG,B92 7ER,B34 7RD,B70 8NX,B70 8DJ,B33 9UF,,,School postcode
12,L,SCHSTATUS,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,,,School open / closed status
13,L,OPENDATE,,,,,,,,,01-09-2019,,,01-04-2021,,,,,,,,,,,,,,01-09-2021,,01-04-2021,,,,,,,,,,,01-09-2021,02-09-2019,,,,,01-05-2021,,,,,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,,,,,,,,31-08-2019,,,31-03-2021,,,,,,,,,,,,,,,,31-03-2021,,,,,,,,,,,31-03-2021,,,,,,30-04-2021,,,,,,,,,Date the school closed
15,L,MINORGROUP,Maintained school,Special school,Academy,Maintained school,Academy,Academy,Independent school,Maintained school,Academy,Special school,Maintained school,Academy,Independent school,Special school,Maintained school,Academy,Maintained school,Academy,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Special school,Maintained school,Academy,Academy,Special school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Academy,Academy,Maintained school,Academy,Academy,Maintained school,Academy,Academy,Special school,Independent school,Academy,Academy,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Community school,Community special school,Academy converter,Community school,Academy sponsor led,Academy converter,Other independent school,Voluntary aided school,Academy sponsor led,Community special school,Voluntary aided school,Academy converter,Other independent school,Community special school,Community school,Academy converter,Community school,Academy converter,Community school,Academy converter,Community school,Community school,Community school,Community school,Community school,Academy special converter,Voluntary aided school,Academy converter,Academy converter,Academy special converter,Community school,Community school,Community school,Community school,Community school,Community school,Academy converter,Voluntary aided school,Free schools,Free schools,Foundation school,Academy sponsor led,Academy sponsor led,Community school,Academy converter,Academy converter,Other independent special school,Other independent school,University technical college,Academy sponsor led,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,4,2,4,4,3,3,3,4,4,2,3,3,2,9,3,4,3,4,4,4,3,3,3,3,4,4,3,3,3,2,4,3,7,3,3,3,3,4,11,11,11,11,11,11,11,11,11,11,14,11,,,Lowest age of entry
21,L,AGEHIGH,11,11,11,11,11,11,11,11,11,19,11,11,11,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,11,11,11,11,18,16,16,16,19,18,16,16,17,16,19,16,,,Highest age of entry
22,L,GENDER,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Boys,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Boys,Mixed,Mixed,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,None,Roman Catholic,Roman Catholic,Does not apply,Roman Catholic,Roman Catholic,None,Does not apply,Does not apply,Does not apply,Does not apply,Church of England,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,Roman Catholic,Roman Catholic,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Church of England,None,None,None,Does not apply,Does not apply,Does not apply,Does not apply,None,None,None,Does not apply,,,Religious character
24,L,ADMPOL,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Not applicable,Non-selective,,Non-selective,,,Admissions Policy
25,L,OFSTEDRATING,Good,Outstanding,Good,Inadequate,Requires improvement,Good,,Inadequate,,Good,Good,Good,,Requires improvement,Good,Requires improvement,Outstanding,Good,Good,Outstanding,Good,Good,Good,Outstanding,Requires improvement,,Good,Good,Requires improvement,Good,Good,Good,Good,Good,Good,Good,Good,Good,,,Good,Good,Good,Good,Good,Good,,,Requires improvement,Requires improvement,,,Ofsted rating
26,L,OFSTEDLASTINSP,11-07-2019,04-07-2017,16-10-2019,26-01-2022,16-06-2021,06-10-2021,,08-02-2018,,15-01-2019,08-02-2017,08-02-2017,,08-06-2022,18-07-2018,23-10-2019,28-03-2014,17-10-2019,06-04-2022,04-03-2009,27-06-2017,16-03-2017,24-11-2021,29-03-2017,08-12-2021,,29-09-2016,29-09-2016,23-03-2022,15-01-2020,28-04-2022,05-02-2020,26-04-2018,13-07-2017,17-01-2018,23-09-2021,06-06-2018,12-02-2020,,,27-09-2017,17-05-2017,07-07-2021,17-01-2018,17-01-2018,05-07-2017,,,26-02-2020,20-10-2021,,,Ofsted last inspection date
27,CENSUS_19,URN,103205,132232,143091,103365,139131,142358,103573,103441,,104131,104102,,,103632,103257,141610,103298,143439,103953,140529,134774,103978,103221,103905,103266,,104099,,141922,144043,103372,103969,103286,103288,104080,103381,138104,103449,,,103562,139047,135911,104012,,137007,,,141813,144306,,,School Unique Reference Number
28,CENSUS_19,LA,330,333,330,330,330,330,330,330,,334,334,,,330,330,330,330,330,333,330,330,333,330,333,330,,334,,333,330,330,333,330,330,334,330,330,330,,,330,330,330,333,,334,,,333,330,,,LA number
29,CENSUS_19,ESTAB,2087,7018,2273,2438,2109,2315,6048,3349,,7002,3504,,,7062,2178,2451,2251,3004,2140,3403,3431,2173,2115,2041,2190,,3501,,3401,7049,2445,2163,2236,2238,2091,2454,2195,3357,,,5415,4005,6907,4111,,4012,,,4005,4024,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,,State-funded special school,State-funded primary,,,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,,State-funded secondary,,,State-funded secondary,State-funded secondary,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,350,148,257,206,400,197,75,360,,123,338,,,117,252,419,468,204,384,212,667,464,329,505,195,,231,,244,85,207,452,232,197,438,397,675,208,,,628,509,1031,1091,,1017,,,265,553,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,174,39,116,95,194,95,44,174,,37,165,,,12,122,198,214,99,176,102,313,238,164,238,94,,102,,112,35,103,227,113,104,220,190,308,113,,,0,230,484,502,,484,,,198,248,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,176,109,141,111,206,102,31,186,,86,173,,,105,130,221,254,105,208,110,354,226,165,267,101,,129,,132,50,104,225,119,93,218,207,367,95,,,628,279,547,589,,533,,,67,305,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,49.7,26.4,45.1,46.1,48.5,48.2,58.7,48.3,,30.1,48.8,,,10.3,48.4,47.3,45.7,48.5,45.8,48.1,46.9,51.3,49.8,47.1,48.2,,44.2,,45.9,41.2,49.8,50.2,48.7,52.8,50.2,47.9,45.6,54.3,,,0,45.2,46.9,46,,47.6,,,74.7,44.8,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,50.3,73.6,54.9,53.9,51.5,51.8,41.3,51.7,,69.9,51.2,,,89.7,51.6,52.7,54.3,51.5,54.2,51.9,53.1,48.7,50.2,52.9,51.8,,55.8,,54.1,58.8,50.2,49.8,51.3,47.2,49.8,52.1,54.4,45.7,,,100,54.8,53.1,54,,52.4,,,25.3,55.2,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,3,148,52,2,3,1,1,2,,109,2,,,117,0,8,8,1,4,1,13,4,1,21,2,,4,,2,85,2,4,2,1,6,2,30,0,,,8,4,11,8,,73,,,0,1,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,0.9,100,20.2,1,0.8,0.5,1.3,0.6,,88.6,0.6,,,100,0,1.9,1.7,0.5,1,0.5,1.9,0.9,0.3,4.2,1,,1.7,,0.8,100,1,0.9,0.9,0.5,1.4,0.5,4.4,0,,,1.3,0.8,1.1,0.7,,7.2,,,0,0.2,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,54,0,29,49,43,42,4,52,,14,53,,,0,60,103,43,35,51,10,109,42,75,54,43,,34,,27,0,50,35,54,41,55,72,152,25,,,97,72,115,86,,121,,,27,93,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,15.4,0,11.3,23.8,10.8,21.3,5.3,14.4,,11.4,15.7,,,0,23.8,24.6,9.2,17.2,13.3,4.7,16.3,9.1,22.8,10.7,22.1,,14.7,,11.1,0,24.2,7.7,23.3,20.8,12.6,18.1,22.5,12,,,15.4,14.1,11.2,7.9,,11.9,,,10.2,16.8,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,103,47,6,37,96,46,NA,36,,17,28,,,2,60,57,151,16,47,7,109,144,25,240,24,,4,,88,35,36,354,10,13,70,69,39,57,,,52,178,77,136,,144,,,69,335,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,247,101,250,169,303,151,NA,316,,105,310,,,115,189,362,314,188,337,205,556,320,304,264,169,,227,,156,50,170,97,222,184,368,328,636,149,,,574,329,954,851,,867,,,195,218,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,0,0,1,0,1,0,NA,8,,1,0,,,0,3,0,3,0,0,0,2,0,0,1,2,,0,,0,0,1,1,0,0,0,0,0,2,,,2,2,0,104,,6,,,1,0,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,29.4,31.8,2.3,18,24,23.4,NA,10,,13.8,8.3,,,1.7,23.8,13.6,32.3,7.8,12.2,3.3,16.3,31,7.6,47.5,12.3,,1.7,,36.1,41.2,17.4,78.3,4.3,6.6,16,17.4,5.8,27.4,,,8.3,35,7.5,12.5,,14.2,,,26,60.6,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,70.6,68.2,97.3,82,75.8,76.6,NA,87.8,,85.4,91.7,,,98.3,75,86.4,67.1,92.2,87.8,96.7,83.4,69,92.4,52.3,86.7,,98.3,,63.9,58.8,82.1,21.5,95.7,93.4,84,82.6,94.2,71.6,,,91.4,64.6,92.5,78,,85.3,,,73.6,39.4,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,0,0,0.4,0,0.3,0,NA,2.2,,0.8,0,,,0,1.2,0,0.6,0,0,0,0.3,0,0,0.2,1,,0,,0,0,0.5,0.2,0,0,0,0,0,1,,,0.3,0.4,0,9.5,,0.6,,,0.4,0,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,148,55,116,91,200,81,NA,64,,30,26,,,76,72,122,54,21,44,5,59,83,127,97,76,,16,,28,38,115,76,84,72,72,169,267,55,,,97,214,360,158,,135,,,70,243,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,185,64,144,121,225,104,NA,80,,31,32,,,98,108,154,76,38,75,10,80,126,161,137,96,,23,,44,42,139,108,119,79,102,197,359,69,,,186,327,614,334,,241,,,98,349,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,52.9,43.2,56,58.7,59.4,52.8,NA,22.2,,32.6,10.3,,,83.8,45.2,36.8,18.3,18.6,19.5,4.7,12.8,30.1,54.6,32.2,49.2,,11.4,,20.8,52.5,67.1,26.5,51.3,47,24.7,52.8,62.1,33.2,,,29.6,64.2,63.8,30.9,,23.7,,,53.6,63.1,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,103205,132232,143091,103365,139131,142358,103573,,147017,104131,104102,,141001,103632,103257,141610,103298,143439,103953,140529,134774,103978,103221,103905,103266,,104099,,141922,144043,103372,103969,103286,103288,104080,103381,138104,103449,,147182,103562,139047,135911,104012,,137007,138971,135792,141813,144306,,,School Unique Reference Number
50,CENSUS_21,LA,330,333,330,330,330,330,330,,330,334,334,,333,330,330,330,330,330,333,330,330,333,330,333,330,,334,,333,330,330,333,330,330,334,330,330,330,,333,330,330,330,333,,334,330,333,333,330,,,LA number
51,CENSUS_21,ESTAB,2087,7018,2273,2438,2109,2315,6048,,2201,7002,3504,,6006,7062,2178,2451,2251,3004,2140,3403,3431,2173,2115,2041,2190,,3501,,3401,7049,2445,2163,2236,2238,2091,2454,2195,3357,,4007,5415,4005,6907,4111,,4012,6013,6005,4005,4024,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,,State-funded primary,State-funded special school,State-funded primary,,Independent school,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,,State-funded secondary,Independent school,Independent school,State-funded secondary,State-funded secondary,,,Type of school
53,CENSUS_21,NOR,352,144,252,193,367,199,24,,344,128,338,,52,120,244,402,456,206,379,210,673,450,342,490,187,,234,,233,85,204,455,222,182,434,361,678,204,,331,722,547,882,1090,,1017,11,63,165,567,,,Total number of pupils on roll
54,CENSUS_21,NORG,176,43,119,94,161,106,12,,169,39,174,,26,15,126,179,226,98,175,92,312,226,169,221,97,,108,,106,33,103,228,116,99,209,177,316,105,,163,0,228,417,504,,488,4,0,132,252,,,Number of girls on roll
55,CENSUS_21,NORB,176,101,133,99,206,93,12,,175,89,164,,26,105,118,223,230,108,204,118,361,224,173,269,90,,126,,127,52,101,227,106,83,225,184,362,99,,168,722,319,465,586,,529,7,63,33,315,,,Number of boys on roll
56,CENSUS_21,PNORG,50.0%,29.9%,47.2%,48.7%,43.9%,53.3%,50.0%,,49.1%,30.5%,51.5%,,50.0%,12.5%,51.6%,44.5%,49.6%,47.6%,46.2%,43.8%,46.4%,50.2%,49.4%,45.1%,51.9%,,46.2%,,45.5%,38.8%,50.5%,50.1%,52.3%,54.4%,48.2%,49.0%,46.6%,51.5%,,49.2%,0%,41.7%,47.3%,46.2%,,48.0%,36.4%,0%,80.0%,44.4%,,,Percentage of girls on roll
57,CENSUS_21,PNORB,50.0%,70.1%,52.8%,51.3%,56.1%,46.7%,50.0%,,50.9%,69.5%,48.5%,,50.0%,87.5%,48.4%,55.5%,50.4%,52.4%,53.8%,56.2%,53.6%,49.8%,50.6%,54.9%,48.1%,,53.8%,,54.5%,61.2%,49.5%,49.9%,47.7%,45.6%,51.8%,51.0%,53.4%,48.5%,,50.8%,100%,58.3%,52.7%,53.8%,,52.0%,63.6%,100%,20.0%,55.6%,,,Percentage of boys on roll
58,CENSUS_21,TSENELSE,5,144,50,4,3,2,0,,3,115,3,,0,120,1,4,4,0,5,0,5,9,5,37,2,,5,,3,85,3,7,1,0,9,1,29,0,,7,8,3,12,9,,68,11,0,2,7,,,Number of SEN pupils with an EHC plan
59,CENSUS_21,PSENELSE,1.4%,100%,19.8%,2.1%,0.8%,1.0%,0%,,0.9%,89.8%,0.9%,,0%,100%,0.4%,1.0%,0.9%,0%,1.3%,0%,0.7%,2.0%,1.5%,7.6%,1.1%,,2.1%,,1.3%,100%,1.5%,1.5%,0.5%,0%,2.1%,0.3%,4.3%,0%,,2.1%,1.1%,0.5%,1.4%,0.8%,,6.7%,100%,0%,1.2%,1.2%,,,Percentage of SEN pupils with an EHC plan
60,CENSUS_21,TSENELK,59,0,29,40,56,36,0,,56,13,47,,1,0,62,86,55,35,38,10,119,49,78,43,43,,29,,21,0,27,38,55,47,49,68,164,29,,46,138,97,124,89,,152,0,0,25,85,,,Number of eligible pupils with SEN support
61,CENSUS_21,PSENELK,16.8%,0%,11.5%,20.7%,15.3%,18.1%,0%,,16.3%,10.2%,13.9%,,1.9%,0%,25.4%,21.4%,12.1%,17.0%,10.0%,4.8%,17.7%,10.9%,22.8%,8.8%,23.0%,,12.4%,,9.0%,0%,13.2%,8.4%,24.8%,25.8%,11.3%,18.8%,24.2%,14.2%,,13.9%,19.1%,17.7%,14.1%,8.2%,,14.9%,0%,0%,15.2%,15.0%,,,Percentage of eligible pupils with SEN support
62,CENSUS_21,NUMEAL,98,41,20,35,106,55,0,,38,15,22,,0,2,64,55,139,15,49,12,95,158,21,203,22,,8,,90,27,42,329,10,10,57,68,64,49,,129,84,185,65,207,,147,0,0,40,297,,,No.  pupils where English not first language
