No,Namespace,Variable,Greenfields Primary School - 133603,Montgomery Primary Academy - 138864,Nishkam Primary School Birmingham - 137492,The Rosary Catholic Primary School - 148439,The Rosary Catholic Primary School - 103428,"St Michael's CofE Primary Academy, Handsworth - 138433",Somerville Primary (NC) School - 103256,Birchfield Primary School - 146075,Welford Primary School - 103328,Edgbaston High School for Girls - 103567,Parkfield Community School - 139162,Sacred Heart Catholic School - 103477,Sacred Heart Catholic School - 147109,Benson Community School - 103362,Conway Primary School - 143086,St Paul's School - 135208,Ark Tindal Primary Academy - 138397,Nechells Primary E-ACT Academy - 138396,Marlborough Junior School - 103312,Marlborough Junior School - 145243,Clifton Primary School - 134840,Yew Tree Community Junior and Infant School (NC) - 142858,Westminster Primary School - 143943,Marlborough Primary School - 146701,Marlborough Infant School - 103232,Summerfield Junior and Infant School - 103196,Highfield Junior and Infant School - 142570,Nelson Mandela School - 103384,"The Olive School, Small Heath - 147452",Shaw Hill Primary School - 103157,Canterbury Cross Primary School - 143942,St Clare's Catholic Primary School - 103476,Nansen Primary School - 138799,City Road Primary School - 146385,Oasis Academy Foundry - 140161,Holy Trinity CE Primary Academy (Handsworth) - 140463,Hamd House School - 131687,Leigh Primary School - 140502,Park Hill Primary School - 103241,St John and Monica Catholic Primary School - 103478,"St Marys C of E Primary and Nursery, Academy, Handsworth - 139041",King Edward VI Handsworth School - 137047,Darul Uloom Islamic High School - 103586,Jamia Islamia Birmingham - 134571,St Paul's School for Girls - 103531,Broadway Academy - 139841,Elmhurst Ballet School - 134908,Rockwood Academy - 138059,"Eden Boys' Leadership Academy, Birmingham East - 145878",Al-Noor Girls Secondary School - 136037,National state-funded primary,National state-funded secondary and 16 to 18,Description
11,L,POSTCODE,B10 0UG,B11 1EH,B21 9SN,B8 3SF,B8 3SF,B21 0UX,B10 9EN,B6 6AJ,B20 2BL,B15 3TS,B8 3AX,B20 3AE,B20 3AE,B18 5TD,B11 1NS,B12 8NJ,B12 9QS,B7 5LB,B10 9NY,B10 9NY,B12 8NX,B6 6RX,B20 3PN,B10 9NY,B10 9NY,B18 4AH,B8 3QF,B12 8EH,B10 0EG,B8 3AN,B20 3AA,B20 3RT,B8 3HG,B16 0HL,B18 4LP,B20 3LP,B9 5QT,B8 2YH,B13 8BB,B13 8DW,B20 2RW,B21 9AR,B10 0LL,B11 1PL,B16 9SL,B20 3DP,B5 7UH,B8 3HG,B8 3DT,B11 4RU,,,School postcode
12,L,SCHSTATUS,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Closed,Closed,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,,,School open / closed status
13,L,OPENDATE,,,,01-09-2021,,,,,,,,,01-06-2019,,,,,,,01-01-2019,,,,01-01-2019,,,,,01-09-2019,,,,,,,,,,,,,,,,,,,,,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,,,,,31-08-2021,,,,,,,31-05-2019,,,,,,,31-12-2018,31-08-2019,,,,,31-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,13-10-2020,,,Date the school closed
15,L,MINORGROUP,Independent school,Academy,Academy,Academy,Maintained school,Academy,Maintained school,Academy,Maintained school,Independent school,Academy,Maintained school,Academy,Maintained school,Academy,Special school,Academy,Academy,Maintained school,Academy,Maintained school,Academy,Academy,Academy,Maintained school,Maintained school,Academy,Maintained school,Academy,Maintained school,Academy,Maintained school,Academy,Academy,Academy,Academy,Independent school,Academy,Maintained school,Maintained school,Academy,Academy,Independent school,Independent school,Maintained school,Academy,Independent school,Academy,Academy,Independent school,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Other independent school,Academy sponsor led,Free schools,Academy converter,Voluntary aided school,Academy sponsor led,Community school,Academy sponsor led,Community school,Other independent school,Academy converter,Voluntary aided school,Academy sponsor led,Community school,Academy converter,Other independent special school,Academy sponsor led,Academy sponsor led,Community school,Academy converter,Community school,Academy converter,Academy converter,Academy converter,Community school,Community school,Academy sponsor led,Community school,Academy sponsor led,Community school,Academy converter,Voluntary aided school,Academy sponsor led,Academy sponsor led,Academy sponsor led,Academy converter,Other independent school,Academy converter,Community school,Voluntary aided school,Academy converter,Academy converter,Other independent school,Other independent school,Voluntary aided school,Academy converter,Other independent school,Academy converter,Free schools,Other independent school,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,5,3,4,3,3,4,3,2,3,2,3,4,4,3,3,7,3,3,7,7,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,4,5,3,3,4,3,11,11,11,11,11,11,11,11,11,,,Lowest age of entry
21,L,AGEHIGH,11,11,11,11,11,11,11,11,11,19,11,11,11,11,11,19,11,11,11,11,11,11,11,11,7,11,11,11,11,11,11,11,11,11,11,11,16,11,11,11,11,18,16,19,18,18,19,16,18,16,,,Highest age of entry
22,L,GENDER,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Girls,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Girls,Boys,Boys,Girls,Mixed,Mixed,Mixed,Boys,Girls,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Islam,None,Sikh,Roman Catholic,Roman Catholic,Church of England,Does not apply,Does not apply,Does not apply,None,Does not apply,Roman Catholic,Roman Catholic,Does not apply,Does not apply,None,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Muslim,Does not apply,Does not apply,Roman Catholic,None,None,Does not apply,Church of England,Islam,Does not apply,Does not apply,Roman Catholic,Church of England,Christian,None,None,Roman Catholic,Does not apply,None,Does not apply,Muslim,None,,,Religious character
24,L,ADMPOL,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Selective,Non-selective,Not applicable,Not applicable,Not applicable,Non-selective,Selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Selective,Non-selective,Not applicable,Non-selective,Non-selective,Not applicable,Non-selective,Non-selective,Non-selective,,,Admissions Policy
25,L,OFSTEDRATING,,Good,Outstanding,Good,Good,Requires improvement,Good,,Good,,Outstanding,Inadequate,,Good,Good,,Good,Good,Requires improvement,Requires improvement,Good,Good,Good,Requires improvement,Requires improvement,Requires improvement,Good,Outstanding,,Outstanding,Good,Requires improvement,Good,,Good,Requires improvement,,Good,Good,Good,Good,Outstanding,,,Outstanding,Good,,Good,,,,,Ofsted rating
26,L,OFSTEDLASTINSP,,09-05-2018,24-04-2015,20-11-2019,20-11-2019,22-09-2021,02-03-2022,,10-07-2019,,11-05-2016,04-05-2017,,02-05-2018,11-06-2019,,06-06-2018,20-05-2021,19-10-2016,19-10-2016,15-05-2019,02-04-2019,22-01-2020,04-11-2016,04-11-2016,10-10-2018,17-01-2019,10-12-2008,,09-03-2017,04-12-2019,04-10-2018,30-03-2022,,18-05-2022,24-01-2019,,10-11-2021,10-04-2019,27-06-2018,04-07-2018,05-02-2014,,,10-05-2017,06-11-2019,,14-11-2019,,,,,Ofsted last inspection date
27,CENSUS_19,URN,133603,138864,137492,,103428,138433,103256,146075,103328,103567,139162,103477,,103362,143086,,138397,138396,,145243,134840,142858,143943,146701,,103196,142570,103384,,103157,143942,103476,138799,146385,140161,140463,131687,140502,103241,103478,139041,137047,103586,134571,103531,139841,134908,138059,145878,,,,School Unique Reference Number
28,CENSUS_19,LA,330,330,330,,330,330,330,330,330,330,330,330,,330,330,,330,330,,330,330,330,330,330,,330,330,330,,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,,,,LA number
29,CENSUS_19,ESTAB,6103,2070,2032,,3325,2061,2176,2186,2308,6003,2458,3409,,2435,2082,,2056,2048,,2283,3432,2180,2471,2132,,2067,2165,2457,,2008,2039,3406,2038,2194,2141,3303,6097,2453,2150,3410,3015,5404,6078,6106,4606,4227,6111,4323,4032,,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,Independent school,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,Independent school,Independent school,State-funded secondary,State-funded secondary,Independent school,State-funded secondary,State-funded secondary,,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,144,582,420,,444,197,771,745,458,895,742,206,,519,439,,420,174,,361,902,461,479,313,,448,837,491,,490,493,427,950,465,219,188,267,551,519,210,427,1086,128,140,981,1210,186,697,182,,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,79,257,196,,212,95,372,379,207,895,370,102,,253,206,,199,94,,193,458,224,223,160,,213,400,243,,233,243,210,462,233,113,100,138,262,248,104,232,1086,0,0,981,652,117,345,0,,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,65,325,224,,232,102,399,366,251,0,372,104,,266,233,,221,80,,168,444,237,256,153,,235,437,248,,257,250,217,488,232,106,88,129,289,271,106,195,0,128,140,0,558,69,352,182,,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,54.9,44.2,46.7,,47.7,48.2,48.2,50.9,45.2,100,49.9,49.5,,48.7,46.9,,47.4,54,,53.5,50.8,48.6,46.6,51.1,,47.5,47.8,49.5,,47.6,49.3,49.2,48.6,50.1,51.6,53.2,51.7,47.5,47.8,49.5,54.3,100,0,0,100,53.9,62.9,49.5,0,,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,45.1,55.8,53.3,,52.3,51.8,51.8,49.1,54.8,0,50.1,50.5,,51.3,53.1,,52.6,46,,46.5,49.2,51.4,53.4,48.9,,52.5,52.2,50.5,,52.4,50.7,50.8,51.4,49.9,48.4,46.8,48.3,52.5,52.2,50.5,45.7,0,100,100,0,46.1,37.1,50.5,100,,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,0,4,0,,4,4,10,2,7,0,7,2,,3,3,,1,0,,2,8,3,2,2,,7,5,12,,2,4,5,4,6,0,0,1,2,7,4,3,3,1,0,7,8,0,5,0,,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,0,0.7,0,,0.9,2,1.3,0.3,1.5,0,0.9,1,,0.6,0.7,,0.2,0,,0.6,0.9,0.7,0.4,0.6,,1.6,0.6,2.4,,0.4,0.8,1.2,0.4,1.3,0,0,0.4,0.4,1.3,1.9,0.7,0.3,0.8,0,0.7,0.7,0,0.7,0,,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,2,62,30,,81,26,116,205,49,40,75,34,,70,60,,58,29,,69,208,94,57,65,,33,245,91,,52,66,181,264,78,45,24,0,58,89,30,49,24,0,0,181,181,44,103,51,,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,1.4,10.7,7.1,,18.2,13.2,15,27.5,10.7,4.5,10.1,16.5,,13.5,13.7,,13.8,16.7,,19.1,23.1,20.4,11.9,20.8,,7.4,29.3,18.5,,10.6,13.4,42.4,27.8,16.8,20.5,12.8,0,10.5,17.1,14.3,11.5,2.2,0,0,18.5,15,23.7,14.8,28,,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,NA,544,130,,223,116,658,699,287,NA,618,107,,345,329,,341,117,,355,776,425,416,271,,367,763,415,,431,376,308,938,384,163,148,NA,525,230,136,230,303,NA,NA,436,982,NA,279,37,,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,NA,38,290,,221,81,108,46,170,NA,123,98,,174,108,,78,57,,6,122,36,62,42,,77,74,72,,58,115,119,12,81,50,39,NA,26,289,74,195,780,NA,NA,544,228,NA,412,137,,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,NA,0,0,,0,0,5,0,1,NA,1,1,,0,2,,1,0,,0,4,0,1,0,,4,0,4,,1,2,0,0,0,6,1,NA,0,0,0,2,3,NA,NA,1,0,NA,6,8,,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,NA,93.5,31,,50.2,58.9,85.3,93.8,62.7,NA,83.3,51.9,,66.5,74.9,,81.2,67.2,,98.3,86,92.2,86.8,86.6,,81.9,91.2,84.5,,88,76.3,72.1,98.7,82.6,74.4,78.7,NA,95.3,44.3,64.8,53.9,27.9,NA,NA,44.4,81.2,NA,40,20.3,,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,NA,6.5,69,,49.8,41.1,14,6.2,37.1,NA,16.6,47.6,,33.5,24.6,,18.6,32.8,,1.7,13.5,7.8,12.9,13.4,,17.2,8.8,14.7,,11.8,23.3,27.9,1.3,17.4,22.8,20.7,NA,4.7,55.7,35.2,45.7,71.8,NA,NA,55.5,18.8,NA,59.1,75.3,,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,NA,0,0,,0,0,0.6,0,0.2,NA,0.1,0.5,,0,0.5,,0.2,0,,0,0.4,0,0.2,0,,0.9,0,0.8,,0.2,0.4,0,0,0,2.7,0.5,NA,0,0,0,0.5,0.3,NA,NA,0.1,0,NA,0.9,4.4,,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,NA,157,44,,106,73,161,176,130,NA,217,97,,215,164,,137,75,,86,274,121,103,52,,171,211,169,,113,125,128,253,81,95,52,NA,110,182,59,75,93,NA,NA,174,353,NA,204,33,,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,NA,254,44,,152,94,268,218,180,NA,260,114,,306,182,,171,102,,129,369,171,150,61,,182,268,170,,148,147,169,396,113,127,78,NA,156,218,83,105,144,NA,NA,313,618,NA,463,80,,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,NA,45.4,10.5,,37.3,47.7,39.1,32.2,43.9,NA,38.2,55.3,,61.9,44.2,,44.3,58.6,,35.7,44.4,40.2,35.3,22.9,,45.7,32,40.3,,34.4,34.5,41.7,43.9,27.1,62.6,41.5,NA,30.4,43.7,39.5,27.4,18,NA,NA,37.8,59.3,NA,66.4,44,,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,133603,138864,137492,,103428,138433,103256,146075,103328,103567,139162,,147109,103362,143086,135208,138397,138396,,,134840,142858,143943,146701,,103196,142570,103384,147452,103157,143942,103476,138799,146385,140161,140463,131687,140502,103241,103478,139041,137047,103586,134571,103531,139841,,138059,145878,,,,School Unique Reference Number
50,CENSUS_21,LA,330,330,330,,330,330,330,330,330,330,330,,330,330,330,330,330,330,,,330,330,330,330,,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,,330,330,,,,LA number
51,CENSUS_21,ESTAB,6103,2070,2032,,3325,2061,2176,2186,2308,6003,2458,,2202,2435,2082,6115,2056,2048,,,3432,2180,2471,2132,,2067,2165,2457,2205,2008,2039,3406,2038,2194,2141,3303,6097,2453,2150,3410,3015,5404,6078,6106,4606,4227,,4323,4032,,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,Independent school,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,Independent school,Independent school,State-funded secondary,State-funded secondary,,State-funded secondary,State-funded secondary,,,,Type of school
53,CENSUS_21,NOR,124,542,420,,425,177,743,695,431,828,694,,176,437,411,34,414,175,,,874,477,461,640,,418,756,465,418,475,486,296,778,427,223,184,271,469,399,208,429,1176,124,102,1010,1212,,873,447,,,,Total number of pupils on roll
54,CENSUS_21,NORG,72,239,180,,209,86,348,345,192,828,347,,91,194,179,5,194,84,,,455,260,232,313,,188,340,225,209,234,247,140,369,219,114,96,130,222,200,103,245,1176,0,0,1010,680,,444,0,,,,Number of girls on roll
55,CENSUS_21,NORB,52,303,240,,216,91,395,350,239,0,347,,85,243,232,29,220,91,,,419,217,229,327,,230,416,240,209,241,239,156,409,208,109,88,141,247,199,105,184,0,124,102,0,532,,429,447,,,,Number of boys on roll
56,CENSUS_21,PNORG,58.1%,44.1%,42.9%,,49.2%,48.6%,46.8%,49.6%,44.5%,100%,50.0%,,51.7%,44.4%,43.6%,14.7%,46.9%,48.0%,,,52.1%,54.5%,50.3%,48.9%,,45.0%,45.0%,48.4%,50.0%,49.3%,50.8%,47.3%,47.4%,51.3%,51.1%,52.2%,48.0%,47.3%,50.1%,49.5%,57.1%,100%,0%,0%,100%,56.1%,,50.9%,0%,,,,Percentage of girls on roll
57,CENSUS_21,PNORB,41.9%,55.9%,57.1%,,50.8%,51.4%,53.2%,50.4%,55.5%,0%,50.0%,,48.3%,55.6%,56.4%,85.3%,53.1%,52.0%,,,47.9%,45.5%,49.7%,51.1%,,55.0%,55.0%,51.6%,50.0%,50.7%,49.2%,52.7%,52.6%,48.7%,48.9%,47.8%,52.0%,52.7%,49.9%,50.5%,42.9%,0%,100%,100%,0%,43.9%,,49.1%,100%,,,,Percentage of boys on roll
58,CENSUS_21,TSENELSE,0,1,0,,6,5,9,7,5,1,5,,1,8,5,34,1,2,,,10,2,3,5,,2,2,14,4,3,2,1,3,2,1,2,6,2,6,3,4,2,0,0,6,8,,7,0,,,,Number of SEN pupils with an EHC plan
59,CENSUS_21,PSENELSE,0%,0.2%,0%,,1.4%,2.8%,1.2%,1.0%,1.2%,0.1%,0.7%,,0.6%,1.8%,1.2%,100%,0.2%,1.1%,,,1.1%,0.4%,0.7%,0.8%,,0.5%,0.3%,3.0%,1.0%,0.6%,0.4%,0.3%,0.4%,0.5%,0.4%,1.1%,2.2%,0.4%,1.5%,1.4%,0.9%,0.2%,0%,0%,0.6%,0.7%,,0.8%,0%,,,,Percentage of SEN pupils with an EHC plan
60,CENSUS_21,TSENELK,0,66,39,,102,48,110,177,47,82,47,,28,49,57,0,55,46,,,298,113,65,132,,35,231,91,38,56,70,56,164,73,24,18,0,48,81,35,55,14,0,0,160,145,,148,56,,,,Number of eligible pupils with SEN support
61,CENSUS_21,PSENELK,0%,12.2%,9.3%,,24.0%,27.1%,14.8%,25.5%,10.9%,9.9%,6.8%,,15.9%,11.2%,13.9%,0%,13.3%,26.3%,,,34.1%,23.7%,14.1%,20.6%,,8.4%,30.6%,19.6%,9.1%,11.8%,14.4%,18.9%,21.1%,17.1%,10.8%,9.8%,0%,10.2%,20.3%,16.8%,12.8%,1.2%,0%,0%,15.8%,12.0%,,17.0%,12.5%,,,,Percentage of eligible pupils with SEN support
