No,Namespace,Variable,Al-Ameen Primary School - 130244,Rookery School - 137168,St Matthew's CofE Primary School - 104000,Moseley Church of England Primary School - 103398,Brookvale Primary School - 139465,Thornton Primary School - 103268,Cherry Orchard Primary School - 103178,Ward End Primary School - 103217,Uffculme School - 103605,St Philip's Catholic Primary School - 141929,Redhill Primary School - 103247,Victoria Park Primary - 138033,"St James Church of England Primary School, Handsworth - 103401",Erdington Hall Primary School - 138194,St Bernadette's Catholic Primary School - 103460,Shireland Technology Primary School - 147191,St Mary and St John Junior and Infant School - 146268,Harborne Primary School - 132261,St Mary and St John Junior and Infant School - 103442,"The Olive School, Birmingham - 142888",Springfield Primary Academy - 144722,Springfield Primary School - 134083,St Augustine's Catholic Primary School - 103431,Wattville Primary School - 132201,Al-Furqan Primary School - 131465,The Pines Special School - 103622,St Mary's Catholic Primary School - 103438,Marsh Hill Primary School - 103233,Kings Heath Primary School - 134098,St Cuthbert's RC Junior and Infant (NC) School - 103470,Moor Green Primary Academy - 139000,Washwood Heath Academy - 139888,Tiverton Academy - 139439,St Edward's Catholic Primary School - 103447,Bearwood Primary School - 103933,Oasis Academy Hobmoor - 139214,"Eden Girls'  Leadership Academy, Birmingham - 147201",Flexible Learning School - 135561,Queensbridge School - 103497,Fox Hollies School and Performing Arts College - 103625,Shireland Collegiate Academy - 135170,Ward End Community College - 135238,Yardleys School - 139994,Stockland Green School - 138137,Lordswood Boys' School - 145120,Lordswood Girls' School and Sixth Form Centre - 136592,Moseley School and Sixth Form - 103519,Erdington Academy - 143413,Queensbury School - 146858,Queensbury School - 103616,National state-funded primary,National state-funded secondary and 16 to 18,Description
11,L,POSTCODE,B11 2JR,B21 9PY,B66 3LX,B13 9EH,B23 7YB,B8 2LQ,B20 2LB,B8 2RA,B13 8QG,B66 3DU,B25 8HQ,B66 3HH,B21 8NH,B24 8JJ,B25 8QL,B66 4ND,B23 7NB,B17 9LU,B23 7NB,B11 3EY,B13 9NY,B13 9NY,B21 8ED,B21 0DP,B11 3EY,B23 7EY,B17 0DN,B23 7HY,B14 7AJ,B8 2PS,B13 8QP,B8 2AS,B29 6BW,B29 7PN,B66 4HB,B25 8FD,B10 9HH,B18 5QB,B13 8QB,B13 8QB,B66 4ND,B8 2LS,B11 3EY,B23 7JH,B17 8BJ,B17 8QB,B13 9UU,B24 8RE,B24 8BL,B24 8BL,,,School postcode
12,L,SCHSTATUS,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Closed,,,School open / closed status
13,L,OPENDATE,,,,,,,,,,,,,,,,02-09-2019,01-11-2018,,,,01-12-2018,,,,,,,,,,,,,,,,02-09-2019,,,,,,,,,,,,01-09-2020,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,,,,,,,,,,,,,,,,,,,31-10-2018,,,30-11-2018,,,,,,,,,,,,,,,,,,,,25-10-2018,,,,,,,,31-08-2020,,,Date the school closed
15,L,MINORGROUP,Independent school,Academy,Maintained school,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Special school,Academy,Maintained school,Academy,Maintained school,Academy,Maintained school,Academy,Academy,Maintained school,Maintained school,Academy,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Special school,Maintained school,Maintained school,Maintained school,Maintained school,Academy,Academy,Academy,Maintained school,Maintained school,Academy,Academy,Independent school,Maintained school,Special school,Academy,Independent school,Academy,Academy,Academy,Academy,Maintained school,Academy,Special school,Special school,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Other independent school,Academy converter,Voluntary aided school,Voluntary aided school,Academy converter,Community school,Community school,Community school,Community special school,Academy converter,Community school,Academy converter,Voluntary controlled school,Academy sponsor led,Voluntary aided school,Free schools,Academy sponsor led,Community school,Voluntary aided school,Free schools,Academy sponsor led,Community school,Voluntary aided school,Community school,Voluntary aided school,Foundation special school,Voluntary aided school,Community school,Community school,Voluntary aided school,Academy sponsor led,Academy converter,Academy sponsor led,Voluntary aided school,Community school,Academy sponsor led,Free schools,Other independent school,Foundation school,Foundation special school,Academy sponsor led,Other independent school,Academy converter,Academy converter,Academy converter,Academy converter,Foundation school,Academy sponsor led,Academy special sponsor led,Community special school,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,3,3,3,4,5,7,3,3,3,3,4,3,4,3,4,3,3,4,3,4,2,2,3,3,4,3,4,4,3,3,4,4,4,4,3,3,11,13,11,11,11,14,11,11,11,11,11,11,11,11,,,Lowest age of entry
21,L,AGEHIGH,11,11,11,11,11,11,11,11,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,11,11,11,11,11,18,11,11,11,11,16,16,16,19,19,19,16,16,16,18,18,16,19,19,,,Highest age of entry
22,L,GENDER,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Girls,Mixed,Mixed,Mixed,Mixed,Girls,Mixed,Mixed,Boys,Girls,Mixed,Mixed,Mixed,Mixed,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Islam,Does not apply,Church of England,Church of England,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Church of England,None,Roman Catholic,Does not apply,Roman Catholic,Does not apply,Roman Catholic,Muslim,Does not apply,Does not apply,Roman Catholic,Does not apply,Muslim,Does not apply,Roman Catholic,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Muslim,None,Does not apply,Does not apply,Does not apply,None,Does not apply,Does not apply,None,None,Does not apply,Does not apply,Does not apply,Does not apply,,,Religious character
24,L,ADMPOL,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Non-selective,Not applicable,Non-selective,Non-selective,Non-selective,Non-selective,,Non-selective,Non-selective,Not applicable,Not applicable,Not applicable,,,Admissions Policy
25,L,OFSTEDRATING,,Good,Good,Outstanding,Good,Good,Good,Outstanding,Good,Good,Good,Outstanding,Good,Good,Good,,,Outstanding,Inadequate,Outstanding,,Inadequate,Good,Good,Good,Good,Outstanding,Good,Good,Good,Outstanding,Good,Outstanding,Good,Good,Good,,,Outstanding,Good,Outstanding,,Outstanding,Good,Good,Requires improvement,Good,Requires improvement,,Inadequate,,,Ofsted rating
26,L,OFSTEDLASTINSP,,01-02-2018,25-11-2021,05-12-2013,14-02-2018,18-10-2017,05-12-2017,23-11-2012,13-06-2019,22-05-2018,21-03-2017,07-10-2011,08-05-2019,09-01-2020,11-01-2018,,,12-12-2014,05-04-2017,26-06-2019,,13-05-2015,25-04-2017,11-07-2017,08-06-2017,10-07-2019,03-07-2009,20-06-2018,23-09-2021,12-01-2017,10-01-2019,04-03-2020,25-03-2015,03-03-2017,21-03-2018,16-01-2019,,,28-02-2013,26-05-2022,14-03-2013,,10-06-2010,22-11-2017,16-02-2022,02-03-2022,29-09-2021,09-05-2019,,22-03-2018,,,Ofsted last inspection date
27,CENSUS_19,URN,130244,137168,104000,103398,139465,103268,103178,103217,103605,141929,103247,138033,103401,138194,103460,,146268,132261,,142888,144722,,103431,132201,131465,103622,103438,103233,134098,103470,139000,139888,139439,103447,103933,139214,,135561,103497,103625,135170,,139994,138137,145120,136592,103519,143413,,103616,,,School Unique Reference Number
28,CENSUS_19,LA,330,330,333,330,330,330,330,330,330,333,330,333,330,330,330,,330,330,,330,330,,330,330,330,330,330,330,330,330,330,330,330,330,333,330,,330,330,330,333,,330,330,330,330,330,330,,330,,,LA number
29,CENSUS_19,ESTAB,6113,2481,3403,3003,2295,2192,2040,2108,7014,3404,2159,2122,3010,2036,3372,,2187,2477,,2167,2181,,3329,2482,5949,7045,3344,2133,2005,3386,2078,4084,2126,3355,2105,2110,,6128,4173,7050,6906,,4246,4206,4029,4060,4245,2168,,7036,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,Independent school,State-funded secondary,State-funded special school,State-funded secondary,,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,,State-funded special school,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,149,471,316,212,214,630,483,926,196,243,211,606,422,412,686,,428,657,,359,558,,251,525,630,167,419,418,723,237,364,1514,226,399,466,482,,75,870,102,1279,,930,751,323,924,1371,891,,234,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,76,225,162,108,118,310,210,430,36,130,103,299,215,202,332,,222,312,,177,285,,113,251,324,30,214,201,366,110,186,711,114,186,212,251,,21,374,31,589,,398,366,0,864,490,441,,68,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,73,246,154,104,96,320,273,496,160,113,108,307,207,210,354,,206,345,,182,273,,138,274,306,137,205,217,357,127,178,803,112,213,254,231,,54,496,71,690,,532,385,323,60,881,450,,166,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,51,47.8,51.3,50.9,55.1,49.2,43.5,46.4,18.4,53.5,48.8,49.3,50.9,49,48.4,,51.9,47.5,,49.3,51.1,,45,47.8,51.4,18,51.1,48.1,50.6,46.4,51.1,47,50.4,46.6,45.5,52.1,,28,43,30.4,46.1,,42.8,48.7,0,93.5,35.7,49.5,,29.1,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,49,52.2,48.7,49.1,44.9,50.8,56.5,53.6,81.6,46.5,51.2,50.7,49.1,51,51.6,,48.1,52.5,,50.7,48.9,,55,52.2,48.6,82,48.9,51.9,49.4,53.6,48.9,53,49.6,53.4,54.5,47.9,,72,57,69.6,53.9,,57.2,51.3,100,6.5,64.3,50.5,,70.9,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,0,19,7,3,1,4,22,7,196,3,3,6,5,1,2,,1,13,,0,4,,4,2,10,167,1,5,14,3,0,5,0,3,6,1,,1,31,102,13,,11,23,2,7,3,3,,233,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,0,4,2.2,1.4,0.5,0.6,4.6,0.8,100,1.2,1.4,1,1.2,0.2,0.3,,0.2,2,,0,0.7,,1.6,0.4,1.6,100,0.2,1.2,1.9,1.3,0,0.3,0,0.8,1.3,0.2,,1.3,3.6,100,1,,1.2,3.1,0.6,0.8,0.2,0.3,,99.6,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,0,69,24,23,9,87,34,144,0,17,42,39,58,55,148,,71,65,,66,76,,26,101,62,0,33,57,98,39,33,184,33,29,56,63,,2,181,0,139,,105,159,29,77,170,104,,1,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,0,14.6,7.6,10.8,4.2,13.8,7,15.6,0,7,19.9,6.4,13.7,13.3,21.6,,16.6,9.9,,18.4,13.6,,10.4,19.2,9.8,0,7.9,13.6,13.6,16.5,9.1,12.2,14.6,7.3,12,13.1,,2.7,20.8,0,10.9,,11.3,21.2,9,8.3,12.4,11.7,,0.4,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,NA,296,208,23,71,423,134,575,35,144,164,313,261,208,164,,175,196,,204,503,,174,408,523,47,158,106,210,94,173,895,96,104,285,328,,NA,301,34,610,,664,106,186,352,1126,407,,52,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,NA,175,108,189,142,207,345,348,160,99,47,293,159,203,522,,253,457,,142,55,,77,117,105,120,261,310,513,134,191,610,130,295,181,154,,NA,568,67,666,,266,640,134,571,217,440,,163,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,NA,0,0,0,1,0,4,3,1,0,0,0,2,1,0,,0,4,,13,0,,0,0,2,0,0,2,0,9,0,9,0,0,0,0,,NA,1,1,3,,0,5,3,1,28,44,,19,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,NA,62.8,65.8,10.8,33.2,67.1,27.7,62.1,17.9,59.3,77.7,51.7,61.8,50.5,23.9,,40.9,29.8,,56.8,90.1,,69.3,77.7,83,28.1,37.7,25.4,29,39.7,47.5,59.1,42.5,26.1,61.2,68,,NA,34.6,33.3,47.7,,71.4,14.1,57.6,38.1,82.1,45.7,,22.2,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,NA,37.2,34.2,89.2,66.4,32.9,71.4,37.6,81.6,40.7,22.3,48.3,37.7,49.3,76.1,,59.1,69.6,,39.6,9.9,,30.7,22.3,16.7,71.9,62.3,74.2,71,56.5,52.5,40.3,57.5,73.9,38.8,32,,NA,65.3,65.7,52.1,,28.6,85.2,41.5,61.8,15.8,49.4,,69.7,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,NA,0,0,0,0.5,0,0.8,0.3,0.5,0,0,0,0.5,0.2,0,,0,0.6,,3.6,0,,0,0,0.3,0,0,0.5,0,3.8,0,0.6,0,0,0,0,,NA,0.1,1,0.2,,0,0.7,0.9,0.1,2,4.9,,8.1,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,NA,126,65,3,44,166,66,228,65,52,51,143,124,144,182,,109,43,,74,127,,46,147,138,61,38,126,95,77,96,436,75,76,89,218,,NA,175,49,318,,252,204,102,148,443,347,,126,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,NA,169,89,12,64,251,84,316,70,84,69,195,156,194,233,,160,57,,118,157,,49,192,190,79,51,176,118,84,115,815,100,101,133,216,,NA,329,39,505,,441,355,157,200,641,551,,108,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,NA,39.1,32.5,5.7,29.9,39.8,19.2,37.6,41.4,39.6,32.7,35.3,37,50,37.4,,40,8.7,,32.9,29,,23.4,40.7,30.2,48.5,12.2,42.1,18.1,39.6,33.6,58.3,48.5,25.3,31.8,52.3,,NA,37.8,62.9,48.6,,47.4,47.3,48.6,28.5,52.1,61.8,,67.1,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,130244,137168,104000,103398,139465,103268,103178,103217,103605,141929,103247,138033,103401,138194,103460,147191,146268,132261,,142888,144722,,103431,132201,131465,103622,103438,103233,134098,103470,139000,139888,139439,103447,103933,139214,147201,135561,103497,103625,135170,,139994,138137,145120,136592,103519,143413,146858,,,,School Unique Reference Number
50,CENSUS_21,LA,330,330,333,330,330,330,330,330,330,333,330,333,330,330,330,333,330,330,,330,330,,330,330,330,330,330,330,330,330,330,330,330,330,333,330,330,330,330,330,333,,330,330,330,330,330,330,330,,,,LA number
51,CENSUS_21,ESTAB,6113,2481,3403,3003,2295,2192,2040,2108,7014,3404,2159,2122,3010,2036,3372,2021,2187,2477,,2167,2181,,3329,2482,5949,7045,3344,2133,2005,3386,2078,4084,2126,3355,2105,2110,4035,6128,4173,7050,6906,,4246,4206,4029,4060,4245,2168,7001,,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,Independent school,State-funded secondary,State-funded special school,State-funded secondary,,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded special school,,,,Type of school
53,CENSUS_21,NOR,131,473,352,215,210,570,474,935,235,233,201,642,416,377,655,167,424,708,,539,475,,235,460,628,212,411,407,681,242,449,1679,197,393,451,486,368,40,880,108,1418,,931,743,376,978,1434,998,234,,,,Total number of pupils on roll
54,CENSUS_21,NORG,64,221,174,110,107,273,206,449,52,129,101,304,195,179,308,84,208,346,,267,249,,107,224,323,40,206,196,332,105,209,789,97,186,216,251,368,13,398,29,651,,414,349,0,940,487,491,71,,,,Number of girls on roll
55,CENSUS_21,NORB,67,252,178,105,103,297,268,486,183,104,100,338,221,198,347,83,216,362,,272,226,,128,236,305,172,205,211,349,137,240,890,100,207,235,235,0,27,482,79,767,,517,394,376,38,947,507,163,,,,Number of boys on roll
56,CENSUS_21,PNORG,48.9%,46.7%,49.4%,51.2%,51.0%,47.9%,43.5%,48.0%,22.1%,55.4%,50.2%,47.4%,46.9%,47.5%,47.0%,50.3%,49.1%,48.9%,,49.5%,52.4%,,45.5%,48.7%,51.4%,18.9%,50.1%,48.2%,48.8%,43.4%,46.5%,47.0%,49.2%,47.3%,47.9%,51.6%,100%,32.5%,45.2%,26.9%,45.9%,,44.5%,47.0%,0%,96.1%,34.0%,49.2%,30.3%,,,,Percentage of girls on roll
57,CENSUS_21,PNORB,51.1%,53.3%,50.6%,48.8%,49.0%,52.1%,56.5%,52.0%,77.9%,44.6%,49.8%,52.6%,53.1%,52.5%,53.0%,49.7%,50.9%,51.1%,,50.5%,47.6%,,54.5%,51.3%,48.6%,81.1%,49.9%,51.8%,51.2%,56.6%,53.5%,53.0%,50.8%,52.7%,52.1%,48.4%,0%,67.5%,54.8%,73.1%,54.1%,,55.5%,53.0%,100%,3.9%,66.0%,50.8%,69.7%,,,,Percentage of boys on roll
58,CENSUS_21,TSENELSE,1,16,6,2,3,4,24,10,235,3,2,14,6,4,6,1,3,11,,3,3,,5,3,9,212,0,2,11,2,3,11,1,5,8,1,5,3,30,108,15,,9,22,1,10,6,4,234,,,,Number of SEN pupils with an EHC plan
59,CENSUS_21,PSENELSE,0.8%,3.4%,1.7%,0.9%,1.4%,0.7%,5.1%,1.1%,100%,1.3%,1.0%,2.2%,1.4%,1.1%,0.9%,0.6%,0.7%,1.6%,,0.6%,0.6%,,2.1%,0.7%,1.4%,100%,0%,0.5%,1.6%,0.8%,0.7%,0.7%,0.5%,1.3%,1.8%,0.2%,1.4%,7.5%,3.4%,100%,1.1%,,1.0%,3.0%,0.3%,1.0%,0.4%,0.4%,100%,,,,Percentage of SEN pupils with an EHC plan
60,CENSUS_21,TSENELK,1,47,29,17,22,93,35,194,0,17,49,36,69,48,111,11,68,56,,87,49,,29,94,61,0,24,72,114,46,40,189,48,36,47,58,88,2,201,0,116,,137,129,31,70,175,162,0,,,,Number of eligible pupils with SEN support
