No,Namespace,Variable,Silvertrees Academy - 140792,Reaside Academy - 139002,Northfield Road Primary School - 147155,Northfield Road Primary School - 103775,Hydesville Tower School - 104266,Four Oaks Primary School - 131920,St Edward's Catholic Primary School - 125707,St Edward's Catholic Primary School - 148125,Glebefields Primary School - 103925,St Pauls Church of England Academy - 140921,St James Catholic Primary School - 141820,Kings Hill Primary School - 104179,Woodlands - 145224,St Mary of the Angels Catholic Primary School - 104240,Hill West Primary School - 139520,Dudley Wood Primary School - 144078,Wednesbury Oak Academy - 140793,Salisbury Primary School - 104178,Lutley Primary School - 143783,Cradley CofE Primary School - 103846,Moorcroft Wood Primary School - 135016,Butts Primary School - 104147,St Patricks Church of England Primary Academy - 136320,Colley Lane Primary Academy - 142964,Romsley St Kenelm's CofE Primary School - 116846,West Midlands Education and Skills - 146563,Little Sutton Primary School - 103388,"St Patrick's Catholic Primary School, Walsall - 104233",Emmanuel School - 130323,Birchills Church of England Community Academy - 139435,St Martin's Church of England Primary School - 141825,Cooper and Jordan Church of England Primary School - 132073,Netherton CofE Primary School - 144418,Pinfold Street Primary School - 104176,Blowers Green Primary School - 103771,Blowers Green Primary School - 147708,Beaconside Primary and Nursery School - 116768,Little Aston Primary Academy - 148285,Little Aston Primary School - 124127,Caslon Primary Community  School - 103801,Holywell Primary and Nursery School - 132060,Gospel Oak School - 135599,St Francis of Assisi Catholic College - 104255,Aldridge School - A Science College - 137974,Queen Mary's High School - 136777,The Link Academy - 144952,Bloomfield School - 135518,West Walsall E-ACT Academy - 138374,Walsall College - 130483,Dudley College of Technology - 130475,National state-funded primary,National state-funded secondary and 16 to 18,Description
11,L,POSTCODE,DY4 8NH,B45 0HY,DY2 9ER,DY2 9ER,WS1 2QG,B74 4PA,B46 3JE,B46 3JE,DY4 0SX,DY4 9BH,B45 9BN,WS10 9JG,B46 3JE,WS9 0HA,B74 4LD,DY2 0DB,DY4 0AR,WS10 8BQ,B63 1BU,B63 2UL,WV14 8NE,WS4 2AH,B94 6DE,B63 2TN,B62 0LF,WS2 8HN,B75 5NL,WS2 8HN,WS2 8PR,WS2 8NF,WV14 8BS,WS9 8NH,DY2 0HU,WS10 8PU,DY2 8UZ,DY2 8UZ,B45 9DX,B74 3BE,B74 3BE,B63 2ES,B45 9EY,DY4 0BZ,WS9 0RN,WS9 0BG,WS4 2AE,DY2 0PB,DY4 9ER,WS2 9UA,WS2 8ES,DY1 4AS,,,School postcode
12,L,SCHSTATUS,Open,Open,Open,Closed,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,,,School open / closed status
13,L,OPENDATE,,,01-07-2019,,,,,01-04-2021,,,,,,,,,,,,,,,,,,03-07-2019,,,,,,,,,,01-02-2020,,01-12-2020,,,,,,,,,,,,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,,,,30-06-2019,,,31-03-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-01-2020,,,,30-11-2020,,,,,,,,21-07-2021,,,,,,Date the school closed
15,L,MINORGROUP,Academy,Academy,Academy,Maintained school,Independent school,Maintained school,Maintained school,Academy,Maintained school,Academy,Academy,Maintained school,Special school,Maintained school,Academy,Academy,Academy,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Academy,Academy,Maintained school,Special school,Maintained school,Maintained school,Independent school,Academy,Academy,Maintained school,Academy,Maintained school,Maintained school,Academy,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Academy,Academy,Academy,Special school,Academy,College,College,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Academy converter,Academy sponsor led,Academy sponsor led,Community school,Other independent school,Foundation school,Voluntary aided school,Academy converter,Community school,Academy converter,Academy converter,Community school,Academy special converter,Voluntary aided school,Academy converter,Academy converter,Academy converter,Community school,Academy converter,Voluntary aided school,Community school,Community school,Academy converter,Academy converter,Voluntary controlled school,Other independent special school,Foundation school,Voluntary aided school,Other independent school,Academy sponsor led,Academy converter,Voluntary aided school,Academy converter,Community school,Community school,Academy converter,Community school,Academy converter,Foundation school,Community school,Community school,Academy sponsor led,Voluntary aided school,Academy converter,Academy converter,Academy sponsor led,Other independent special school,Academy sponsor led,Further education,Further education,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,3,7,4,4,2,4,2,2,3,3,4,2,2,3,4,3,3,3,5,4,2,2,3,3,5,9,4,3,3,3,3,3,3,5,3,3,3,4,4,2,3,11,11,11,11,11,11,11,16,16,,,Lowest age of entry
21,L,AGEHIGH,7,11,11,11,16,11,11,11,11,11,11,11,19,11,11,11,11,11,11,11,11,11,11,11,11,25,11,11,16,11,11,11,11,11,11,11,11,11,11,11,11,18,18,18,18,16,16,18,99,99,,,Highest age of entry
22,L,GENDER,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Girls,Mixed,Mixed,Mixed,Mixed,Mixed,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Does not apply,Does not apply,Does not apply,Does not apply,Christian,Does not apply,Roman Catholic,Roman Catholic,Does not apply,Church of England,Roman Catholic,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Church of England,Does not apply,Does not apply,Church of England,Does not apply,Church of England,,Does not apply,Roman Catholic,Christian/Evangelical,Church of England,Church of England,Church of England,Church of England,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,None,None,Does not apply,None,None,Does not apply,Does not apply,,,Religious character
24,L,ADMPOL,Not applicable,Non-selective,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Non-selective,Non-selective,Non-selective,Selective,Non-selective,Not applicable,Non-selective,Not applicable,Not applicable,,,Admissions Policy
25,L,OFSTEDRATING,Good,Good,,Inadequate,,Outstanding,Requires improvement,Requires improvement,Requires improvement,Good,Outstanding,Outstanding,Good,Good,Good,Requires improvement,Good,Good,Good,Good,Good,Good,Good,Good,Good,,Outstanding,Good,,Good,Good,Good,Good,Good,Outstanding,Outstanding,Good,Good,Good,Good,Requires improvement,Good,Good,Good,Outstanding,Good,,Good,Good,Outstanding,,,Ofsted rating
26,L,OFSTEDLASTINSP,10-04-2019,17-11-2021,,19-09-2018,,06-03-2014,30-01-2019,30-01-2019,20-03-2019,13-03-2018,14-07-2009,11-01-2018,18-05-2022,20-06-2017,10-03-2022,02-03-2022,27-01-2022,19-03-2019,27-03-2019,25-04-2017,09-10-2018,06-02-2019,04-07-2018,05-02-2020,06-12-2017,,20-09-2012,17-11-2021,,01-03-2017,30-01-2018,13-02-2019,30-03-2022,08-06-2017,23-11-2016,27-04-2022,24-11-2021,29-01-2019,29-01-2019,16-07-2019,13-10-2021,07-07-2016,27-01-2022,26-05-2022,13-10-2021,09-02-2022,,01-11-2017,06-03-2020,19-05-2017,,,Ofsted last inspection date
27,CENSUS_19,URN,140792,139002,,103775,,131920,125707,,103925,140921,141820,104179,145224,104240,139520,144078,140793,104178,143783,103846,135016,104147,136320,142964,116846,,103388,104233,130323,139435,141825,132073,144418,104176,103771,,116768,,124127,103801,132060,135599,104255,137974,136777,144952,135518,138374,,,,,School Unique Reference Number
28,CENSUS_19,LA,333,330,,332,,330,937,,333,333,330,335,937,335,330,332,333,335,332,332,335,335,334,332,885,,330,335,335,335,336,335,332,335,332,,885,,860,332,885,333,335,335,335,332,333,335,,,,,LA number
29,CENSUS_19,ESTAB,2062,2080,,2012,,3435,3503,,2075,3004,3358,2106,7047,3323,3429,2005,2076,2105,2120,3350,3327,2006,3313,2102,3097,,2462,3304,6009,2015,3022,2249,3053,2103,2000,,2197,,2277,2112,2921,6909,4606,5405,5403,4003,6004,4003,,,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,State-funded primary,State-funded primary,,State-funded primary,,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,Independent school,State-funded secondary,,,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,343,210,,404,,422,206,,459,230,210,416,192,227,420,474,463,334,635,212,258,257,221,634,202,,422,225,95,456,293,479,428,415,237,,239,,225,207,452,1067,1065,1502,736,952,57,878,,,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,163,101,,226,,201,108,,234,126,105,196,65,124,214,231,230,171,305,110,142,130,116,300,100,,201,101,51,228,141,244,204,214,119,,110,,103,108,236,515,536,755,733,469,9,447,,,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,180,109,,178,,221,98,,225,104,105,220,127,103,206,243,233,163,330,102,116,127,105,334,102,,221,124,44,228,152,235,224,201,118,,129,,122,99,216,552,529,747,3,483,48,431,,,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,47.5,48.1,,55.9,,47.6,52.4,,51,54.8,50,47.1,33.9,54.6,51,48.7,49.7,51.2,48,51.9,55,50.6,52.5,47.3,49.5,,47.6,44.9,53.7,50,48.1,50.9,47.7,51.6,50.2,,46,,45.8,52.2,52.2,48.3,50.3,50.3,99.6,49.3,15.8,50.9,,,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,52.5,51.9,,44.1,,52.4,47.6,,49,45.2,50,52.9,66.1,45.4,49,51.3,50.3,48.8,52,48.1,45,49.4,47.5,52.7,50.5,,52.4,55.1,46.3,50,51.9,49.1,52.3,48.4,49.8,,54,,54.2,47.8,47.8,51.7,49.7,49.7,0.4,50.7,84.2,49.1,,,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,6,2,,3,,2,4,,5,3,4,5,186,3,1,8,3,2,7,2,0,6,0,5,4,,2,2,0,8,1,5,4,9,0,,9,,1,2,3,9,14,30,1,10,56,11,,,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,1.7,1,,0.7,,0.5,1.9,,1.1,1.3,1.9,1.2,96.9,1.3,0.2,1.7,0.6,0.6,1.1,0.9,0,2.3,0,0.8,2,,0.5,0.9,0,1.8,0.3,1,0.9,2.2,0,,3.8,,0.4,1,0.7,0.8,1.3,2,0.1,1.1,98.2,1.3,,,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,61,62,,83,,40,13,,83,34,21,49,6,18,45,82,53,45,46,24,40,14,26,111,21,,32,36,5,83,47,24,53,57,58,,21,,16,38,78,161,67,107,13,164,1,78,,,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,17.8,29.5,,20.5,,9.5,6.3,,18.1,14.8,10,11.8,3.1,7.9,10.7,17.3,11.4,13.5,7.2,11.3,15.5,5.4,11.8,17.5,10.4,,7.6,16,5.3,18.2,16,5,12.4,13.7,24.5,,8.8,,7.1,18.4,17.3,15.1,6.3,7.1,1.8,17.2,1.8,8.9,,,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,83,21,,54,,105,0,,41,26,4,176,12,22,19,38,34,238,12,4,18,138,31,150,7,,47,101,NA,147,35,15,36,76,153,,4,,54,49,8,61,128,189,238,205,NA,587,,,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,260,189,,350,,317,206,,418,204,206,240,180,205,361,436,429,91,623,208,240,119,190,484,194,,369,118,NA,309,257,464,392,339,84,,235,,171,158,442,1005,937,1313,496,747,NA,288,,,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,0,0,,0,,0,0,,0,0,0,0,0,0,40,0,0,5,0,0,0,0,0,0,1,,6,6,NA,0,1,0,0,0,0,,0,,0,0,2,1,0,0,2,0,NA,3,,,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,24.2,10,,13.4,,24.9,0,,8.9,11.3,1.9,42.3,6.3,9.7,4.5,8,7.3,71.3,1.9,1.9,7,53.7,14,23.7,3.5,,11.1,44.9,NA,32.2,11.9,3.1,8.4,18.3,64.6,,1.7,,24,23.7,1.8,5.7,12,12.6,32.3,21.5,NA,66.9,,,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,75.8,90,,86.6,,75.1,100,,91.1,88.7,98.1,57.7,93.8,90.3,86,92,92.7,27.2,98.1,98.1,93,46.3,86,76.3,96,,87.4,52.4,NA,67.8,87.7,96.9,91.6,81.7,35.4,,98.3,,76,76.3,97.8,94.2,88,87.4,67.4,78.5,NA,32.8,,,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,0,0,,0,,0,0,,0,0,0,0,0,0,9.5,0,0,1.5,0,0,0,0,0,0,0.5,,1.4,2.7,NA,0,0.3,0,0,0,0,,0,,0,0,0.4,0.1,0,0,0.3,0,NA,0.3,,,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,59,109,,125,,17,28,,154,36,31,127,66,17,38,94,102,78,28,20,91,80,13,129,20,,16,57,NA,145,98,28,117,158,55,,18,,7,60,53,229,89,197,47,251,NA,365,,,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,69,154,,155,,31,35,,209,55,40,170,68,25,70,124,153,115,50,30,123,101,20,174,26,,28,78,NA,177,124,44,163,210,73,,22,,10,86,74,403,168,441,95,426,NA,456,,,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,25.9,73.3,,38.4,,7.3,17,,51.7,26.4,19,47.4,42,12.3,16.7,29.9,37.4,38,7.9,14.2,58,47.6,9.6,29.2,12.9,,6.7,37.5,NA,43.6,49.4,10.2,42.6,50.6,34.6,,10.4,,4.4,41.5,18,40.7,18.8,33.7,15.9,44.7,NA,59,,,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,140792,139002,147155,,104266,131920,125707,,103925,140921,141820,104179,145224,104240,139520,144078,140793,104178,143783,103846,135016,104147,136320,142964,116846,146563,103388,104233,130323,139435,141825,132073,144418,104176,,147708,116768,148285,,103801,132060,135599,104255,137974,136777,144952,135518,138374,,,,,School Unique Reference Number
50,CENSUS_21,LA,333,330,332,,335,330,937,,333,333,330,335,937,335,330,332,333,335,332,332,335,335,334,332,885,335,330,335,335,335,336,335,332,335,,332,885,860,,332,885,333,335,335,335,332,333,335,,,,,LA number
51,CENSUS_21,ESTAB,2062,2080,2011,,6007,3435,3503,,2075,3004,3358,2106,7047,3323,3429,2005,2076,2105,2120,3350,3327,2006,3313,2102,3097,6044,2462,3304,6009,2015,3022,2249,3053,2103,,2000,2197,2277,,2112,2921,6909,4606,5405,5403,4003,6004,4003,,,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,State-funded primary,State-funded primary,State-funded primary,,Independent school,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,Independent school,State-funded secondary,,,,,Type of school
53,CENSUS_21,NOR,356,190,400,,285,421,222,,416,223,211,446,206,226,423,429,433,322,624,207,254,242,235,575,193,34,425,220,86,435,280,473,414,420,,231,246,229,,197,449,1195,1133,1559,846,902,27,1110,,,,,Total number of pupils on roll
54,CENSUS_21,NORG,159,86,218,,114,198,115,,212,130,99,220,57,115,212,218,211,170,291,102,137,122,120,282,99,1,197,96,50,237,134,242,204,215,,123,112,113,,101,231,593,585,763,837,443,4,549,,,,,Number of girls on roll
55,CENSUS_21,NORB,197,104,182,,171,223,107,,204,93,112,226,149,111,211,211,222,152,333,105,117,120,115,293,94,33,228,124,36,198,146,231,210,205,,108,134,116,,96,218,602,548,796,9,459,23,561,,,,,Number of boys on roll
56,CENSUS_21,PNORG,44.7%,45.3%,54.5%,,40.0%,47.0%,51.8%,,51.0%,58.3%,46.9%,49.3%,27.7%,50.9%,50.1%,50.8%,48.7%,52.8%,46.6%,49.3%,53.9%,50.4%,51.1%,49.0%,51.3%,2.9%,46.4%,43.6%,58.1%,54.5%,47.9%,51.2%,49.3%,51.2%,,53.2%,45.5%,49.3%,,51.3%,51.4%,49.6%,51.6%,48.9%,98.9%,49.1%,14.8%,49.5%,,,,,Percentage of girls on roll
57,CENSUS_21,PNORB,55.3%,54.7%,45.5%,,60.0%,53.0%,48.2%,,49.0%,41.7%,53.1%,50.7%,72.3%,49.1%,49.9%,49.2%,51.3%,47.2%,53.4%,50.7%,46.1%,49.6%,48.9%,51.0%,48.7%,97.1%,53.6%,56.4%,41.9%,45.5%,52.1%,48.8%,50.7%,48.8%,,46.8%,54.5%,50.7%,,48.7%,48.6%,50.4%,48.4%,51.1%,1.1%,50.9%,85.2%,50.5%,,,,,Percentage of boys on roll
58,CENSUS_21,TSENELSE,1,2,2,,0,2,4,,3,5,5,9,202,5,2,8,4,5,7,2,3,6,0,13,3,33,1,4,0,7,4,6,11,12,,4,9,1,,4,5,14,14,43,2,17,27,22,,,,,Number of SEN pupils with an EHC plan
59,CENSUS_21,PSENELSE,0.3%,1.1%,0.5%,,0%,0.5%,1.8%,,0.7%,2.2%,2.4%,2.0%,98.1%,2.2%,0.5%,1.9%,0.9%,1.6%,1.1%,1.0%,1.2%,2.5%,0%,2.3%,1.6%,97.1%,0.2%,1.8%,0%,1.6%,1.4%,1.3%,2.7%,2.9%,,1.7%,3.7%,0.4%,,2.0%,1.1%,1.2%,1.2%,2.8%,0.2%,1.9%,100%,2.0%,,,,,Percentage of SEN pupils with an EHC plan
60,CENSUS_21,TSENELK,49,60,79,,13,26,14,,81,25,16,61,4,18,48,68,51,36,37,35,42,24,35,66,18,1,24,38,6,89,44,26,52,77,,48,22,17,,28,70,175,105,140,31,143,0,158,,,,,Number of eligible pupils with SEN support
61,CENSUS_21,PSENELK,13.8%,31.6%,19.8%,,4.6%,6.2%,6.3%,,19.5%,11.2%,7.6%,13.7%,1.9%,8.0%,11.3%,15.9%,11.8%,11.2%,5.9%,16.9%,16.5%,9.9%,14.9%,11.5%,9.3%,2.9%,5.6%,17.3%,7.0%,20.5%,15.7%,5.5%,12.6%,18.3%,,20.8%,8.9%,7.4%,,14.2%,15.6%,14.6%,9.3%,9.0%,3.7%,15.9%,0%,14.2%,,,,,Percentage of eligible pupils with SEN support
