No,Namespace,Variable,Mayfield School - 103619,St John's & St Peter's CofE Academy - 138883,St Edmund's Catholic Primary School - 103440,West House School - 103575,Percy Shurmer Academy - 138410,St Francis Catholic Primary School - 103437,Anglesey Primary School - 132074,Adderley Primary School - 103159,Prince Albert Junior and Infant School - 142230,Mansfield Green E-ACT Academy - 138998,The Oratory Roman Catholic Primary School - 103427,Wyndcliffe Primary School - 141319,Christ Church CofE Controlled Primary School and Nursery - 103397,St George's School Edgbaston - 103564,Heath Mount Primary School - 103333,St Clement's Church of England Academy - 138432,The Lambs Christian School - 134091,St George's Church of England Primary School - 139267,The Wisdom Academy - 135882,St Patrick's Catholic Primary School - 103439,Manor Park Primary Academy - 141977,St Saviour's C of E Primary School - 103406,Al-Hijrah School - 133306,Iqra Girls High School - 145186,Ladypool Primary School - 103265,Heathfield Primary School - 142231,Hallfield School - 103568,Barford Primary School - 103162,Priory School - 103566,Holte School - 103509,Hazrat Khadijatul Kubra Girls School - 136123,Birmingham Independent College - 143418,Heritage Academy - 147038,King Edward VI Aston School - 137043,Mander Portman Woodward Independent College - 103587,Orion School - 147234,Future First Independent School - 135422,Green Heath School - 135688,R.Y.A.N Education Academy - 139706,Hopwood Hall School - 146780,Holy Trinity Catholic School - 103538,Holy Trinity Catholic School - 144719,Bordesley Green Girls' School & Sixth Form - 103493,Birchfield Independent Girls' School - 103591,Al Huda Girls' School - 103595,Small Heath Leadership Academy - 144464,Redstone Academy for Girls - 148157,Redstone  Academy for Boys - 137560,BOA Stage and Screen Production Academy - 148635,Joseph Chamberlain Sixth Form College - 130468,National state-funded primary,National state-funded secondary and 16 to 18,Description
11,L,POSTCODE,B19 2EP,B16 8RN,B18 7PA,B15 2NX,B12 9ED,B19 1PH,B19 1RA,B8 1DZ,B6 5NH,B6 5NH,B16 9ER,B9 5BG,B11 1LF,B15 1RX,B12 9SR,B7 5NS,B19 1AY,B16 8HY,B6 5UH,B18 7QW,B6 5UQ,B8 1JB,B9 4US,B12 9LB,B11 1QT,B19 1HJ,B15 3SJ,B16 0EF,B15 2UR,B19 2EP,B10 0BP,B6 5NU,B12 0DX,B6 6DJ,B15 3AU,B18 7QD,B18 7RL,B10 0NR,B11 1LF,B15 3DU,B10 0AX,B10 0AX,B9 4TR,B6 6JU,B8 1RD,B10 9RX,B12 9AN,B12 9AN,B18 7AJ,B12 9FF,,,School postcode
12,L,SCHSTATUS,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,"Open, but proposed to close",Open,Open,Open,Open,Open,Open,Open,Closed,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,,,School open / closed status
13,L,OPENDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-07-2019,,,26-09-2019,,,,06-06-2019,,01-05-2019,,,,,23-04-2021,,01-09-2021,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,31-05-2021,,,,,,,,,,,,,,30-09-2022,,,,,,,,31-08-2019,16-07-2021,,,,,,,,,,,,,,,,,30-04-2019,,,,,,,,,,,,Date the school closed
15,L,MINORGROUP,Special school,Academy,Maintained school,Independent school,Academy,Maintained school,Maintained school,Maintained school,Academy,Academy,Maintained school,Academy,Maintained school,Independent school,Maintained school,Academy,Independent school,Academy,Independent school,Maintained school,Academy,Maintained school,Maintained school,Independent school,Maintained school,Academy,Independent school,Maintained school,Independent school,Maintained school,Independent school,Independent school,Independent school,Academy,Independent school,Independent school,Independent school,Independent school,Special school,Special school,Maintained school,Academy,Maintained school,Independent school,Independent school,Academy,Independent school,Independent school,College,College,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Community special school,Academy sponsor led,Voluntary aided school,Other independent school,Academy sponsor led,Voluntary aided school,Community school,Community school,Academy converter,Academy sponsor led,Voluntary aided school,Academy sponsor led,Voluntary controlled school,Other independent school,Community school,Academy sponsor led,Other independent school,Academy sponsor led,Other independent school,Voluntary aided school,Academy sponsor led,Voluntary controlled school,Voluntary aided school,Other independent school,Community school,Academy converter,Other independent school,Community school,Other independent school,Community school,Other independent school,Other independent school,Other independent school,Academy converter,Other independent school,Other independent school,Other independent school,Other independent school,Other independent special school,Other independent special school,Voluntary aided school,Academy sponsor led,Community school,Other independent school,Other independent school,Academy sponsor led,Other independent school,Other independent school,Free schools 16 to 19,Further education,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,3,4,3,1,3,4,3,4,3,3,3,3,3,2,4,3,3,4,2,4,3,5,4,9,3,3,0,3,0,11,11,14,11,11,14,13,13,11,13,11,11,11,11,11,11,11,11,11,16,16,,,Lowest age of entry
21,L,AGEHIGH,19,11,11,11,11,11,11,11,11,11,11,11,11,19,11,11,11,11,16,11,11,11,16,12,11,11,13,11,18,18,16,25,16,18,19,16,18,19,17,16,16,16,18,17,17,18,16,16,19,99,,,Highest age of entry
22,L,GENDER,Mixed,Mixed,Mixed,Boys,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Girls,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Girls,Mixed,Boys,Boys,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Girls,Girls,Girls,Mixed,Girls,Boys,,Mixed,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Does not apply,Church of England,Roman Catholic,None,None,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Does not apply,Church of England,Christian,Does not apply,Church of England,None,Church of England,None,Roman Catholic,None,Church of England,Muslim,None,Does not apply,Does not apply,Church of England,Does not apply,Roman Catholic,Does not apply,Islam,None,,Christian,None,,None,None,Does not apply,,Roman Catholic,Roman Catholic,Does not apply,None,None,Does not apply,,None,Does not apply,Does not apply,,,Religious character
24,L,ADMPOL,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Selective,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Selective,Not applicable,Selective,Non-selective,Not applicable,Not applicable,,Selective,Not applicable,,Not applicable,Non-selective,Not applicable,,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,,Not applicable,Non-selective,Not applicable,,,Admissions Policy
25,L,OFSTEDRATING,Inadequate,Good,Requires improvement,,Good,Good,Good,Good,Outstanding,Outstanding,Requires improvement,Good,Outstanding,,Requires improvement,Good,,Good,,Good,Good,Good,Inadequate,,Good,Good,,Good,,Requires improvement,,,,Outstanding,,,,,,,Good,,Good,,,Good,,,,Outstanding,,,Ofsted rating
26,L,OFSTEDLASTINSP,09-05-2018,07-06-2018,03-07-2019,,11-03-2020,10-07-2019,18-01-2017,14-12-2016,05-02-2015,27-06-2018,28-11-2018,24-01-2018,30-11-2017,,19-06-2019,18-12-2018,,11-05-2022,,11-12-2018,05-12-2018,09-01-2020,29-03-2017,,04-05-2017,13-06-2018,,05-07-2017,,02-10-2019,,,,11-05-2022,,,,,,,06-12-2017,,27-04-2022,,,12-05-2022,,,,10-11-2017,,,Ofsted last inspection date
27,CENSUS_19,URN,103619,138883,103440,103575,138410,103437,132074,103159,142230,138998,103427,141319,103397,103564,103333,138432,134091,139267,,103439,141977,103406,133306,145186,103265,142231,103568,103162,103566,103509,136123,143418,,137043,103587,,135422,135688,139706,,103538,,103493,103591,103595,144464,,,,,,,School Unique Reference Number
28,CENSUS_19,LA,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,,330,330,330,330,330,330,330,330,330,330,330,330,330,,330,330,,330,330,330,,330,,330,330,330,330,,,,,,,LA number
29,CENSUS_19,ESTAB,7040,2071,3347,6059,2057,3342,2479,2010,2003,2075,3323,2146,3002,6000,2313,2059,6105,2120,,3346,2162,3019,4334,6035,2189,2309,6004,2014,6002,4223,6170,6032,,5408,6079,,6121,6205,6014,,4664,,4115,6083,6088,4025,,,,,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,State-funded special school,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,Independent school,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,Independent school,State-funded primary,State-funded primary,Independent school,State-funded primary,Independent school,State-funded secondary,Independent school,Independent school,,State-funded secondary,Independent school,,Independent school,Independent school,Independent school,,State-funded secondary,,State-funded secondary,Independent school,Independent school,State-funded secondary,,,,,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,282,192,244,353,450,408,791,566,744,460,234,659,233,396,371,222,39,207,,203,431,413,727,3,411,484,546,452,465,1138,87,9,,915,260,,9,3,16,,617,,993,106,70,1066,,,,,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,100,90,117,26,230,210,376,262,311,239,113,320,128,93,180,110,25,99,,97,223,196,384,3,215,212,226,224,150,626,87,1,,0,117,,2,2,3,,273,,993,106,70,443,,,,,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,182,102,127,327,220,198,415,304,433,221,121,339,105,303,191,112,14,108,,106,208,217,343,0,196,272,320,228,315,512,0,8,,915,143,,7,1,13,,344,,0,0,0,623,,,,,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,35.5,46.9,48,7.4,51.1,51.5,47.5,46.3,41.8,52,48.3,48.6,54.9,23.5,48.5,49.5,64.1,47.8,,47.8,51.7,47.5,52.8,100,52.3,43.8,41.4,49.6,32.3,55,100,11.1,,0,45,,22.2,66.7,18.8,,44.2,,100,100,100,41.6,,,,,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,64.5,53.1,52,92.6,48.9,48.5,52.5,53.7,58.2,48,51.7,51.4,45.1,76.5,51.5,50.5,35.9,52.2,,52.2,48.3,52.5,47.2,0,47.7,56.2,58.6,50.4,67.7,45,0,88.9,,100,55,,77.8,33.3,81.3,,55.8,,0,0,0,58.4,,,,,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,282,1,3,0,17,4,20,6,7,8,2,1,2,72,2,1,0,0,,0,2,8,5,0,6,5,0,0,2,23,0,6,,3,5,,8,0,16,,3,,35,0,0,20,,,,,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,100,0.5,1.2,0,3.8,1,2.5,1.1,0.9,1.7,0.9,0.2,0.9,18.2,0.5,0.5,0,0,,0,0.5,1.9,0.7,0,1.5,1,0,0,0.4,2,0,66.7,,0.3,1.9,,88.9,0,100,,0.5,,3.5,0,0,1.9,,,,,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,0,22,41,16,42,73,170,53,198,64,46,75,10,46,83,29,3,32,,48,49,79,45,0,51,188,80,102,36,194,0,0,,48,65,,0,0,0,,97,,142,0,0,86,,,,,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,0,11.5,16.8,4.5,9.3,17.9,21.5,9.4,26.6,13.9,19.7,11.4,4.3,11.6,22.4,13.1,7.7,15.5,,23.6,11.4,19.1,6.2,0,12.4,38.8,14.7,22.6,7.7,17,0,0,,5.2,25,,0,0,0,,15.7,,14.3,0,0,8.1,,,,,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,194,115,126,NA,361,213,706,471,642,388,127,637,128,NA,289,159,NA,93,,123,335,381,676,NA,346,397,NA,191,NA,955,NA,NA,,263,NA,,NA,NA,NA,,383,,840,NA,NA,690,,,,,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,88,77,117,NA,89,163,85,95,102,72,107,22,105,NA,82,63,NA,114,,80,96,32,51,NA,65,87,NA,257,NA,183,NA,NA,,646,NA,,NA,NA,NA,,223,,150,NA,NA,376,,,,,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,0,0,1,NA,0,32,0,0,0,0,0,0,0,NA,0,0,NA,0,,0,0,0,0,NA,0,0,NA,4,NA,0,NA,NA,,6,NA,,NA,NA,NA,,11,,3,NA,NA,0,,,,,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,68.8,59.9,51.6,NA,80.2,52.2,89.3,83.2,86.3,84.3,54.3,96.7,54.9,NA,77.9,71.6,NA,44.9,,60.6,77.7,92.3,93,NA,84.2,82,NA,42.3,NA,83.9,NA,NA,,28.7,NA,,NA,NA,NA,,62.1,,84.6,NA,NA,64.7,,,,,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,31.2,40.1,48,NA,19.8,40,10.7,16.8,13.7,15.7,45.7,3.3,45.1,NA,22.1,28.4,NA,55.1,,39.4,22.3,7.7,7,NA,15.8,18,NA,56.9,NA,16.1,NA,NA,,70.6,NA,,NA,NA,NA,,36.1,,15.1,NA,NA,35.3,,,,,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,0,0,0.4,NA,0,7.8,0,0,0,0,0,0,0,NA,0,0,NA,0,,0,0,0,0,NA,0,0,NA,0.9,NA,0,NA,NA,,0.7,NA,,NA,NA,NA,,1.8,,0.3,NA,NA,0,,,,,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,151,107,123,NA,152,148,199,187,168,141,50,172,66,NA,128,96,NA,73,,68,146,132,163,NA,152,123,NA,136,NA,551,NA,NA,,119,NA,,NA,NA,NA,,272,,266,NA,NA,290,,,,,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,129,121,134,NA,188,216,290,266,200,204,75,240,81,NA,211,119,NA,109,,89,167,166,257,NA,192,152,NA,178,NA,679,NA,NA,,174,NA,,NA,NA,NA,,350,,328,NA,NA,554,,,,,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,58.1,63,64.1,NA,44.9,52.9,41.1,47,30.6,50.9,35.7,38.7,39.1,NA,56.9,57.8,NA,52.7,,43.8,42.6,40.2,35.4,NA,51.9,33.9,NA,43.1,NA,71.2,NA,NA,,27.2,NA,,NA,NA,NA,,56.7,,53,NA,NA,52,,,,,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,103619,138883,103440,103575,138410,103437,132074,103159,142230,138998,103427,141319,103397,103564,103333,138432,134091,139267,135882,103439,141977,103406,,145186,103265,142231,103568,103162,103566,103509,136123,143418,147038,137043,103587,147234,135422,135688,139706,146780,,144719,103493,103591,103595,144464,,137560,,,,,School Unique Reference Number
50,CENSUS_21,LA,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,,330,330,330,330,330,,330,,,,,LA number
51,CENSUS_21,ESTAB,7040,2071,3347,6059,2057,3342,2479,2010,2003,2075,3323,2146,3002,6000,2313,2059,6105,2120,6206,3346,2162,3019,,6035,2189,2309,6004,2014,6002,4223,6170,6032,6052,5408,6079,6061,6121,6205,6014,6045,,4026,4115,6083,6088,4025,,6009,,,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,State-funded special school,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,Independent school,State-funded primary,Independent school,State-funded primary,State-funded primary,State-funded primary,,Independent school,State-funded primary,State-funded primary,Independent school,State-funded primary,Independent school,State-funded secondary,Independent school,Independent school,Independent school,State-funded secondary,Independent school,Independent school,Independent school,Independent school,Independent school,Independent school,,State-funded secondary,State-funded secondary,Independent school,Independent school,State-funded secondary,,Independent school,,,,,Type of school
53,CENSUS_21,NOR,303,201,206,338,453,406,742,511,702,428,227,621,224,373,353,221,43,211,264,177,369,409,,31,354,472,556,421,387,1225,88,9,40,986,207,9,5,0,8,4,,654,1013,106,47,1156,,124,,,,,Total number of pupils on roll
54,CENSUS_21,NORG,101,98,89,36,227,199,355,228,308,204,112,297,114,88,176,100,27,102,186,97,193,206,,31,194,203,231,210,118,650,88,1,0,0,83,1,0,0,1,2,,289,1013,106,47,450,,59,,,,,Number of girls on roll
55,CENSUS_21,NORB,202,103,117,302,226,207,387,283,394,224,115,324,110,285,177,121,16,109,78,80,176,203,,0,160,269,325,211,269,575,0,8,40,986,124,8,5,0,7,2,,365,0,0,0,706,,65,,,,,Number of boys on roll
56,CENSUS_21,PNORG,33.3%,48.8%,43.2%,10.7%,50.1%,49.0%,47.8%,44.6%,43.9%,47.7%,49.3%,47.8%,50.9%,23.6%,49.9%,45.2%,62.8%,48.3%,70.5%,54.8%,52.3%,50.4%,,100%,54.8%,43.0%,41.5%,49.9%,30.5%,53.1%,100%,11.1%,0%,0%,40.1%,11.1%,0%,,12.5%,50.0%,,44.2%,100%,100%,100%,38.9%,,47.6%,,,,,Percentage of girls on roll
57,CENSUS_21,PNORB,66.7%,51.2%,56.8%,89.3%,49.9%,51.0%,52.2%,55.4%,56.1%,52.3%,50.7%,52.2%,49.1%,76.4%,50.1%,54.8%,37.2%,51.7%,29.5%,45.2%,47.7%,49.6%,,0%,45.2%,57.0%,58.5%,50.1%,69.5%,46.9%,0%,88.9%,100%,100%,59.9%,88.9%,100%,,87.5%,50.0%,,55.8%,0%,0%,0%,61.1%,,52.4%,,,,,Percentage of boys on roll
58,CENSUS_21,TSENELSE,303,1,2,1,15,4,19,6,10,11,4,9,5,65,4,2,0,2,0,0,2,7,,0,3,9,0,0,0,15,0,8,0,4,1,3,5,0,8,3,,5,27,0,0,16,,0,,,,,Number of SEN pupils with an EHC plan
59,CENSUS_21,PSENELSE,100%,0.5%,1.0%,0.3%,3.3%,1.0%,2.6%,1.2%,1.4%,2.6%,1.8%,1.4%,2.2%,17.4%,1.1%,0.9%,0%,0.9%,0%,0%,0.5%,1.7%,,0%,0.8%,1.9%,0%,0%,0%,1.2%,0%,88.9%,0%,0.4%,0.5%,33.3%,100%,,100%,75.0%,,0.8%,2.7%,0%,0%,1.4%,,0%,,,,,Percentage of SEN pupils with an EHC plan
60,CENSUS_21,TSENELK,0,33,41,28,40,76,163,55,171,60,24,89,15,52,65,30,5,23,0,42,30,58,,0,52,125,3,76,24,247,0,1,4,41,41,6,0,0,0,1,,109,120,27,0,105,,0,,,,,Number of eligible pupils with SEN support
61,CENSUS_21,PSENELK,0%,16.4%,19.9%,8.3%,8.8%,18.7%,22.0%,10.8%,24.4%,14.0%,10.6%,14.3%,6.7%,13.9%,18.4%,13.6%,11.6%,10.9%,0%,23.7%,8.1%,14.2%,,0%,14.7%,26.5%,0.5%,18.1%,6.2%,20.2%,0%,11.1%,10.0%,4.2%,19.8%,66.7%,0%,,0%,25.0%,,16.7%,11.8%,25.5%,0%,9.1%,,0%,,,,,Percentage of eligible pupils with SEN support
62,CENSUS_21,NUMEAL,219,124,99,0,332,200,604,388,475,342,129,593,104,0,286,149,0,102,0,90,286,379,,0,296,380,0,164,0,1054,0,0,0,224,0,0,0,0,0,0,,416,922,0,0,856,,0,,,,,No.  pupils where English not first language
63,CENSUS_21,NUMENGFL,82,77,106,0,121,154,121,123,227,86,98,28,119,0,67,72,0,109,0,87,83,30,,0,58,92,0,223,0,170,0,0,0,760,0,0,0,0,0,0,,227,91,0,0,300,,0,,,,,No. pupils with English first language
64,CENSUS_21,NUMUNCFL,2,0,1,0,0,52,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,34,0,1,0,0,0,2,0,0,0,0,0,0,,11,0,0,0,0,,0,,,,,No. pupils where first language is unclassified
