No,Namespace,Variable,Grestone Academy - 139904,Blakesley Hall Primary School - 103300,Crocketts Community Primary School - 103941,St Peters CofE Primary School - 134476,Stechford Primary School - 103262,Corpus Christi Catholic Primary School - 103424,Galton Valley Primary School - 135288,Water Mill Primary School - 103326,St Bernard's Catholic Primary School - 103462,The Regis Academy - 148359,Dorrington Academy - 138218,Featherstone Primary School - 103318,Raddlebarn Primary School - 103246,Uplands Manor Primary School and Nursery - 131184,St Dunstan's Catholic Primary School - 103455,Hodge Hill Primary School - 143869,St Gregory's Catholic Primary School - 141924,Yarnfield Primary School - 139378,Yorkmead Junior and Infant School - 103284,Cherry Oak School - 103626,Wilson Stuart School - 138281,Birches Green Junior School - 103168,Birches Green Infant School - 103169,Birches Green Junior School - 148887,Our Lady of Fatima Catholic Primary School - 141484,Beaufort School - 103627,Yardley Primary School - 133996,Abbey Infant School - 103930,Saint Barnabas Church of England Primary School - 103412,Saint Barnabas Church of England Primary School - 147478,Abbey Junior School - 103929,St Margaret Mary RC Junior and Infant School - 103453,St Mary's Church of England Primary School - 103410,Tame Valley Academy - 139011,Colebourne Primary School - 103263,Riverside Education - 142338,Oscott Manor School - 103628,Hodge Hill College - 103503,St John Wall Catholic School - 103534,Selly Park  Girls' School - 103498,Braidwood School for the Deaf - 103611,Bishop Challoner Catholic College - 103560,Hodge Hill Girls' School - 103483,Baskerville School - 103606,Al-Burhan Grammar School - 134034,North Birmingham Academy - 136032,Sandwell Academy - 134993,King Edward VI Camp Hill School for Girls - 137044,King Edward VI Camp Hill School for Boys - 137045,Imedia School - 143040,National state-funded primary,National state-funded secondary and 16 to 18,Description
11,L,POSTCODE,B20 1ND,B33 8TH,B67 7DW,B17 0BE,B33 8SJ,B33 8BL,B66 1BA,B29 6TS,B13 9QE,B66 1RA,B42 1QR,B23 6PR,B29 7TD,B67 6HT,B14 7LP,B36 8LD,B67 5HX,B11 3PJ,B28 8BB,B29 6PB,B23 7AT,B24 9SR,B24 9SR,B24 9SR,B17 8TR,B34 6BJ,B26 1TD,B67 5LR,B24 9BY,B24 9BY,B67 5LT,B23 7AB,B29 6NU,B36 8QJ,B34 6BJ,B33 9BF,B23 6DE,B36 8HB,B21 8HH,B29 7PH,B36 8AF,B14 7EG,B36 8EY,B17 9TS,B11 3DW,B44 0HF,B71 4LG,B14 7QJ,B14 7QJ,B23 6UT,,,School postcode
12,L,SCHSTATUS,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Closed,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,,,School open / closed status
13,L,OPENDATE,,,,,,,,,,20-04-2021,,,,,,,,,,,,,,01-03-2022,,,,,,01-10-2019,,,,,,,,,,,,,,,,,,,,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,,,,,,,,,,,,,,,,,,,,,,28-02-2022,31-08-2022,,,,,,30-09-2019,,,,,,,,,,,,,,,,,,,,,,,,Date the school closed
15,L,MINORGROUP,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Independent school,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Academy,Academy,Academy,Maintained school,Special school,Special school,Maintained school,Maintained school,Academy,Academy,Special school,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Independent school,Special school,Maintained school,Maintained school,Maintained school,Special school,Maintained school,Maintained school,Special school,Independent school,Academy,Academy,Academy,Academy,Independent school,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Academy sponsor led,Community school,Community school,Voluntary aided school,Community school,Voluntary aided school,Community school,Community school,Voluntary aided school,Other independent school,Academy converter,Community school,Community school,Community school,Voluntary aided school,Academy converter,Academy converter,Academy sponsor led,Community school,Community special school,Academy special converter,Community school,Community school,Academy sponsor led,Academy converter,Community special school,Community school,Community school,Voluntary aided school,Academy converter,Community school,Voluntary aided school,Voluntary aided school,Academy sponsor led,Community school,Other independent school,Community special school,Community school,Voluntary aided school,Community school,Foundation special school,Voluntary aided school,Community school,Foundation special school,Other independent school,Academy sponsor led,Academy sponsor led,Academy converter,Academy converter,Other independent school,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,4,4,3,3,3,4,3,4,5,7,3,4,3,3,3,4,3,3,3,3,2,7,3,7,5,2,4,3,3,3,7,3,4,3,3,14,11,11,11,11,11,11,11,11,11,11,11,11,11,14,,,Lowest age of entry
21,L,AGEHIGH,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,11,7,11,11,11,11,7,11,11,11,11,11,11,11,19,19,16,16,16,19,18,16,19,16,19,18,18,18,16,,,Highest age of entry
22,L,GENDER,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Girls,Mixed,Mixed,Girls,Mixed,Girls,Mixed,Mixed,Girls,Boys,Mixed,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Does not apply,Does not apply,Does not apply,Church of England,Does not apply,Roman Catholic,Does not apply,Does not apply,Roman Catholic,None,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,Church of England,Church of England,Does not apply,Roman Catholic,Church of England,Does not apply,Does not apply,None,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,None,Does not apply,Does not apply,Christian,Christian,None,,,Religious character
24,L,ADMPOL,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Non-selective,Non-selective,Not applicable,Non-selective,Non-selective,Not applicable,Not applicable,Non-selective,Non-selective,Selective,Selective,Not applicable,,,Admissions Policy
25,L,OFSTEDRATING,Requires improvement,Good,Outstanding,Good,Good,Good,Good,Good,Good,,Outstanding,Good,Good,Requires improvement,Good,Requires improvement,Outstanding,Good,Good,Requires improvement,Outstanding,Inadequate,Good,,Outstanding,Outstanding,Good,Good,Good,Good,Good,Good,Good,Good,Good,,Good,Good,Good,Outstanding,Good,Good,Good,Good,,Good,Outstanding,Outstanding,Outstanding,,,,Ofsted rating
26,L,OFSTEDLASTINSP,06-02-2020,05-07-2018,18-09-2014,22-03-2018,17-07-2018,20-01-2022,12-02-2020,25-05-2022,10-01-2017,,07-11-2019,20-11-2019,17-07-2018,09-01-2020,09-01-2019,12-09-2019,06-03-2019,11-05-2022,12-10-2017,12-02-2020,20-03-2019,17-07-2019,03-07-2019,,05-07-2011,15-11-2016,25-04-2018,17-10-2017,22-05-2019,22-05-2019,12-12-2019,05-03-2020,28-02-2017,27-11-2018,02-05-2019,,25-04-2017,14-10-2021,04-04-2017,15-01-2009,17-10-2018,13-10-2021,16-03-2022,15-03-2017,,07-03-2018,17-01-2014,18-11-2021,29-04-2009,,,,Ofsted last inspection date
27,CENSUS_19,URN,139904,103300,103941,134476,103262,103424,135288,103326,103462,,138218,103318,103246,131184,103455,143869,141924,139378,103284,103626,138281,103168,103169,,141484,103627,133996,103930,103412,,103929,103453,103410,139011,103263,142338,103628,103503,103534,103498,103611,103560,103483,103606,134034,136032,134993,137044,137045,143040,,,School Unique Reference Number
28,CENSUS_19,LA,330,330,333,330,330,330,333,330,330,,330,330,330,333,330,330,333,330,330,330,330,330,330,,330,330,330,333,330,,333,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,333,330,330,330,,,LA number
29,CENSUS_19,ESTAB,2138,2254,2123,3428,2184,3320,3409,2306,3375,,2065,2294,2157,2180,3363,3430,3405,2122,2231,7051,7031,2024,2025,,3374,7052,3421,2102,3302,,2101,3361,3025,2098,2185,6019,7053,4201,4625,4177,7030,5413,4015,7016,6104,6909,6905,5406,5407,6030,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded special school,State-funded primary,State-funded primary,,State-funded primary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded special school,State-funded secondary,State-funded secondary,State-funded secondary,State-funded special school,State-funded secondary,State-funded secondary,State-funded special school,Independent school,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,Independent school,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,580,613,512,453,443,416,499,190,417,,649,413,422,948,416,784,257,662,455,112,236,230,220,,211,76,839,327,428,,358,369,418,235,429,60,115,1215,613,684,62,1213,750,131,126,1012,1280,1066,891,2,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,257,308,268,212,222,206,240,86,204,,304,206,217,469,210,405,133,347,218,27,99,107,114,,93,31,434,172,226,,166,193,198,119,199,17,22,362,232,684,24,547,750,17,126,521,611,1066,0,1,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,323,305,244,241,221,210,259,104,213,,345,207,205,479,206,379,124,315,237,85,137,123,106,,118,45,405,155,202,,192,176,220,116,230,43,93,853,381,0,38,666,0,114,0,491,669,0,891,1,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,44.3,50.2,52.3,46.8,50.1,49.5,48.1,45.3,48.9,,46.8,49.9,51.4,49.5,50.5,51.7,51.8,52.4,47.9,24.1,41.9,46.5,51.8,,44.1,40.8,51.7,52.6,52.8,,46.4,52.3,47.4,50.6,46.4,28.3,19.1,29.8,37.8,100,38.7,45.1,100,13,100,51.5,47.7,100,0,50,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,55.7,49.8,47.7,53.2,49.9,50.5,51.9,54.7,51.1,,53.2,50.1,48.6,50.5,49.5,48.3,48.2,47.6,52.1,75.9,58.1,53.5,48.2,,55.9,59.2,48.3,47.4,47.2,,53.6,47.7,52.6,49.4,53.6,71.7,80.9,70.2,62.2,0,61.3,54.9,0,87,0,48.5,52.3,0,100,50,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,3,6,17,7,4,3,16,3,3,,0,1,1,17,3,5,3,6,4,112,236,1,0,,5,76,2,4,3,,5,2,8,0,4,53,115,10,3,4,62,19,5,131,0,2,11,4,4,0,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,0.5,1,3.3,1.5,0.9,0.7,3.2,1.6,0.7,,0,0.2,0.2,1.8,0.7,0.6,1.2,0.9,0.9,100,100,0.4,0,,2.4,100,0.2,1.2,0.7,,1.4,0.5,1.9,0,0.9,88.3,100,0.8,0.5,0.6,100,1.6,0.7,100,0,0.2,0.9,0.4,0.4,0,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,76,88,99,74,27,61,59,27,34,,74,52,74,81,67,77,30,59,38,0,0,46,45,,17,0,126,13,48,,17,25,59,26,55,7,0,168,163,86,0,119,89,0,0,102,87,23,21,0,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,13.1,14.4,19.3,16.3,6.1,14.7,11.8,14.2,8.2,,11.4,12.6,17.5,8.5,16.1,9.8,11.7,8.9,8.4,0,0,20,20.5,,8.1,0,15,4,11.2,,4.7,6.8,14.1,11.1,12.8,11.7,0,13.8,26.6,12.6,0,9.8,11.9,0,0,10.1,6.8,2.2,2.4,0,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,364,301,312,133,230,102,411,96,238,,304,138,93,444,52,571,77,373,306,33,90,71,71,,34,33,243,72,83,,66,154,115,83,138,NA,4,491,402,528,32,139,428,15,NA,318,509,238,269,NA,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,211,312,200,320,209,312,88,94,179,,318,273,329,501,364,168,180,283,149,79,145,159,148,,177,42,553,254,345,,292,215,302,152,291,NA,111,666,211,152,30,1073,321,116,NA,683,770,825,621,NA,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,5,0,0,0,4,2,0,0,0,,27,2,0,3,0,45,0,6,0,0,1,0,1,,0,1,43,1,0,,0,0,1,0,0,NA,0,58,0,4,0,1,1,0,NA,11,1,3,1,NA,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,62.8,49.1,60.9,29.4,51.9,24.5,82.4,50.5,57.1,,46.8,33.4,22,46.8,12.5,72.8,30,56.3,67.3,29.5,38.1,30.9,32.3,,16.1,43.4,29,22,19.4,,18.4,41.7,27.5,35.3,32.2,NA,3.5,40.4,65.6,77.2,51.6,11.5,57.1,11.5,NA,31.4,39.8,22.3,30.2,NA,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,36.4,50.9,39.1,70.6,47.2,75,17.6,49.5,42.9,,49,66.1,78,52.8,87.5,21.4,70,42.7,32.7,70.5,61.4,69.1,67.3,,83.9,55.3,65.9,77.7,80.6,,81.6,58.3,72.2,64.7,67.8,NA,96.5,54.8,34.4,22.2,48.4,88.5,42.8,88.5,NA,67.5,60.2,77.4,69.7,NA,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,0.9,0,0,0,0.9,0.5,0,0,0,,4.2,0.5,0,0.3,0,5.7,0,0.9,0,0,0.4,0,0.5,,0,1.3,5.1,0.3,0,,0,0,0.2,0,0,NA,0,4.8,0,0.6,0,0.1,0.1,0,NA,1.1,0.1,0.3,0.1,NA,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,157,199,85,69,97,129,97,52,68,,143,114,69,235,99,129,21,208,88,41,96,95,100,,20,32,201,35,89,,54,105,71,120,72,NA,48,322,201,239,33,191,151,56,NA,524,144,98,71,NA,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,279,272,129,88,135,187,141,70,101,,212,162,90,325,112,212,38,275,143,59,99,130,86,,41,35,264,43,121,,79,136,99,140,113,NA,42,607,336,370,34,284,337,46,NA,596,247,132,103,NA,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,51.6,44.4,29.2,21.1,32.1,45,31.3,36.8,24.2,,35,39.2,23.4,38.1,28.2,27,15.8,45.2,34.5,52.7,57.9,56.5,49.4,,19.4,46.7,31.5,16.3,31,,22.1,39.8,23.7,67.3,26.3,NA,57.5,50,54.8,54.1,65.4,28.8,44.9,53.5,NA,67.6,25.6,17.7,17.3,NA,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,139904,103300,103941,134476,103262,103424,135288,103326,103462,,138218,103318,103246,131184,103455,143869,141924,139378,103284,103626,138281,103168,103169,,141484,103627,133996,103930,,147478,103929,103453,103410,139011,103263,142338,103628,103503,103534,103498,103611,103560,103483,103606,134034,136032,134993,137044,137045,143040,,,School Unique Reference Number
50,CENSUS_21,LA,330,330,333,330,330,330,333,330,330,,330,330,330,333,330,330,333,330,330,330,330,330,330,,330,330,330,333,,330,333,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,333,330,330,330,,,LA number
51,CENSUS_21,ESTAB,2138,2254,2123,3428,2184,3320,3409,2306,3375,,2065,2294,2157,2180,3363,3430,3405,2122,2231,7051,7031,2024,2025,,3374,7052,3421,2102,,3302,2101,3361,3025,2098,2185,6019,7053,4201,4625,4177,7030,5413,4015,7016,6104,6909,6905,5406,5407,6030,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded special school,State-funded special school,State-funded primary,State-funded primary,,State-funded primary,State-funded special school,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded special school,State-funded secondary,State-funded secondary,State-funded secondary,State-funded special school,State-funded secondary,State-funded secondary,State-funded special school,Independent school,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,Independent school,,,Type of school
53,CENSUS_21,NOR,457,565,480,447,427,413,511,177,409,,639,406,392,916,395,750,265,631,450,110,233,223,194,,213,78,832,297,,446,360,395,415,225,463,99,108,1196,619,731,72,1242,748,160,152,1162,1336,1102,960,7,,,Total number of pupils on roll
54,CENSUS_21,NORG,204,286,245,215,210,213,243,69,196,,306,195,219,428,206,366,145,328,220,31,108,117,100,,113,29,425,149,,223,170,209,203,113,207,27,19,359,253,731,26,547,748,20,152,557,633,1101,0,4,,,Number of girls on roll
55,CENSUS_21,NORB,253,279,235,232,217,200,268,108,213,,333,211,173,488,189,384,120,303,230,79,125,106,94,,100,49,407,148,,223,190,186,212,112,256,72,89,837,366,0,46,695,0,140,0,605,703,1,960,3,,,Number of boys on roll
56,CENSUS_21,PNORG,44.6%,50.6%,51.0%,48.1%,49.2%,51.6%,47.6%,39.0%,47.9%,,47.9%,48.0%,55.9%,46.7%,52.2%,48.8%,54.7%,52.0%,48.9%,28.2%,46.4%,52.5%,51.5%,,53.1%,37.2%,51.1%,50.2%,,50.0%,47.2%,52.9%,48.9%,50.2%,44.7%,27.3%,17.6%,30.0%,40.9%,100%,36.1%,44.0%,100%,12.5%,100%,47.9%,47.4%,99.9%,0%,57.1%,,,Percentage of girls on roll
57,CENSUS_21,PNORB,55.4%,49.4%,49.0%,51.9%,50.8%,48.4%,52.4%,61.0%,52.1%,,52.1%,52.0%,44.1%,53.3%,47.8%,51.2%,45.3%,48.0%,51.1%,71.8%,53.6%,47.5%,48.5%,,46.9%,62.8%,48.9%,49.8%,,50.0%,52.8%,47.1%,51.1%,49.8%,55.3%,72.7%,82.4%,70.0%,59.1%,0%,63.9%,56.0%,0%,87.5%,0%,52.1%,52.6%,0.1%,100%,42.9%,,,Percentage of boys on roll
58,CENSUS_21,TSENELSE,4,7,20,6,3,1,16,4,2,,0,3,0,18,3,3,5,5,2,110,233,1,0,,4,78,6,0,,1,6,0,4,1,2,80,108,9,1,3,72,23,7,160,0,8,21,4,5,1,,,Number of SEN pupils with an EHC plan
59,CENSUS_21,PSENELSE,0.9%,1.2%,4.2%,1.3%,0.7%,0.2%,3.1%,2.3%,0.5%,,0%,0.7%,0%,2.0%,0.8%,0.4%,1.9%,0.8%,0.4%,100%,100%,0.4%,0%,,1.9%,100%,0.7%,0%,,0.2%,1.7%,0%,1.0%,0.4%,0.4%,80.8%,100%,0.8%,0.2%,0.4%,100%,1.9%,0.9%,100%,0%,0.7%,1.6%,0.4%,0.5%,14.3%,,,Percentage of SEN pupils with an EHC plan
60,CENSUS_21,TSENELK,58,118,108,64,30,76,58,32,31,,85,53,71,94,54,93,27,61,39,0,0,49,38,,15,0,138,9,,48,27,31,46,34,62,10,0,153,147,101,0,155,101,0,0,239,88,20,19,0,,,Number of eligible pupils with SEN support
