No,Namespace,Variable,Hall Green Infant School - 103210,Firs Primary School - 143089,Warren Farm Primary School - 138303,Woodhouse Primary Academy - 139637,Stirchley Primary School - 143433,Lightwoods Primary School - 103947,Hall Green Junior School - 103209,Paganel Primary School - 134281,Billesley Primary School - 138888,Paget Primary School - 103240,Lightwoods Primary Academy - 148333,Audley Primary School - 143437,St Wilfrid's Catholic Junior and Infant School - 103451,St Wilfrid's Catholic Junior and Infant School - 148083,The Oaklands Primary School - 139183,Christ The King Catholic Primary School - 103423,Calshot Primary School - 103391,Hamstead Junior School - 103895,Kingsthorne Primary School - 103368,Ferndale Primary School - 103982,Hamstead Infant School - 103896,Heathlands Primary Academy - 140890,Barr View Primary & Nursery Academy - 138694,Our Lady and St Rose of Lima Catholic Primary School - 103443,Jervoise School - 142353,Allens Croft Primary School - 103243,Woodthorpe Junior and Infant School - 103334,Lyndon Green Junior School - 103228,Yenton Primary School - 133729,Yenton Primary School - 146722,World's End Infant and Nursery School - 103337,World's End Junior School - 103279,Holy Trinity CofE Primary School - 103986,Our Lady of Lourdes Catholic Primary School - 103430,Lyndon Green Infant School - 103229,Lakey Lane Junior and Infant School - 103223,Gunter Primary School - 103208,Moat Farm Junior School - 103948,Moat Farm Infant School - 103949,Bleakhouse Primary School - 103934,George Betts Primary Academy - 139565,Holly Lodge High School College of Science - 104018,Kings Heath Boys - 103486,St Edmund Campion Catholic School & Sixth Form Centre - 103537,St Edmund Campion Catholic School - 147707,Bristnall Hall Academy - 139043,Dame Elizabeth Cadbury School - 143438,Fortis Academy - 143435,Cockshut Hill School - 142388,TLG North Birmingham - 135608,National state-funded primary,National state-funded secondary and 16 to 18,Description
11,L,POSTCODE,B28 0AR,B36 8LL,B44 0DT,B32 2DL,B30 2JL,B68 9BG,B28 9AJ,B29 5TG,B13 0ES,B24 0JP,B68 9BG,B33 9HY,B36 8LY,B36 8LY,B27 7BT,B44 0QN,B42 2BY,B43 5BE,B44 0BX,B43 5QF,B43 5AS,B34 6NB,B44 8NT,B29 5DY,B29 5QU,B14 6RP,B14 6ET,B26 1LU,B24 0ED,B24 0ED,B32 2SA,B32 2SA,B70 6NF,B13 0EU,B26 1LZ,B28 8RY,B24 0RU,B68 9QR,B68 9QR,B68 9DS,B66 1RE,B67 7JG,B13 0QP,B23 5XA,B23 5XA,B68 9PA,B30 1UL,B44 8NU,B26 2HX,B44 9SH,,,School postcode
12,L,SCHSTATUS,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,"Open, but proposed to close",Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,,,School open / closed status
13,L,OPENDATE,,,,,,,,,,,01-06-2021,,,01-04-2021,,,,,,,,,,,,,,,,01-09-2019,,,,,,,,,,,,,,,01-02-2020,,,,,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,,,,,,31-05-2021,,,,,,,31-03-2021,,,,,,,,,,,,,,,,31-08-2019,,,,,,,,,31-10-2022,,,,,,31-01-2020,,,,,,,,,Date the school closed
15,L,MINORGROUP,Maintained school,Academy,Academy,Academy,Academy,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Academy,Academy,Maintained school,Academy,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Academy,Academy,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Academy,Academy,Academy,Academy,Academy,Independent school,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Community school,Academy converter,Academy converter,Academy sponsor led,Academy converter,Community school,Community school,Community school,Academy sponsor led,Community school,Academy sponsor led,Academy converter,Voluntary aided school,Academy converter,Academy converter,Voluntary aided school,Community school,Community school,Community school,Community school,Community school,Academy converter,Academy converter,Voluntary aided school,Academy converter,Community school,Community school,Community school,Community school,Academy converter,Community school,Community school,Voluntary controlled school,Voluntary aided school,Community school,Community school,Community school,Foundation school,Community school,Community school,Academy sponsor led,Foundation school,Community school,Voluntary aided school,Academy converter,Academy converter,Academy converter,Academy converter,Academy sponsor led,Other independent school,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,3,3,3,3,3,4,7,3,3,3,4,3,3,3,3,3,3,7,3,3,3,3,3,3,3,4,4,7,4,4,3,7,5,3,5,3,4,7,2,4,3,11,11,11,11,11,11,11,11,11,,,Lowest age of entry
21,L,AGEHIGH,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,11,11,11,11,11,11,11,11,11,7,11,11,11,7,11,11,11,7,11,11,18,16,18,18,18,19,18,18,16,,,Highest age of entry
22,L,GENDER,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Boys,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,None,Does not apply,Does not apply,Does not apply,Roman Catholic,Roman Catholic,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Church of England,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,None,Does not apply,Roman Catholic,Roman Catholic,None,None,None,Does not apply,None,,,Religious character
24,L,ADMPOL,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,Not applicable,,,Admissions Policy
25,L,OFSTEDRATING,Good,Requires improvement,Requires improvement,Good,Good,Inadequate,Good,Good,Outstanding,Requires improvement,,Requires improvement,Good,Good,Good,Outstanding,Good,Good,Good,Requires improvement,Good,Requires improvement,Good,Good,Good,Good,Outstanding,Requires improvement,Good,Good,Good,Good,Good,Outstanding,Good,Good,Requires improvement,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Requires improvement,Requires improvement,,,,Ofsted rating
26,L,OFSTEDLASTINSP,23-11-2017,02-10-2019,12-09-2019,04-12-2019,15-01-2020,27-02-2020,04-11-2021,11-03-2020,15-05-2019,20-11-2019,,20-06-2019,19-12-2018,19-12-2018,08-11-2018,08-10-2014,22-03-2017,16-09-2021,09-03-2017,15-11-2018,16-01-2019,26-09-2019,16-01-2018,09-10-2019,11-09-2018,11-01-2019,02-02-2012,11-09-2019,07-03-2018,07-03-2018,10-05-2017,27-06-2017,07-06-2017,12-09-2014,06-11-2018,15-11-2018,11-05-2022,03-05-2017,06-02-2019,03-02-2017,06-06-2019,03-03-2022,02-02-2022,11-01-2018,11-01-2018,04-11-2021,25-09-2019,27-11-2019,10-07-2019,,,,Ofsted last inspection date
27,CENSUS_19,URN,103210,143089,138303,139637,143433,103947,103209,134281,138888,103240,,143437,103451,,139183,103423,103391,103895,103368,103982,103896,140890,138694,103443,142353,103243,103334,103228,133729,,103337,103279,103986,103430,103229,103223,103208,103948,103949,103934,139565,104018,103486,103537,,139043,143438,143435,142388,135608,,,School Unique Reference Number
28,CENSUS_19,LA,330,330,330,330,330,333,330,330,330,330,,330,330,,330,330,330,333,330,333,333,330,330,330,330,330,330,330,330,,330,330,333,330,330,330,330,333,333,333,333,333,330,330,,333,330,330,330,330,,,LA number
29,CENSUS_19,ESTAB,2093,2475,2068,2136,2188,2133,2092,2021,2072,2149,,3412,3359,,2064,3319,2465,2015,2441,2177,2016,2455,2450,3351,2111,2153,2314,2128,2485,,2317,2225,3002,3328,2129,2119,2091,2134,2135,2108,2004,4138,4063,4663,,4129,4129,5403,4022,6129,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded secondary,State-funded secondary,,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,Independent school,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,411,410,338,453,226,303,480,417,644,426,,889,423,,440,400,470,235,429,606,211,454,459,230,226,374,212,369,520,,343,365,481,235,278,444,228,485,419,239,453,1482,595,1008,,938,712,1740,1064,8,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,229,215,160,214,115,160,227,209,310,203,,437,201,,217,206,238,115,213,297,116,230,229,117,107,184,111,185,241,,181,200,235,125,122,211,90,227,199,117,207,676,0,471,,454,318,828,500,3,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,182,195,178,239,111,143,253,208,334,223,,452,222,,223,194,232,120,216,309,95,224,230,113,119,190,101,184,279,,162,165,246,110,156,233,138,258,220,122,246,806,595,537,,484,394,912,564,5,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,55.7,52.4,47.3,47.2,50.9,52.8,47.3,50.1,48.1,47.7,,49.2,47.5,,49.3,51.5,50.6,48.9,49.7,49,55,50.7,49.9,50.9,47.3,49.2,52.4,50.1,46.3,,52.8,54.8,48.9,53.2,43.9,47.5,39.5,46.8,47.5,49,45.7,45.6,0,46.7,,48.4,44.7,47.6,47,37.5,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,44.3,47.6,52.7,52.8,49.1,47.2,52.7,49.9,51.9,52.3,,50.8,52.5,,50.7,48.5,49.4,51.1,50.3,51,45,49.3,50.1,49.1,52.7,50.8,47.6,49.9,53.7,,47.2,45.2,51.1,46.8,56.1,52.5,60.5,53.2,52.5,51,54.3,54.4,100,53.3,,51.6,55.3,52.4,53,62.5,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,5,4,2,19,1,4,3,5,16,12,,10,1,,3,5,1,2,0,26,2,1,12,0,3,22,6,15,4,,8,5,5,5,13,1,3,6,9,5,4,12,5,7,,76,9,11,5,1,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,1.2,1,0.6,4.2,0.4,1.3,0.6,1.2,2.5,2.8,,1.1,0.2,,0.7,1.3,0.2,0.9,0,4.3,0.9,0.2,2.6,0,1.3,5.9,2.8,4.1,0.8,,2.3,1.4,1,2.1,4.7,0.2,1.3,1.2,2.1,2.1,0.9,0.8,0.8,0.7,,8.1,1.3,0.6,0.5,12.5,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,48,56,80,58,40,20,48,59,136,116,,156,63,,57,83,44,25,56,38,11,41,55,23,68,87,26,73,89,,12,49,39,25,30,86,40,51,16,22,47,149,62,121,,81,181,162,156,3,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,11.7,13.7,23.7,12.8,17.7,6.6,10,14.1,21.1,27.2,,17.5,14.9,,13,20.8,9.4,10.6,13.1,6.3,5.2,9,12,10,30.1,23.3,12.3,19.8,17.1,,3.5,13.4,8.1,10.6,10.8,19.4,17.5,10.5,3.8,9.2,10.4,10.1,10.4,12,,8.6,25.4,9.3,14.7,37.5,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,247,200,56,153,65,24,149,134,301,119,,282,181,,156,73,132,82,92,140,65,161,110,71,29,96,50,65,122,,89,89,354,16,33,212,40,105,74,37,275,868,396,221,,266,105,592,377,NA,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,163,208,282,299,161,279,331,282,343,307,,607,241,,284,327,337,153,337,466,146,293,347,159,197,278,162,304,396,,239,274,127,219,245,232,187,380,345,202,178,610,197,782,,669,607,1124,620,NA,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,1,2,0,1,0,0,0,1,0,0,,0,1,,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,,15,2,0,0,0,0,1,0,0,0,0,4,2,5,,3,0,24,67,NA,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,60.1,48.8,16.6,33.8,28.8,7.9,31,32.1,46.7,27.9,,31.7,42.8,,35.5,18.3,28.1,34.9,21.4,23.1,30.8,35.5,24,30.9,12.8,25.7,23.6,17.6,23.5,,25.9,24.4,73.6,6.8,11.9,47.7,17.5,21.6,17.7,15.5,60.7,58.6,66.6,21.9,,28.4,14.7,34,35.4,NA,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,39.7,50.7,83.4,66,71.2,92.1,69,67.6,53.3,72.1,,68.3,57,,64.5,81.8,71.7,65.1,78.6,76.9,69.2,64.5,75.6,69.1,87.2,74.3,76.4,82.4,76.2,,69.7,75.1,26.4,93.2,88.1,52.3,82,78.4,82.3,84.5,39.3,41.2,33.1,77.6,,71.3,85.3,64.6,58.3,NA,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,0.2,0.5,0,0.2,0,0,0,0.2,0,0,,0,0.2,,0,0,0.2,0,0,0,0,0,0.4,0,0,0,0,0,0.4,,4.4,0.5,0,0,0,0,0.4,0,0,0,0,0.3,0.3,0.5,,0.3,0,1.4,6.3,NA,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,59,232,95,129,48,13,59,160,207,163,,330,134,,151,150,67,54,246,66,25,149,75,51,107,148,25,60,211,,115,111,111,41,54,105,84,90,61,37,91,315,167,275,,223,210,467,355,NA,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,59,232,141,176,66,24,95,207,289,174,,407,176,,211,178,81,92,254,108,36,195,140,79,117,226,40,122,262,,96,177,156,54,56,148,90,150,77,76,139,561,347,429,,385,333,800,596,NA,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,16.4,59,45.5,41,32,7.9,19.8,52.4,47.8,43.5,,49.1,44.4,,51.1,47.7,19.3,39.1,63.5,19.5,21.6,46.8,33.6,38.5,56.3,60.4,18.9,33.1,50.4,,35.8,48.5,37,25.7,20.1,36.5,43.5,30.9,21.5,31.8,33.7,41.5,58.3,48.4,,41,49.1,51.2,56,NA,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,103210,143089,138303,139637,143433,103947,103209,134281,138888,103240,,143437,103451,,139183,103423,103391,103895,103368,103982,103896,140890,138694,103443,142353,103243,103334,103228,,146722,103337,103279,103986,103430,103229,103223,103208,103948,103949,103934,139565,104018,103486,,147707,139043,143438,143435,142388,135608,,,School Unique Reference Number
50,CENSUS_21,LA,330,330,330,330,330,333,330,330,330,330,,330,330,,330,330,330,333,330,333,333,330,330,330,330,330,330,330,,330,330,330,333,330,330,330,330,333,333,333,333,333,330,,330,333,330,330,330,330,,,LA number
51,CENSUS_21,ESTAB,2093,2475,2068,2136,2188,2133,2092,2021,2072,2149,,3412,3359,,2064,3319,2465,2015,2441,2177,2016,2455,2450,3351,2111,2153,2314,2128,,2485,2317,2225,3002,3328,2129,2119,2091,2134,2135,2108,2004,4138,4063,,4663,4129,4129,5403,4022,6129,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded secondary,,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,Independent school,,,Type of school
53,CENSUS_21,NOR,408,347,324,462,215,355,481,366,676,393,,876,389,,408,403,454,235,375,625,209,444,449,226,208,361,206,369,,591,328,360,462,222,277,446,200,482,408,438,427,1536,658,,1052,971,819,1606,977,8,,,Total number of pupils on roll
54,CENSUS_21,NORG,218,175,162,206,113,194,256,190,329,178,,426,183,,216,209,228,124,182,302,116,229,216,120,97,172,99,160,,283,166,198,231,115,123,202,84,219,207,217,198,720,0,,527,463,355,775,474,3,,,Number of girls on roll
55,CENSUS_21,NORB,190,172,162,256,102,161,225,176,347,215,,450,206,,192,194,226,111,193,323,93,215,233,106,111,189,107,209,,308,162,162,231,107,154,244,116,263,201,221,229,816,658,,525,508,464,831,503,5,,,Number of boys on roll
56,CENSUS_21,PNORG,53.4%,50.4%,50.0%,44.6%,52.6%,54.6%,53.2%,51.9%,48.7%,45.3%,,48.6%,47.0%,,52.9%,51.9%,50.2%,52.8%,48.5%,48.3%,55.5%,51.6%,48.1%,53.1%,46.6%,47.6%,48.1%,43.4%,,47.9%,50.6%,55.0%,50.0%,51.8%,44.4%,45.3%,42.0%,45.4%,50.7%,49.5%,46.4%,46.9%,0%,,50.1%,47.7%,43.3%,48.3%,48.5%,37.5%,,,Percentage of girls on roll
57,CENSUS_21,PNORB,46.6%,49.6%,50.0%,55.4%,47.4%,45.4%,46.8%,48.1%,51.3%,54.7%,,51.4%,53.0%,,47.1%,48.1%,49.8%,47.2%,51.5%,51.7%,44.5%,48.4%,51.9%,46.9%,53.4%,52.4%,51.9%,56.6%,,52.1%,49.4%,45.0%,50.0%,48.2%,55.6%,54.7%,58.0%,54.6%,49.3%,50.5%,53.6%,53.1%,100%,,49.9%,52.3%,56.7%,51.7%,51.5%,62.5%,,,Percentage of boys on roll
58,CENSUS_21,TSENELSE,1,1,1,23,3,4,8,2,17,17,,7,5,,3,3,1,4,2,25,3,1,11,1,3,25,1,18,,0,6,9,5,2,13,4,1,13,8,10,8,15,5,,5,82,8,6,5,4,,,Number of SEN pupils with an EHC plan
