No,Namespace,Variable,Forestdale Primary School - 133759,Bishop Wilson Church of England Primary School - 104105,Whitehall Junior Community School - 104162,Albert Bradbeer Primary Academy - 140889,Solihull School - 104124,Whitehouse Common Primary School - 132007,St John's Church of England Primary Academy - 140856,Great Bridge Primary School - 103915,Newfield Park Primary School - 103815,Temple Meadow Primary School - 103957,St Alphege Church of England Infant and Nursery School - 104090,Halesowen CofE Primary School - 103847,Windy Arbor Primary School - 104071,Whitehall Nursery and Infant School - 104163,Tividale Hall Primary School - 103960,Burnt Tree Primary School - 103914,Cofton Primary School - 103315,Palfrey Girls School - 104267,St Mary's The Mount Catholic Primary School - 104232,St Alphege Church of England Junior School - 104092,Tidbury Green School - 104065,St Martin's CofE Primary School - 103987,Our Lady and St Kenelm RC School - 103850,Old Hill Primary School - 103952,Coppice Primary School - 103390,St Columba's Catholic Primary School - 141669,Mayfield Preparatory School - 104265,Langley School - 103630,Saint Martin's School - 104123,Palfrey Junior School - 104160,St Mary's Catholic Primary School - 103993,St Mary's Catholic Primary School - 147795,Wood Green Junior School - 103913,Palfrey Infant School - 104161,New Hall Primary School - 103395,Caldmore Primary Academy - 143904,Reddal Hill Primary School - 103954,The Earls High School - 137812,Dudley Port School - 147736,Ormiston Forge Academy - 137673,Abu Bakr Boys School - 135483,Queen Mary's Grammar School - 136773,Wood Green Academy - 136616,Windsor High School and Sixth Form - 136618,Stuart Bathurst Catholic High School - 147881,Impact Independent School - 141560,Stuart Bathurst Catholic High School - 104020,The ACE Academy - 139328,Q3 Academy Tipton - 146383,Solihull Sixth Form College - 144887,National state-funded primary,National state-funded secondary and 16 to 18,Description
11,L,POSTCODE,B45 0JS,B37 7TR,WS1 3JY,B31 4RD,B91 3DJ,B75 6BL,WS10 9AR,DY4 7DE,B63 3TP,B64 6RH,B91 3DW,B63 3BB,B37 6RN,WS1 3HS,B69 1TR,B69 2LN,B31 4ST,WS1 4AB,WS1 3AY,B91 3JG,B90 1QW,DY4 7PG,B63 4AR,B64 6DR,B75 6TJ,B45 8TD,WS1 2PD,B75 6TJ,B91 3EN,WS1 4AH,WS10 9PN,WS10 9PN,WS10 9BW,WS1 4HY,B75 7NQ,WS1 3RH,B64 6HT,B63 3SL,DY4 7QR,B64 6QU,WS1 4AB,WS1 2PG,WS10 9QU,B63 4BB,WS10 9QS,B64 6JA,WS10 9QS,DY4 7NR,DY4 7NR,B91 3WR,,,School postcode
12,L,SCHSTATUS,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Closed,Open,Open,,,School open / closed status
13,L,OPENDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-04-2020,,,,,,,06-08-2020,,,,,,01-04-2020,,,,01-11-2018,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,,,,,,,,,,,,,,,,,,07-12-2018,,,,,,,,,,,30-07-2020,,31-03-2020,,,,,,,,,,,,,,,,31-03-2020,31-10-2018,,,,,Date the school closed
15,L,MINORGROUP,Maintained school,Maintained school,Maintained school,Academy,Independent school,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Independent school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Academy,Independent school,Special school,Independent school,Maintained school,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Academy,Special school,Academy,Independent school,Academy,Academy,Academy,Academy,Independent school,Maintained school,Academy,Academy,Academy,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Community school,Voluntary aided school,Community school,Academy converter,Other independent school,Foundation school,Academy sponsor led,Community school,Community school,Foundation school,Voluntary aided school,Voluntary aided school,Community school,Community school,Community school,Community school,Foundation school,Other independent school,Voluntary aided school,Voluntary aided school,Community school,Voluntary controlled school,Voluntary aided school,Foundation school,Foundation school,Academy sponsor led,Other independent school,Foundation special school,Other independent school,Community school,Voluntary aided school,Academy converter,Foundation school,Community school,Community school,Academy converter,Community school,Academy converter,Other independent special school,Academy sponsor led,Other independent school,Academy converter,Academy converter,Academy converter,Academy sponsor led,Other independent school,Voluntary aided school,Academy sponsor led,Academy sponsor led,Academy 16-19 converter,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,3,3,7,3,3,3,4,3,4,3,3,3,3,3,3,3,4,4,3,7,2,3,4,3,5,4,2,3,3,7,3,3,7,3,4,3,3,11,11,11,11,11,11,11,11,11,11,11,11,16,,,Lowest age of entry
21,L,AGEHIGH,11,11,11,11,18,11,11,11,11,11,7,11,11,7,11,11,11,16,11,11,11,11,11,11,11,11,11,11,19,11,11,11,11,7,11,11,11,16,16,18,16,18,18,18,18,16,18,18,16,19,,,Highest age of entry
22,L,GENDER,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Girls,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Boys,Boys,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Does not apply,Church of England,Does not apply,Does not apply,Church of England,Does not apply,Church of England,Does not apply,Does not apply,Does not apply,Church of England,Church of England,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,None,Roman Catholic,Church of England,Does not apply,Church of England,Roman Catholic,Does not apply,Does not apply,Roman Catholic,None,Does not apply,None,Does not apply,Roman Catholic,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,None,None,None,None,None,None,None,Roman Catholic,None,Roman Catholic,None,,Does not apply,,,Religious character
24,L,ADMPOL,Not applicable,Not applicable,Not applicable,Not applicable,Selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Non-selective,Non-selective,Selective,Non-selective,Non-selective,Non-selective,Not applicable,Non-selective,Non-selective,,Not applicable,,,Admissions Policy
25,L,OFSTEDRATING,Requires improvement,Good,Requires improvement,Good,,Good,Good,Good,Good,Good,Outstanding,Good,Good,Outstanding,Good,Good,Good,,Outstanding,Good,Good,Good,Good,Good,Good,Good,,Good,,Good,Good,Good,Good,Outstanding,Good,Good,Good,Good,,Good,,Outstanding,Good,Good,,,Inadequate,Inadequate,,Good,,,Ofsted rating
26,L,OFSTEDLASTINSP,16-01-2019,05-06-2019,14-03-2018,10-10-2019,,15-12-2017,28-09-2017,04-12-2018,09-12-2021,24-01-2018,20-05-2009,14-03-2017,28-02-2018,17-12-2014,05-02-2020,30-01-2019,16-01-2020,,11-10-2013,27-06-2017,01-11-2017,18-07-2017,03-11-2021,06-04-2022,04-04-2019,14-03-2018,,09-05-2019,,13-01-2022,23-05-2019,23-05-2019,25-11-2021,06-03-2009,03-10-2017,16-10-2019,11-05-2022,16-01-2020,,23-10-2019,,20-11-2008,27-02-2020,05-05-2022,,,19-09-2018,18-01-2017,,14-02-2020,,,Ofsted last inspection date
27,CENSUS_19,URN,133759,104105,104162,140889,104124,132007,140856,103915,103815,103957,104090,103847,104071,104163,103960,103914,103315,,104232,104092,104065,103987,103850,103952,103390,141669,104265,103630,104123,104160,103993,,103913,104161,103395,143904,103954,137812,,137673,135483,136773,136616,136618,,,104020,,146383,144887,,,School Unique Reference Number
28,CENSUS_19,LA,330,334,335,330,334,330,333,333,332,333,334,332,334,335,333,333,330,,335,334,334,333,332,333,330,330,335,330,334,335,333,,333,335,330,335,333,332,,333,335,335,333,332,,,333,,333,334,,,LA number
29,CENSUS_19,ESTAB,2486,3512,2031,3433,6003,2478,2006,2056,2138,2148,3302,3352,2066,2032,2151,2054,2289,,3302,3305,2058,3003,3357,2138,2464,2154,6000,7060,6002,2028,3305,,2051,2030,2469,2123,2141,4106,,4000,6013,5404,4024,5404,,,4600,,4006,8600,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded special school,Independent school,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,,State-funded secondary,Independent school,State-funded secondary,State-funded secondary,State-funded secondary,,,State-funded secondary,,State-funded secondary,State-funded secondary,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,231,459,356,449,1080,485,211,495,470,409,286,220,445,318,460,409,356,,234,278,319,250,212,246,419,202,208,119,409,361,245,,267,359,369,451,419,1197,,1497,190,1088,1482,1699,,,880,,1382,NA,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,103,212,154,227,487,223,117,228,222,209,140,121,205,151,222,196,167,,112,137,153,114,101,116,192,97,100,33,409,173,118,,129,176,203,241,207,641,,728,0,141,708,834,,,432,,663,NA,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,128,247,202,222,593,262,94,267,248,200,146,99,240,167,238,213,189,,122,141,166,136,111,130,227,105,108,86,0,188,127,,138,183,166,210,212,556,,769,190,947,774,865,,,448,,719,NA,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,44.6,46.2,43.3,50.6,45.1,46,55.5,46.1,47.2,51.1,49,55,46.1,47.5,48.3,47.9,46.9,,47.9,49.3,48,45.6,47.6,47.2,45.8,48,48.1,27.7,100,47.9,48.2,,48.3,49,55,53.4,49.4,53.6,,48.6,0,13,47.8,49.1,,,49.1,,48,NA,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,55.4,53.8,56.7,49.4,54.9,54,44.5,53.9,52.8,48.9,51,45,53.9,52.5,51.7,52.1,53.1,,52.1,50.7,52,54.4,52.4,52.8,54.2,52,51.9,72.3,0,52.1,51.8,,51.7,51,45,46.6,50.6,46.4,,51.4,100,87,52.2,50.9,,,50.9,,52,NA,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,1,3,10,2,2,1,0,18,3,4,2,1,9,9,6,7,4,,3,3,2,8,1,1,1,1,1,119,0,1,5,,3,7,1,5,6,9,,26,0,0,27,10,,,12,,9,NA,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,0.4,0.7,2.8,0.4,0.2,0.2,0,3.6,0.6,1,0.7,0.5,2,2.8,1.3,1.7,1.1,,1.3,1.1,0.6,3.2,0.5,0.4,0.2,0.5,0.5,100,0,0.3,2,,1.1,1.9,0.3,1.1,1.4,0.8,,1.7,0,0,1.8,0.6,,,1.4,,0.7,NA,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,40,102,27,80,95,32,22,86,57,58,17,73,113,13,49,37,73,,15,33,54,39,21,17,31,31,15,0,64,77,21,,42,24,57,25,57,116,,253,0,47,170,75,,,85,,196,NA,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,17.3,22.2,7.6,17.8,8.8,6.6,10.4,17.4,12.1,14.2,5.9,33.2,25.4,4.1,10.7,9,20.5,,6.4,11.9,16.9,15.6,9.9,6.9,7.4,15.3,7.2,0,15.6,21.3,8.6,,15.7,6.7,15.4,5.5,13.6,9.7,,16.9,0,4.3,11.5,4.4,,,9.7,,14.2,NA,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,28,12,255,51,NA,56,93,207,16,69,56,71,15,219,51,189,26,,61,42,14,116,20,42,27,26,NA,30,NA,347,58,,42,312,76,396,146,58,,155,NA,494,481,249,,,155,,404,NA,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,203,447,98,398,NA,429,118,288,454,339,230,149,430,98,409,220,330,,173,236,305,134,191,204,392,176,NA,89,NA,14,187,,225,47,293,55,273,1139,,1339,NA,591,998,1450,,,725,,978,NA,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,0,0,3,0,NA,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,NA,0,NA,0,0,,0,0,0,0,0,0,,3,NA,3,3,0,,,0,,0,NA,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,12.1,2.6,71.6,11.4,NA,11.5,44.1,41.8,3.4,16.9,19.6,32.3,3.4,68.9,11.1,46.2,7.3,,26.1,15.1,4.4,46.4,9.4,17.1,6.4,12.9,NA,25.2,NA,96.1,23.7,,15.7,86.9,20.6,87.8,34.8,4.8,,10.4,NA,45.4,32.5,14.7,,,17.6,,29.2,NA,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,87.9,97.4,27.5,88.6,NA,88.5,55.9,58.2,96.6,82.9,80.4,67.7,96.6,30.8,88.9,53.8,92.7,,73.9,84.9,95.6,53.6,90.1,82.9,93.6,87.1,NA,74.8,NA,3.9,76.3,,84.3,13.1,79.4,12.2,65.2,95.2,,89.4,NA,54.3,67.3,85.3,,,82.4,,70.8,NA,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,0,0,0.8,0,NA,0,0,0,0,0.2,0,0,0,0.3,0,0,0,,0,0,0,0,0.5,0,0,0,NA,0,NA,0,0,,0,0,0,0,0,0,,0.2,NA,0.3,0.2,0,,,0,,0,NA,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,95,169,97,224,NA,13,51,98,32,111,9,85,158,74,65,97,79,,28,9,34,30,15,67,23,82,NA,37,NA,77,28,,63,85,129,115,102,118,,345,NA,56,239,280,,,156,,378,NA,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,128,187,158,242,NA,27,72,144,47,146,10,114,203,72,96,138,86,,33,20,58,48,27,90,29,111,NA,51,NA,118,54,,88,73,177,149,143,257,,538,NA,83,406,448,,,304,,597,NA,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,62.1,46.2,44.4,59.3,NA,6,34.1,32,10,38.6,4.4,58.5,50.2,27.1,23.1,36.7,24.2,,15.8,7.2,21.6,22.5,12.7,42.7,6.9,55,NA,43.2,NA,32.7,25.1,,33,26.9,49.9,37.3,37.2,21.5,,41.2,NA,12,31.8,31.4,,,41,,46.8,NA,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,133759,104105,104162,140889,104124,132007,140856,103915,103815,103957,104090,103847,104071,104163,103960,103914,103315,,104232,104092,104065,103987,103850,103952,103390,141669,104265,103630,,104160,,147795,103913,104161,103395,143904,103954,137812,147736,137673,135483,136773,136616,136618,147881,141560,,,146383,144887,,,School Unique Reference Number
50,CENSUS_21,LA,330,334,335,330,334,330,333,333,332,333,334,332,334,335,333,333,330,,335,334,334,333,332,333,330,330,335,330,,335,,333,333,335,330,335,333,332,333,333,335,335,333,332,333,332,,,333,334,,,LA number
51,CENSUS_21,ESTAB,2486,3512,2031,3433,6003,2478,2006,2056,2138,2148,3302,3352,2066,2032,2151,2054,2289,,3302,3305,2058,3003,3357,2138,2464,2154,6000,7060,,2028,,3305,2051,2030,2469,2123,2141,4106,6016,4000,6013,5404,4024,5404,4008,6010,,,4006,8600,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,Independent school,State-funded special school,,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,Independent school,State-funded secondary,Independent school,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,Independent school,,,State-funded secondary,State-funded secondary,,,Type of school
53,CENSUS_21,NOR,218,460,346,439,1524,445,211,496,466,385,278,212,451,312,449,439,366,,236,275,386,240,199,217,421,200,207,107,,358,,232,330,343,319,437,427,1213,15,1635,143,1213,1507,1730,884,64,,,1424,0,,,Total number of pupils on roll
54,CENSUS_21,NORG,105,227,160,230,857,207,114,239,233,196,124,124,213,162,218,210,174,,108,137,179,118,101,98,191,86,106,22,,167,,105,155,178,167,227,204,625,1,785,0,149,710,812,448,17,,,693,0,,,Number of girls on roll
55,CENSUS_21,NORB,113,233,186,209,667,238,97,257,233,189,154,88,238,150,231,229,192,,128,138,207,122,98,119,230,114,101,85,,191,,127,175,165,152,210,223,588,14,850,143,1064,797,918,436,47,,,731,0,,,Number of boys on roll
56,CENSUS_21,PNORG,48.2%,49.3%,46.2%,52.4%,56.2%,46.5%,54.0%,48.2%,50.0%,50.9%,44.6%,58.5%,47.2%,51.9%,48.6%,47.8%,47.5%,,45.8%,49.8%,46.4%,49.2%,50.8%,45.2%,45.4%,43.0%,51.2%,20.6%,,46.6%,,45.3%,47.0%,51.9%,52.4%,51.9%,47.8%,51.5%,6.7%,48.0%,0%,12.3%,47.1%,46.9%,50.7%,26.6%,,,48.7%,,,,Percentage of girls on roll
57,CENSUS_21,PNORB,51.8%,50.7%,53.8%,47.6%,43.8%,53.5%,46.0%,51.8%,50.0%,49.1%,55.4%,41.5%,52.8%,48.1%,51.4%,52.2%,52.5%,,54.2%,50.2%,53.6%,50.8%,49.2%,54.8%,54.6%,57.0%,48.8%,79.4%,,53.4%,,54.7%,53.0%,48.1%,47.6%,48.1%,52.2%,48.5%,93.3%,52.0%,100%,87.7%,52.9%,53.1%,49.3%,73.4%,,,51.3%,,,,Percentage of boys on roll
58,CENSUS_21,TSENELSE,1,4,8,7,1,3,1,22,7,7,0,6,25,12,5,4,4,,6,8,2,10,2,4,1,3,1,107,,7,,6,4,8,0,3,8,21,15,28,0,1,28,14,14,12,,,15,0,,,Number of SEN pupils with an EHC plan
59,CENSUS_21,PSENELSE,0.5%,0.9%,2.3%,1.6%,0.1%,0.7%,0.5%,4.4%,1.5%,1.8%,0%,2.8%,5.5%,3.8%,1.1%,0.9%,1.1%,,2.5%,2.9%,0.5%,4.2%,1.0%,1.8%,0.2%,1.5%,0.5%,100%,,2.0%,,2.6%,1.2%,2.3%,0%,0.7%,1.9%,1.7%,100%,1.7%,0%,0.1%,1.9%,0.8%,1.6%,18.8%,,,1.1%,,,,Percentage of SEN pupils with an EHC plan
60,CENSUS_21,TSENELK,42,103,48,102,130,24,21,82,84,46,13,74,93,14,83,56,50,,18,32,48,31,12,17,42,31,6,0,,63,,21,47,36,47,27,67,78,0,223,2,41,149,120,116,10,,,222,0,,,Number of eligible pupils with SEN support
61,CENSUS_21,PSENELK,19.3%,22.4%,13.9%,23.2%,8.5%,5.4%,10.0%,16.5%,18.0%,11.9%,4.7%,34.9%,20.6%,4.5%,18.5%,12.8%,13.7%,,7.6%,11.6%,12.4%,12.9%,6.0%,7.8%,10.0%,15.5%,2.9%,0%,,17.6%,,9.1%,14.2%,10.5%,14.7%,6.2%,15.7%,6.4%,0%,13.6%,1.4%,3.4%,9.9%,6.9%,13.1%,15.6%,,,15.6%,,,,Percentage of eligible pupils with SEN support
62,CENSUS_21,NUMEAL,27,22,254,61,0,46,79,216,16,73,53,66,28,204,58,188,21,,69,43,25,80,26,35,22,26,0,23,,346,,52,50,319,63,369,112,80,0,222,0,530,448,248,197,0,,,496,0,,,No.  pupils where English not first language
