No,Namespace,Variable,Brays School - 144042,Maryvale Catholic Primary School - 103426,Warley Infant School - 103963,Lea Forest Primary Academy - 139003,Princethorpe Junior School - 146817,Princethorpe Infant School - 143436,Princethorpe Junior School - 103244,St Joseph's Catholic Primary School - 141670,Severne Junior Infant and Nursery School - 103252,Twickenham Primary School - 140518,Rood End Primary School - 103984,Cotteridge Primary School - 103190,Our Lady and St Hubert's Catholic Primary School - 141926,Wylde Green Primary School - 103349,King George V Primary School - 131223,St Francis Church of England Aided Primary School and Nursery - 143434,Kings Rise Academy - 138889,Northfield Manor Primary Academy - 142203,Oasis Academy Blakenhale Junior - 139129,Oasis Academy Blakenhale Infants - 139120,St Ambrose Barlow Catholic Primary School - 103465,Kineton Green Primary School - 104048,Brandhall Primary School - 103976,St Alban's Catholic Primary School - 103466,Robin Hood Academy - 140262,Penns Primary School - 103356,St Margaret's Church of England Primary School - 146107,Boldmere Junior School - 103341,Boldmere Infant School and Nursery - 103342,Holy Name Catholic Primary School - 103996,Whitecrest Primary School - 103922,Bournville School - 141318,Hallmoor School - 144336,St Mary and St Margaret's Church of England Aided Primary School - 104097,Gossey Lane Academy - 142794,Olton Primary School - 104076,Yardley Wood Community Primary School - 103281,Chivenor Primary School - 140159,Brownmead Primary Academy - 141320,Eaton Valley Primary School - 103923,Lyng Primary School - 103968,Grove Vale Primary School - 103972,Q3 Academy Langley - 141698,Hillcrest School and Sixth Form Centre - 137346,Cardinal Wiseman Catholic School - 103539,Kings Norton Girls' School - 136590,Lyndon School - 142075,Oldbury Academy - 137701,King Edward VI Sheldon Heath Academy - 136152,Sandwell College - 130479,National state-funded primary,National state-funded secondary and 16 to 18,Description
11,L,POSTCODE,B26 1NS,B44 9AG,B68 9DS,B33 9RD,B29 5QB,B29 5QB,B29 5QB,B30 1HN,B27 7HR,B44 0NR,B68 8SQ,B30 2HT,B68 8ED,B73 5JL,B70 6JA,B30 1LZ,B44 0JL,B29 4JT,B33 0XG,B33 0XD,B28 9JJ,B92 7EB,B68 0SH,B14 5AL,B28 9PP,B72 1BS,B92 7RR,B73 5SD,B73 5SD,B43 6LN,B43 6HQ,B30 1SH,B33 0DL,B36 9AX,B33 0DS,B92 7QF,B14 4ER,B35 7JA,B34 6SS,B71 4BU,B70 7SQ,B43 6AL,B68 8ED,B32 3AE,B44 9SR,B30 1HW,B92 8EJ,B68 8NE,B26 2RZ,B70 6AW,,,School postcode
12,L,SCHSTATUS,Open,Open,Closed,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,,,School open / closed status
13,L,OPENDATE,,,,,01-03-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,,,31-08-2020,,,,28-02-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date the school closed
15,L,MINORGROUP,Special school,Maintained school,Maintained school,Academy,Academy,Academy,Maintained school,Academy,Maintained school,Academy,Maintained school,Maintained school,Academy,Maintained school,Maintained school,Academy,Academy,Academy,Academy,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Academy,Special school,Maintained school,Academy,Maintained school,Maintained school,Academy,Academy,Maintained school,Maintained school,Maintained school,Academy,Academy,Maintained school,Academy,Academy,Academy,Academy,College,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Academy special converter,Voluntary aided school,Community school,Academy sponsor led,Academy sponsor led,Academy converter,Community school,Academy sponsor led,Community school,Academy converter,Community school,Community school,Academy converter,Community school,Community school,Academy converter,Academy sponsor led,Academy converter,Academy sponsor led,Academy sponsor led,Voluntary aided school,Community school,Community school,Voluntary aided school,Academy converter,Community school,Academy converter,Community school,Community school,Voluntary aided school,Community school,Academy sponsor led,Academy special sponsor led,Voluntary aided school,Academy converter,Community school,Community school,Academy sponsor led,Academy sponsor led,Community school,Community school,Community school,Academy sponsor led,Academy converter,Voluntary aided school,Academy converter,Academy sponsor led,Academy converter,Academy sponsor led,Further education,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,2,3,3,3,7,3,7,4,3,3,3,3,5,5,3,3,3,4,7,3,5,3,2,4,3,5,3,7,3,3,3,4,4,3,3,3,3,5,5,3,3,4,11,11,11,11,11,11,11,16,,,Lowest age of entry
21,L,AGEHIGH,11,11,7,11,11,7,11,11,11,11,11,11,11,11,11,11,11,11,11,7,11,11,11,11,11,11,11,11,7,11,11,16,19,11,11,11,11,11,11,11,11,11,19,18,16,18,16,16,18,99,,,Highest age of entry
22,L,GENDER,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Girls,Mixed,Girls,Mixed,Mixed,Mixed,Mixed,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Church of England,None,Does not apply,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Church of England,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,Church of England,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Christian,Does not apply,Roman Catholic,None,None,Does not apply,Does not apply,Does not apply,,,Religious character
24,L,ADMPOL,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Non-selective,Non-selective,Non-selective,Not applicable,Non-selective,Non-selective,Not applicable,,,Admissions Policy
25,L,OFSTEDRATING,Outstanding,Good,Inadequate,Good,,Good,Inadequate,Good,Good,Good,Good,Good,Outstanding,Good,Good,Good,Requires improvement,Good,Good,Good,Outstanding,Good,Good,Good,Good,Good,Good,Outstanding,Outstanding,Good,Good,Requires improvement,Requires improvement,Good,Requires improvement,Good,Good,Good,Good,Good,Good,Outstanding,Good,Good,Good,Outstanding,Good,Good,Good,,,,Ofsted rating
26,L,OFSTEDLASTINSP,05-02-2020,19-12-2018,30-01-2020,11-11-2021,,16-05-2019,08-11-2017,08-02-2018,23-09-2021,27-09-2016,19-09-2019,13-03-2018,07-03-2014,17-10-2019,16-05-2019,25-09-2019,23-10-2019,16-09-2021,04-07-2019,14-12-2016,05-12-2008,09-01-2020,24-01-2019,13-09-2018,01-11-2016,06-10-2021,24-11-2021,13-09-2011,16-11-2011,17-02-2022,07-11-2019,11-11-2021,22-01-2020,23-05-2017,11-04-2019,24-01-2017,22-05-2018,01-05-2019,09-01-2020,29-11-2017,12-02-2020,21-03-2013,09-05-2019,12-07-2017,07-10-2021,03-07-2019,03-03-2022,08-12-2021,20-06-2017,,,,Ofsted last inspection date
27,CENSUS_19,URN,144042,103426,103963,139003,,143436,103244,141670,103252,140518,103984,103190,141926,103349,131223,143434,138889,142203,139129,139120,103465,104048,103976,103466,140262,103356,146107,103341,103342,103996,103922,141318,144336,104097,142794,104076,103281,140159,141320,103923,103968,103972,141698,137346,103539,136590,142075,137701,136152,,,,School Unique Reference Number
28,CENSUS_19,LA,330,330,333,330,,330,330,330,330,330,333,330,333,330,333,330,330,330,330,330,330,334,333,330,330,330,334,330,330,333,333,330,330,334,330,334,330,330,330,333,333,333,333,330,330,330,334,333,330,,,,LA number
29,CENSUS_19,ESTAB,7038,3322,2154,2096,,2156,2155,2158,2169,2449,2179,2055,3402,2412,2182,5205,2073,2263,2107,2102,3380,2013,2171,3381,2460,2425,3300,2401,2402,3308,2070,4017,7000,3314,2448,2087,2227,2140,2152,2072,2162,2166,4003,4012,4801,5414,4000,4110,6906,,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,State-funded special school,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,243,228,198,480,,219,240,210,438,466,527,423,362,421,229,243,439,404,325,298,209,221,484,209,652,211,240,362,324,227,211,783,247,239,200,591,416,330,281,461,517,419,632,531,622,994,1128,1495,1223,,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,88,113,103,242,,115,109,104,205,248,280,222,171,210,104,106,201,184,172,156,102,106,262,98,305,100,118,174,159,104,103,344,82,113,95,276,190,170,121,235,253,200,303,527,319,940,544,707,612,,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,155,115,95,238,,104,131,106,233,218,247,201,191,211,125,137,238,220,153,142,107,115,222,111,347,111,122,188,165,123,108,439,165,126,105,315,226,160,160,226,264,219,329,4,303,54,584,788,611,,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,36.2,49.6,52,50.4,,52.5,45.4,49.5,46.8,53.2,53.1,52.5,47.2,49.9,45.4,43.6,45.8,45.5,52.9,52.3,48.8,48,54.1,46.9,46.8,47.4,49.2,48.1,49.1,45.8,48.8,43.9,33.2,47.3,47.5,46.7,45.7,51.5,43.1,51,48.9,47.7,47.9,99.2,51.3,94.6,48.2,47.3,50,,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,63.8,50.4,48,49.6,,47.5,54.6,50.5,53.2,46.8,46.9,47.5,52.8,50.1,54.6,56.4,54.2,54.5,47.1,47.7,51.2,52,45.9,53.1,53.2,52.6,50.8,51.9,50.9,54.2,51.2,56.1,66.8,52.7,52.5,53.3,54.3,48.5,56.9,49,51.1,52.3,52.1,0.8,48.7,5.4,51.8,52.7,50,,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,243,1,1,1,,3,1,4,2,2,6,4,6,2,5,2,3,10,2,1,0,2,7,1,4,1,4,6,5,2,2,18,246,5,1,5,3,2,2,3,9,5,14,2,3,7,7,12,6,,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,100,0.4,0.5,0.2,,1.4,0.4,1.9,0.5,0.4,1.1,0.9,1.7,0.5,2.2,0.8,0.7,2.5,0.6,0.3,0,0.9,1.4,0.5,0.6,0.5,1.7,1.7,1.5,0.9,0.9,2.3,99.6,2.1,0.5,0.8,0.7,0.6,0.7,0.7,1.7,1.2,2.2,0.4,0.5,0.7,0.6,0.8,0.5,,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,0,20,15,65,,34,61,15,44,100,27,80,17,53,50,13,57,63,62,38,14,29,65,15,80,25,36,51,30,13,18,138,1,24,26,65,81,76,31,78,73,40,42,44,66,88,133,166,134,,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,0,8.8,7.6,13.5,,15.5,25.4,7.1,10,21.5,5.1,18.9,4.7,12.6,21.8,5.3,13,15.6,19.1,12.8,6.7,13.1,13.4,7.2,12.3,11.8,15,14.1,9.3,5.7,8.5,17.6,0.4,10,13,11,19.5,23,11,16.9,14.1,9.5,6.6,8.3,10.6,8.9,11.8,11.1,11,,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,93,47,36,140,,32,25,17,255,52,436,46,47,28,78,0,98,78,46,55,23,55,114,6,180,29,35,24,13,24,33,164,114,0,15,215,148,62,44,216,246,152,154,309,143,82,116,531,281,,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,146,180,161,339,,187,215,193,183,414,91,376,315,393,151,243,341,326,279,243,186,166,370,202,472,182,205,336,310,203,178,608,133,239,185,376,268,262,237,243,271,267,469,222,479,912,1004,954,941,,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,4,1,1,1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,11,0,0,0,0,0,6,0,2,0,0,9,0,0,0,8,10,1,,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,38.3,20.6,18.2,29.2,,14.6,10.4,8.1,58.2,11.2,82.7,10.9,13,6.7,34.1,0,22.3,19.3,14.2,18.5,11,24.9,23.6,2.9,27.6,13.7,14.6,6.6,4,10.6,15.6,20.9,46.2,0,7.5,36.4,35.6,18.8,15.7,46.9,47.6,36.3,24.4,58.2,23,8.2,10.3,35.5,23,,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,60.1,78.9,81.3,70.6,,85.4,89.6,91.9,41.8,88.8,17.3,88.9,87,93.3,65.9,100,77.7,80.7,85.8,81.5,89,75.1,76.4,96.7,72.4,86.3,85.4,92.8,95.7,89.4,84.4,77.7,53.8,100,92.5,63.6,64.4,79.4,84.3,52.7,52.4,63.7,74.2,41.8,77,91.8,89,63.8,76.9,,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,1.6,0.4,0.5,0.2,,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.6,0.3,0,0,1.4,0,0,0,0,0,1.8,0,0.4,0,0,1.4,0,0,0,0.7,0.7,0.1,,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,109,42,39,244,,123,112,25,165,214,128,134,35,57,54,12,197,151,154,145,7,36,120,39,111,18,12,26,23,31,15,358,134,22,88,81,197,198,107,74,93,38,107,137,237,101,236,358,311,,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,139,61,46,282,,110,167,36,234,264,166,157,49,82,74,19,226,177,212,129,17,43,171,46,160,29,17,44,24,37,22,475,148,33,102,108,215,219,142,121,136,64,215,273,349,210,405,670,532,,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,57.9,29.8,26.9,62.3,,61.1,69.6,17.1,58.8,63.6,34.6,38.7,14.6,19.5,35.2,9,57.8,43.8,65.2,52.2,8.1,21.7,42.6,22,25.9,13.7,8.1,12.2,8.8,18.1,10.4,60.7,74,15.3,51,19.7,58.6,66.4,50.5,29,30.8,15.3,34,55.8,56.1,27,35.9,46.2,50.7,,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,144042,103426,,139003,146817,143436,,141670,103252,140518,103984,103190,141926,103349,131223,143434,138889,142203,139129,139120,103465,104048,103976,103466,140262,103356,146107,103341,103342,103996,103922,141318,144336,104097,142794,104076,103281,140159,141320,103923,103968,103972,141698,137346,103539,136590,142075,137701,136152,,,,School Unique Reference Number
50,CENSUS_21,LA,330,330,,330,330,330,,330,330,330,333,330,333,330,333,330,330,330,330,330,330,334,333,330,330,330,334,330,330,333,333,330,330,334,330,334,330,330,330,333,333,333,333,330,330,330,334,333,330,,,,LA number
51,CENSUS_21,ESTAB,7038,3322,,2096,2198,2156,,2158,2169,2449,2179,2055,3402,2412,2182,5205,2073,2263,2107,2102,3380,2013,2171,3381,2460,2425,3300,2401,2402,3308,2070,4017,7000,3314,2448,2087,2227,2140,2152,2072,2162,2166,4003,4012,4801,5414,4000,4110,6906,,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,State-funded special school,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded special school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,,,,Type of school
53,CENSUS_21,NOR,260,214,,495,237,204,,207,411,446,472,427,420,419,225,236,421,417,323,285,206,228,483,203,613,211,233,367,327,219,208,687,262,223,199,624,428,313,300,461,511,418,1110,588,691,1056,1142,1400,1194,,,,Total number of pupils on roll
54,CENSUS_21,NORG,79,108,,232,117,109,,107,206,244,243,230,209,214,104,108,205,186,153,149,88,113,256,101,289,115,117,185,153,103,106,310,98,105,92,311,201,162,137,227,242,195,539,586,345,977,547,685,606,,,,Number of girls on roll
55,CENSUS_21,NORB,181,106,,263,120,95,,100,205,202,229,197,211,205,121,128,216,231,170,136,118,115,227,102,324,96,116,182,174,116,102,377,164,118,107,313,227,151,163,234,269,223,571,2,346,79,595,715,588,,,,Number of boys on roll
56,CENSUS_21,PNORG,30.4%,50.5%,,46.9%,49.4%,53.4%,,51.7%,50.1%,54.7%,51.5%,53.9%,49.8%,51.1%,46.2%,45.8%,48.7%,44.6%,47.4%,52.3%,42.7%,49.6%,53.0%,49.8%,47.1%,54.5%,50.2%,50.4%,46.8%,47.0%,51.0%,45.1%,37.4%,47.1%,46.2%,49.8%,47.0%,51.8%,45.7%,49.2%,47.4%,46.7%,48.6%,99.7%,49.9%,92.5%,47.9%,48.9%,50.8%,,,,Percentage of girls on roll
57,CENSUS_21,PNORB,69.6%,49.5%,,53.1%,50.6%,46.6%,,48.3%,49.9%,45.3%,48.5%,46.1%,50.2%,48.9%,53.8%,54.2%,51.3%,55.4%,52.6%,47.7%,57.3%,50.4%,47.0%,50.2%,52.9%,45.5%,49.8%,49.6%,53.2%,53.0%,49.0%,54.9%,62.6%,52.9%,53.8%,50.2%,53.0%,48.2%,54.3%,50.8%,52.6%,53.3%,51.4%,0.3%,50.1%,7.5%,52.1%,51.1%,49.2%,,,,Percentage of boys on roll
58,CENSUS_21,TSENELSE,260,1,,5,1,2,,3,3,3,7,5,8,1,4,4,4,11,0,3,2,6,8,0,3,0,7,10,10,4,5,20,262,6,2,6,5,3,2,7,15,6,23,2,0,5,13,12,5,,,,Number of SEN pupils with an EHC plan
59,CENSUS_21,PSENELSE,100%,0.5%,,1.0%,0.4%,1.0%,,1.4%,0.7%,0.7%,1.5%,1.2%,1.9%,0.2%,1.8%,1.7%,1.0%,2.6%,0%,1.1%,1.0%,2.6%,1.7%,0%,0.5%,0%,3.0%,2.7%,3.1%,1.8%,2.4%,2.9%,100%,2.7%,1.0%,1.0%,1.2%,1.0%,0.7%,1.5%,2.9%,1.4%,2.1%,0.3%,0%,0.5%,1.1%,0.9%,0.4%,,,,Percentage of SEN pupils with an EHC plan
