No,Namespace,Variable,Sacred Heart Primary School - 135029,Albert Pritchard Infant School - 103906,Ocker Hill Infant School - 103919,Ocker Hill Academy - 140140,Meadow Green Primary School - 116763,Colmers Farm Primary School - 146696,Colmers Farm Primary School - 103187,Holly Hill Methodist CofE Infant School - 103479,Joseph Turner Primary School - 103970,Curdworth Primary School - 146457,Curdworth Primary School - 125583,Blue Coat Church of England Aided Infant School - 104231,St Margaret's At Hasbury CofE Primary School - 103840,Blue Coat Church of England Aided Junior School - 104230,Compass Community School Victoria Park - 148064,Abu Bakr Girls School - 132750,Holyhead Primary Academy - 144630,Hillary Primary School - 131511,Timbertree Academy - 139768,Jubilee Park Academy - 140136,Kates Hill Primary School - 144080,Corngreaves Academy - 139742,Chuckery Primary School - 132076,Sledmere Primary School - 149221,Beechwood Church of England Primary School - 142047,Sledmere Primary School - 144081,Netherbrook Primary School - 144079,Huntingtree Primary School - 103802,Old Park Primary School - 103909,St Joseph's Catholic Primary School - 140147,Summerhill Primary Academy - 143322,Mere Green Primary School - 139452,Rednal Hill Junior School - 103248,Rednal Hill Infant School - 103249,Moor Hall Primary School - 103351,Whetstone Field Primary School - 104198,Cheswick Green Primary School - 104074,High Meadow Community School - 125584,Monkspath Junior and Infant School - 104084,Coleshill Church of England Primary School - 146171,Tipton Green Junior School - 103928,Balaam Wood School - 103529,King Edward VI Balaam Wood Academy - 147440,Al-Furqan Solihul - 103592,Al-Furqan Community College (Boys) - 136063,Colmers School and Sixth Form College - 103563,Blue Coat Church of England Academy - 138606,The Arthur Terry School - 138136,Walsall Studio School - 139789,The Coleshill School - 136986,National state-funded primary,National state-funded secondary and 16 to 18,Description
11,L,POSTCODE,DY4 8UH,WS10 9QG,DY4 0DS,DY4 0DS,B47 6EQ,B45 9PB,B45 9PB,B45 0EU,DY4 0RN,B76 9HF,B76 9HF,WS1 3AF,B63 4QD,WS1 2LP,DY4 8SB,WS1 4JJ,WS10 7PZ,WS2 9BP,B64 7LT,DY4 0QS,DY2 7HP,B64 6EZ,WS1 2DZ,DY2 8EH,DY2 7QA,DY2 8EH,DY2 9RZ,B63 4HY,WS10 9LX,DY2 7PW,DY4 9PF,B75 5BL,B45 8QY,B45 8QY,B75 6RE,WS9 0HJ,B90 4HG,B46 1ES,B90 4EH,B46 3LL,DY4 8PR,B45 0EU,B45 0EU,B91 3HG,B91 3HG,B45 9NY,WS1 2ND,B74 4RZ,WS1 1RL,B46 3EX,,,School postcode
12,L,SCHSTATUS,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Closed,Open,Closed,Closed,Open,Open,Open,Open,Open,,,School open / closed status
13,L,OPENDATE,,,,,,01-04-2019,,,,01-11-2018,,,,,20-11-2020,,,,,,,,,01-06-2022,,,,,,,,,,,,,,,,,,,01-09-2019,,,,,,,,,,Open date of school (if opened on or after 12th September 2018)
14,L,CLOSEDATE,,,,,,,31-03-2019,,,,31-10-2018,,,,,,,,,,,,,,,31-05-2022,,,,,,,,,,,,,,,,31-08-2019,,29-05-2020,31-08-2019,,,,,,,,Date the school closed
15,L,MINORGROUP,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Special school,Independent school,Academy,Maintained school,Academy,Academy,Academy,Academy,Maintained school,Academy,Academy,Academy,Academy,Maintained school,Maintained school,Academy,Academy,Academy,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Maintained school,Academy,Maintained school,Maintained school,Academy,Independent school,Independent school,Maintained school,Academy,Academy,Academy,Academy,,,Type of school / college eg maintained school
16,L,SCHOOLTYPE,Community school,Foundation school,Community school,Academy converter,Community school,Academy converter,Community school,Voluntary aided school,Community school,Academy converter,Community school,Voluntary aided school,Voluntary controlled school,Voluntary aided school,Other independent special school,Other independent school,Academy sponsor led,Community school,Academy converter,Academy converter,Academy converter,Academy converter,Community school,Academy converter,Academy sponsor led,Academy converter,Academy converter,Community school,Foundation school,Academy converter,Academy converter,Academy converter,Community school,Community school,Foundation school,Community school,Community school,Community school,Community school,Academy converter,Community school,Community school,Academy sponsor led,Other independent school,Other independent school,Foundation school,Academy sponsor led,Academy converter,Studio schools,Academy converter,,,School Type eg Voluntary Aided school
17,L,ISPRIMARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,"Does the school provide primary education? ( 0 = No, 1 = Yes)"
18,L,ISSECONDARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,"Does the school provide secondary education? ( 0 = No, 1 = Yes)"
19,L,ISPOST16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,,"Does the school provide post 16 education? (  0 = No, 1 = Yes)"
20,L,AGELOW,3,3,3,7,3,4,4,3,3,4,4,3,4,7,6,4,3,3,3,2,3,4,2,3,4,3,3,3,3,3,3,3,7,3,5,3,3,4,2,2,7,11,11,11,11,11,11,11,14,11,,,Lowest age of entry
21,L,AGEHIGH,11,7,7,11,11,11,11,7,11,11,11,7,11,11,17,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,11,11,11,11,11,11,11,16,16,19,19,19,18,18,19,18,,,Highest age of entry
22,L,GENDER,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Girls,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Boys,Mixed,Mixed,Mixed,Mixed,Mixed,,,Indicates whether it's a mixed or single sex school
23,L,RELCHAR,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Church of England/Methodist,Does not apply,Does not apply,Does not apply,Church of England,Church of England,Church of England,,None,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,None,Church of England,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Church of England,Does not apply,Does not apply,Does not apply,None,None,None,Church of England,Does not apply,None,Does not apply,,,Religious character
24,L,ADMPOL,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Not applicable,Non-selective,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Non-selective,Non-selective,Non-selective,Not applicable,Non-selective,Non-selective,Non-selective,Non-selective,Non-selective,,,Admissions Policy
25,L,OFSTEDRATING,Good,Good,Outstanding,Outstanding,Good,Good,Good,Good,Good,Good,Good,Good,Requires improvement,Good,,,Good,Good,Good,Good,Good,Outstanding,Good,,Good,Good,Good,Good,Outstanding,Outstanding,Good,Outstanding,Requires improvement,Good,Outstanding,Good,Good,Outstanding,Good,Good,Requires improvement,Inadequate,,,,Good,Good,Outstanding,Good,Good,,,Ofsted rating
26,L,OFSTEDLASTINSP,31-03-2022,14-06-2017,17-10-2014,13-02-2013,13-07-2017,06-06-2014,06-06-2014,18-05-2017,23-05-2018,21-03-2017,21-03-2017,13-07-2017,18-09-2019,03-04-2019,,,13-01-2022,31-01-2018,05-02-2020,09-01-2020,23-03-2022,09-06-2009,21-03-2018,,09-05-2019,14-09-2016,16-03-2022,27-02-2019,02-05-2013,15-04-2015,30-03-2022,14-01-2015,12-12-2019,20-03-2018,24-01-2014,24-05-2018,06-03-2018,16-06-2010,13-10-2021,16-02-2022,09-12-2021,10-05-2018,,,,24-01-2018,30-01-2018,25-02-2009,18-09-2019,04-03-2020,,,Ofsted last inspection date
27,CENSUS_19,URN,135029,103906,103919,140140,116763,,103187,103479,103970,146457,,104231,103840,104230,,132750,144630,131511,139768,140136,144080,139742,132076,,142047,144081,144079,103802,103909,140147,143322,139452,103248,103249,103351,104198,104074,125584,104084,146171,103928,103529,,,,103563,138606,138136,139789,136986,,,School Unique Reference Number
28,CENSUS_19,LA,333,333,333,333,885,,330,330,333,937,,335,332,335,,335,333,335,333,333,332,333,335,,332,332,332,332,333,332,333,330,330,330,330,335,334,937,334,937,333,330,,,,330,335,330,335,937,,,LA number
29,CENSUS_19,ESTAB,3406,2042,2060,2061,2188,,2052,3411,2164,2502,,3301,3052,3300,,6010,2007,2246,2158,2057,2010,2118,2250,,2003,2004,2147,2116,2047,3302,3407,2463,2160,2161,2416,2214,2082,2569,2096,3586,2082,4333,,,,5416,4004,4307,4005,4233,,,ESTAB number
30,CENSUS_19,SCHOOLTYPE,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded secondary,,,,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded primary,State-funded secondary,Type of school
31,CENSUS_19,NOR,342,322,244,255,312,,406,209,453,117,,310,271,360,,561,220,696,254,214,458,239,441,,191,645,478,456,516,253,812,391,351,306,268,239,265,90,673,399,361,354,,,,1108,880,1755,277,1201,4727089,3327970,Total number of pupils on roll
32,CENSUS_19,NORG,160,154,117,124,139,,203,105,203,60,,138,146,189,,469,104,345,111,112,204,124,214,,109,313,252,221,235,120,401,192,179,165,128,112,121,46,328,189,190,162,,,,554,434,872,154,581,2318560,1658168,Number of girls on roll
33,CENSUS_19,NORB,182,168,127,131,173,,203,104,250,57,,172,125,171,,92,116,351,143,102,254,115,227,,82,332,226,235,281,133,411,199,172,141,140,127,144,44,345,210,171,192,,,,554,446,883,123,620,2408528,1669802,Number of boys on roll
34,CENSUS_19,PNORG,46.8,47.8,48,48.6,44.6,,50,50.2,44.8,51.3,,44.5,53.9,52.5,,83.6,47.3,49.6,43.7,52.3,44.5,51.9,48.5,,57.1,48.5,52.7,48.5,45.5,47.4,49.4,49.1,51,53.9,47.8,46.9,45.7,51.1,48.7,47.4,52.6,45.8,,,,50,49.3,49.7,55.6,48.4,49,49.8,Percentage of girls on roll
35,CENSUS_19,PNORB,53.2,52.2,52,51.4,55.4,,50,49.8,55.2,48.7,,55.5,46.1,47.5,,16.4,52.7,50.4,56.3,47.7,55.5,48.1,51.5,,42.9,51.5,47.3,51.5,54.5,52.6,50.6,50.9,49,46.1,52.2,53.1,54.3,48.9,51.3,52.6,47.4,54.2,,,,50,50.7,50.3,44.4,51.6,51,50.2,Percentage of boys on roll
36,CENSUS_19,TSENELSE,10,2,6,15,4,,6,1,8,0,,5,4,3,,0,2,3,2,3,0,6,5,,1,7,7,3,10,2,15,5,1,3,1,6,1,2,8,1,6,13,,,,17,14,36,4,14,74404,55233,Number of SEN pupils with an EHC plan
37,CENSUS_19,PSENELSE,2.9,0.6,2.5,5.9,1.3,,1.5,0.5,1.8,0,,1.6,1.5,0.8,,0,0.9,0.4,0.8,1.4,0,2.5,1.1,,0.5,1.1,1.5,0.7,1.9,0.8,1.8,1.3,0.3,1,0.4,2.5,0.4,2.2,1.2,0.3,1.7,3.7,,,,1.5,1.6,2.1,1.4,1.2,1.6,1.7,Percentage of SEN pupils with an EHC plan
38,CENSUS_19,TSENELK,31,31,41,34,41,,71,35,76,12,,45,40,53,,25,21,69,46,72,102,24,61,,45,106,70,60,67,14,128,28,90,49,15,9,29,4,70,48,56,95,,,,134,97,130,56,128,595708,358555,Number of eligible pupils with SEN support
39,CENSUS_19,PSENELK,9.1,9.6,16.8,13.3,13.1,,17.5,16.7,16.8,10.3,,14.5,14.8,14.7,,4.5,9.5,9.9,18.1,33.6,22.3,10,13.8,,23.6,16.4,14.6,13.2,13,5.5,15.8,7.2,25.6,16,5.6,3.8,10.9,4.4,10.4,12,15.5,26.8,,,,12.1,11,7.4,20.2,10.7,12.6,10.8,Percentage of eligible pupils with SEN support
40,CENSUS_19,NUMEAL,192,41,35,23,11,,26,16,42,0,,119,38,145,,NA,58,581,19,48,293,28,251,,88,282,18,93,82,108,163,58,17,21,24,3,12,3,199,9,115,27,,,,35,518,95,10,15,1002292,561002,No.  pupils where English not first language
41,CENSUS_19,NUMENGFL,149,280,209,231,301,,380,193,409,117,,188,233,215,,NA,162,115,235,166,165,211,190,,103,363,460,363,434,145,649,332,334,285,244,236,253,87,473,390,246,327,,,,1069,360,1655,257,1186,3716282,2751742,No. pupils with English first language
42,CENSUS_19,NUMUNCFL,1,1,0,1,0,,0,0,2,0,,3,0,0,,NA,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,4,2,5,10,0,8515,15226,No. pupils where first language is unclassified
43,CENSUS_19,PNUMEAL,56.1,12.7,14.3,9,3.5,,6.4,7.7,9.3,0,,38.4,14,40.3,,NA,26.4,83.5,7.5,22.4,64,11.7,56.9,,46.1,43.7,3.8,20.4,15.9,42.7,20.1,14.8,4.8,6.9,9,1.3,4.5,3.3,29.6,2.3,31.9,7.6,,,,3.2,58.9,5.4,3.6,1.2,21.2,16.9,%  pupils where English not first language
44,CENSUS_19,PNUMENGFL,43.6,87,85.7,90.6,96.5,,93.6,92.3,90.3,100,,60.6,86,59.7,,NA,73.6,16.5,92.5,77.6,36,88.3,43.1,,53.9,56.3,96.2,79.6,84.1,57.3,79.9,84.9,95.2,93.1,91,98.7,95.5,96.7,70.3,97.7,68.1,92.4,,,,96.5,40.9,94.3,92.8,98.8,78.6,82.7,% pupils with English first language
45,CENSUS_19,PNUMUNCFL,0.3,0.3,0,0.4,0,,0,0,0.4,0,,1,0,0,,NA,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.1,0,0,0,,,,0.4,0.2,0.3,3.6,0,0.2,0.5,% pupils where first language is unclassified
46,CENSUS_19,NUMFSM,81,45,37,61,16,,189,124,125,6,,73,32,80,,NA,59,185,52,85,130,38,110,,70,144,95,80,72,35,220,42,129,123,10,16,15,3,50,26,78,173,,,,274,247,107,42,113,745453,468779,No. pupils eligible for free school meals
47,CENSUS_19,NUMFSMEVER,105,49,42,85,22,,225,103,166,9,,86,46,142,,NA,87,221,67,110,176,62,155,,99,204,120,108,104,45,315,53,195,130,16,30,15,3,62,42,130,274,,,,464,373,176,64,215,1018995,808599,Number of pupils eligible for FSM at any time during the past 6 years
48,CENSUS_19,PNUMFSMEVER,34.8,18.3,23.3,33.3,7.6,,55.4,58.5,41.1,7.7,,32.2,20.9,39.4,,NA,43.9,35.6,32.2,56.1,42.3,28.8,39.4,,51.8,34.9,28.6,26.2,23.1,20.8,42,14.4,55.6,49.1,6,14.1,7.3,3.3,9.9,10.5,36,77.4,,,,44.9,51,13.2,58.7,21.4,23,27.7,Percentage of pupils eligible for FSM at any time during the past 6 years
49,CENSUS_21,URN,135029,103906,103919,140140,116763,146696,,103479,103970,146457,,104231,103840,104230,148064,132750,144630,131511,139768,140136,144080,139742,132076,,142047,144081,144079,103802,103909,140147,143322,139452,103248,103249,103351,104198,104074,125584,104084,146171,103928,,147440,,,103563,138606,138136,139789,136986,,,School Unique Reference Number
50,CENSUS_21,LA,333,333,333,333,885,330,,330,333,937,,335,332,335,333,335,333,335,333,333,332,333,335,,332,332,332,332,333,332,333,330,330,330,330,335,334,937,334,937,333,,330,,,330,335,330,335,937,,,LA number
51,CENSUS_21,ESTAB,3406,2042,2060,2061,2188,2052,,3411,2164,2502,,3301,3052,3300,6017,6010,2007,2246,2158,2057,2010,2118,2250,,2003,2004,2147,2116,2047,3302,3407,2463,2160,2161,2416,2214,2082,2569,2096,3586,2082,,4036,,,5416,4004,4307,4005,4233,,,ESTAB number
52,CENSUS_21,SCHOOLTYPE,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,Independent school,Independent school,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,State-funded primary,,State-funded secondary,,,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,State-funded secondary,,,Type of school
53,CENSUS_21,NOR,415,301,236,250,307,400,,197,459,115,,296,201,353,11,512,217,680,238,205,417,204,452,,196,652,476,449,510,255,814,424,352,304,307,236,241,149,657,389,356,,388,,,1184,907,1728,253,1225,,,Total number of pupils on roll
54,CENSUS_21,NORG,201,149,122,120,140,214,,93,209,58,,156,102,176,2,421,101,352,105,105,199,109,210,,106,319,249,216,225,114,415,203,167,156,141,115,109,73,311,182,179,,170,,,612,436,834,156,621,,,Number of girls on roll
55,CENSUS_21,NORB,214,152,114,130,167,186,,104,250,57,,140,99,177,9,91,116,328,133,100,218,95,242,,90,333,227,233,285,141,399,221,185,148,166,121,132,76,346,207,177,,218,,,572,471,894,97,604,,,Number of boys on roll
56,CENSUS_21,PNORG,48.4%,49.5%,51.7%,48.0%,45.6%,53.5%,,47.2%,45.5%,50.4%,,52.7%,50.7%,49.9%,18.2%,82.2%,46.5%,51.8%,44.1%,51.2%,47.7%,53.4%,46.5%,,54.1%,48.9%,52.3%,48.1%,44.1%,44.7%,51.0%,47.9%,47.4%,51.3%,45.9%,48.7%,45.2%,49.0%,47.3%,46.8%,50.3%,,43.8%,,,51.7%,48.1%,48.3%,61.7%,50.7%,,,Percentage of girls on roll
57,CENSUS_21,PNORB,51.6%,50.5%,48.3%,52.0%,54.4%,46.5%,,52.8%,54.5%,49.6%,,47.3%,49.3%,50.1%,81.8%,17.8%,53.5%,48.2%,55.9%,48.8%,52.3%,46.6%,53.5%,,45.9%,51.1%,47.7%,51.9%,55.9%,55.3%,49.0%,52.1%,52.6%,48.7%,54.1%,51.3%,54.8%,51.0%,52.7%,53.2%,49.7%,,56.2%,,,48.3%,51.9%,51.7%,38.3%,49.3%,,,Percentage of boys on roll
58,CENSUS_21,TSENELSE,7,1,4,14,3,5,,3,8,0,,8,8,8,8,0,2,11,0,2,6,3,11,,3,18,9,13,11,3,12,8,3,0,3,7,7,4,6,2,8,,6,,,18,20,38,4,15,,,Number of SEN pupils with an EHC plan
59,CENSUS_21,PSENELSE,1.7%,0.3%,1.7%,5.6%,1.0%,1.3%,,1.5%,1.7%,0%,,2.7%,4.0%,2.3%,72.7%,0%,0.9%,1.6%,0%,1.0%,1.4%,1.5%,2.4%,,1.5%,2.8%,1.9%,2.9%,2.2%,1.2%,1.5%,1.9%,0.9%,0%,1.0%,3.0%,2.9%,2.7%,0.9%,0.5%,2.2%,,1.5%,,,1.5%,2.2%,2.2%,1.6%,1.2%,,,Percentage of SEN pupils with an EHC plan
60,CENSUS_21,TSENELK,44,15,41,40,47,45,,36,69,9,,40,27,61,1,25,33,112,41,49,95,26,67,,54,111,104,55,72,18,109,38,79,54,15,6,23,11,60,41,49,,114,,,176,117,143,60,116,,,Number of eligible pupils with SEN support
61,CENSUS_21,PSENELK,10.6%,5.0%,17.4%,16.0%,15.3%,11.2%,,18.3%,15.0%,7.8%,,13.5%,13.4%,17.3%,9.1%,4.9%,15.2%,16.5%,17.2%,23.9%,22.8%,12.7%,14.8%,,27.6%,17.0%,21.8%,12.2%,14.1%,7.1%,13.4%,9.0%,22.4%,17.8%,4.9%,2.5%,9.5%,7.4%,9.1%,10.5%,13.8%,,29.4%,,,14.9%,12.9%,8.3%,23.7%,9.5%,,,Percentage of eligible pupils with SEN support
